,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,zubsolv,buprenorphine,buprenorphine,True,True,,1
1,suboxone,buprenorphine,buprenorphine,True,True,,1
2,zubsolv,buprenorphine,buprenorphine,True,True,,1
3,buprenorphine_hydrochloride,buprenorphine,False,True,True,,1
4,buprenex,buprenorphine,buprenorphine,True,True,,1
5,butrans,buprenorphine,buprenorphine,True,True,,1
6,norspan,buprenorphine,buprenorphine,True,True,,1
7,buprenorphin_e,buprenorphine,False,True,True,,1
8,buprenorphine_hydrochloride,buprenorphine,False,True,True,,1
9,buprenex,buprenorphine,buprenorphine,True,True,,1
10,narcan,buprenorphine,naloxone,False,False,,-1
11,buprenex,buprenorphine,buprenorphine,True,True,,1
12,suboxone,buprenorphine,buprenorphine,True,True,,1
13,buprenorphene,buprenorphine,buprenorphine,True,True,,7
14,bupenorphine,buprenorphine,buprenorphine,True,True,,2
15,subutex,buprenorphine,buprenorphine,True,True,,2
16,buprenorphin,buprenorphine,buprenorphine,True,True,,2
17,butrans,buprenorphine,buprenorphine,True,True,,1
18,norspan,buprenorphine,buprenorphine,True,True,,1
19,temgesic,buprenorphine,buprenorphine,True,True,,1
20,rogesic,buprenorphine,False,False,False,,-1
21,suboxone,buprenorphine,buprenorphine,True,True,,1
22,butorphanol,buprenorphine,butorphanol,False,False,,-1
23,nalbuphine,buprenorphine,nalbuphine,False,False,,-1
24,pentazocine,buprenorphine,pentazocine,False,False,,-1
25,buprenorphinum,buprenorphine,False,False,True,,3
26,buprenorpine,buprenorphine,buprenorphine,True,True,,1
27,byprenorphine,buprenorphine,False,False,True,,1
28,rhodiola,buprenorphine,False,False,False,,-1
29,rosea,buprenorphine,False,False,False,,-1
30,rhododendron,buprenorphine,False,False,False,,-1
31,rosehips,buprenorphine,False,False,False,,-1
32,actaea,buprenorphine,fenofibrate,False,False,,-1
33,black_cohosh,buprenorphine,cimicifuga_racemosa,False,False,,-1
34,blue_cohosh,buprenorphine,False,False,False,,-1
35,temgesic,buprenorphine,buprenorphine,True,True,,1
36,suboxone,buprenorphine,buprenorphine,True,True,,1
37,buprenorphin,buprenorphine,buprenorphine,True,True,,2
38,butrans,buprenorphine,buprenorphine,True,True,,1
39,suboxone,buprenorphine,buprenorphine,True,True,,1
40,buprenorphine_hydrochloride,buprenorphine,False,True,True,,1
41,subutex,buprenorphine,buprenorphine,True,True,,2
42,suboxone,buprenorphine,buprenorphine,True,True,,1
43,zubsolv,buprenorphine,buprenorphine,True,True,,1
44,suprenex,buprenorphine,False,False,True,,7
45,butrans,buprenorphine,buprenorphine,True,True,,1
46,butrans,buprenorphine,buprenorphine,True,True,,1
47,suboxone,buprenorphine,buprenorphine,True,True,,1
48,suboxone,buprenorphine,buprenorphine,True,True,,1
49,subutex,buprenorphine,buprenorphine,True,True,,2
50,temgesic,buprenorphine,buprenorphine,True,True,,1
51,norspan,buprenorphine,buprenorphine,True,True,,1
52,norpramin,buprenorphine,desipramine,False,False,,-1
53,pramipexole,buprenorphine,pramipexole,False,False,,-1
54,mirapex,buprenorphine,pramipexole,False,False,,-1
55,ryanodine,buprenorphine,False,False,False,,-1
56,hydromorphone,buprenorphine,hydromorphone,False,False,,-1
57,dilaudid,buprenorphine,hydromorphone,False,False,,-1
58,fentanyl,buprenorphine,fentanyl,False,False,,-1
59,oxycontin,buprenorphine,oxycodone,False,False,,-1
60,methadone,buprenorphine,methadone,False,False,,-1
61,suboxone,buprenorphine,buprenorphine,True,True,,1
62,zubsolv,buprenorphine,buprenorphine,True,True,,1
