,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,flurazepam,triazolam,flurazepam,False,False,,-1
1,dalmane,triazolam,flurazepam,False,False,,-1
2,estazolam,triazolam,estazolam,False,False,,-1
3,quazepam,triazolam,quazepam,False,True,,3
4,temazepam,triazolam,temazepam,False,False,,-1
5,alprazolam,triazolam,alprazolam,False,False,,-1
6,lorazepam,triazolam,lorazepam,False,False,,-1
7,triazolamid,triazolam,False,False,False,,-1
8,triazol-1-yl,triazolam,False,False,False,,-1
9,triazol-2-yl,triazolam,False,False,False,,-1
10,triazol-3-yl,triazolam,False,False,False,,-1
11,triazol_bonds,triazolam,False,False,True, pill,6
12,triasolam,triazolam,False,False,True,,1
13,triazolim,triazolam,False,False,False,,-1
14,trilam,triazolam,False,False,False,,-1
15,triaz,triazolam,salmeterol,False,False,,-1
16,t-bar,triazolam,False,False,False,,-1
17,trilat,triazolam,False,False,False,,-1
18,triazol,triazolam,False,False,True,,1
19,triasolam,triazolam,False,False,True,,1
20,midazolam,triazolam,midazolam,False,False,,-1
21,triazole,triazolam,False,False,False,,-1
22,triazolane,triazolam,False,False,False,,-1
23,triazine,triazolam,False,False,False,,-1
24,quetiapine,triazolam,quetiapine,False,False,,-1
25,zolpidem,triazolam,zolpidem,False,False,,-1
26,azoles,triazolam,False,False,False,,-1
27,zoles,triazolam,False,False,False,,-1
28,triazines,triazolam,False,False,False,,-1
29,trizoles,triazolam,False,False,False,,-1
30,trazodone,triazolam,trazodone,False,False,,-1
31,zolpidem,triazolam,zolpidem,False,False,,-1
32,triazolam_hydrochloride,triazolam,False,True,True,,5
33,tranzodone,triazolam,False,False,False,,-1
34,estazolam,triazolam,estazolam,False,False,,-1
35,flurazepam,triazolam,flurazepam,False,False,,-1
36,quazepam,triazolam,quazepam,False,True,,3
37,seditol,triazolam,False,False,False,,-1
38,topomorph,triazolam,False,False,False,,-1
39,benzodiazepine,triazolam,benzodiazepine,False,False,,-1
40,triazepam,triazolam,False,False,True,,1
41,ofirmev,triazolam,False,False,False,,-1
42,sedatives,triazolam,False,False,False,,-1
43,triasepam,triazolam,False,False,False,,-1
44,triaxolam,triazolam,False,False,True,,1
45,triazosin,triazolam,False,False,False,,-1
46,triazepam,triazolam,False,False,True,,1
47,prazepam,triazolam,prazepam,False,False,,-1
48,triazolomine,triazolam,False,False,False,,-1
49,triazoles,triazolam,triazolam,True,False,,-1
50,triazolidine,triazolam,False,False,False,,-1
51,triazolines,triazolam,False,False,False,,-1
52,triazolidinyl,triazolam,False,False,False,,-1
53,triazolopyrazine,triazolam,False,False,False,,-1
54,triazole,triazolam,False,False,False,,-1
55,3-hydroxytriazolo,triazolam,False,False,False,,-1
56,3-hydroxytriazole-5-,triazolam,False,False,False,,-1
57,5-triazolo,triazolam,False,False,False,,-1
58,5-triazolo-3-,triazolam,False,False,False,,-1
59,6-triazolo,triazolam,False,False,False,,-1
60,haldol,triazolam,haloperidol,False,False,,-1
61,halazepam,triazolam,halazepam,False,False,,-1
62,triazalan,triazolam,False,False,False,,-1
63,triazolene,triazolam,False,False,False,,-1
64,triazole,triazolam,False,False,False,,-1
65,azomethane,triazolam,False,False,False,,-1
66,triethylamine,triazolam,False,False,False,,-1
67,benzos,triazolam,False,False,False,,-1
68,tranks,triazolam,False,False,False,,-1
69,benzodiazepine,triazolam,benzodiazepine,False,False,,-1
70,triazocine,triazolam,False,False,False,,-1
71,azopropamide,triazolam,False,False,False,,-1
72,triclofos,triazolam,False,False,False,,-1
73,umazenil,triazolam,False,False,False,,-1
74,hindering,triazolam,False,False,False,,-1
75,monazolam,triazolam,False,False,False,,-1
76,triazolam,triazolam,triazolam,True,True,,1
77,triasol,triazolam,False,False,False,,-1
78,triason,triazolam,False,False,False,,-1
79,triazole,triazolam,False,False,False,,-1
80,triazol,triazolam,False,False,True,,1
81,triazon,triazolam,False,False,False,,-1
82,trizolam,triazolam,False,False,True,,1
83,triazolane,triazolam,False,False,False,,-1
84,imidazolo,triazolam,False,False,False,,-1
85,pyridazolo,triazolam,False,False,False,,-1
86,thiazolo,triazolam,False,False,False,,-1
87,oxazolo,triazolam,False,False,False,,-1
88,azolo,triazolam,False,False,False,,-1
89,pryazoles,triazolam,False,False,False,,-1
90,triazole_derivatives,triazolam,False,False,False,,-1
91,pryazole_derivatives,triazolam,False,False,False,,-1
92,triazolopyridines,triazolam,False,False,True,,5
93,pryazolopyridines,triazolam,False,False,False,,-1
94,triazolopyrazines,triazolam,False,False,False,,-1
95,pryazolopyrazines,triazolam,False,False,False,,-1
96,triasone,triazolam,False,False,False,,-1
97,triazolones,triazolam,False,False,True,,2
98,secobarbital,triazolam,secobarbital,False,False,,-1
99,pyrazolam,triazolam,False,False,True,,5
100,triazolome,triazolam,False,False,False,,-1
101,triazol,triazolam,False,False,True,,1
102,triazolamid,triazolam,False,False,False,,-1
103,triazolim,triazolam,False,False,False,,-1
104,triazolam-zolpidem,triazolam,False,False,True,,5
105,triazolam-meprobamate,triazolam,False,False,True,,9
106,triazoate,triazolam,False,False,False,,-1
107,triazinic_acid,triazolam,False,False,False,,-1
108,triazinone,triazolam,False,False,False,,-1
109,triazine,triazolam,False,False,False,,-1
110,imidazole,triazolam,imidazole,False,False,,-1
111,triazole_ring,triazolam,False,False,False,,-1
112,imidazole,triazolam,imidazole,False,False,,-1
113,thienotriazolodiazepine,triazolam,brotizolam,False,False,,-1
114,triazolum,triazolam,False,False,True,,1
115,talicon,triazolam,False,False,False,,-1
116,halazepam,triazolam,halazepam,False,False,,-1
117,triazepam,triazolam,False,False,True,,1
118,alazepam,triazolam,False,False,False,,-1
119,benzodiazepam,triazolam,False,False,False,,-1
120,triaz,triazolam,salmeterol,False,False,,-1
121,triazo,triazolam,False,False,True,,1
122,tri-az-o-lam,triazolam,False,False,True,,1
123,triazolated,triazolam,False,False,False,,-1
124,sanazal,triazolam,False,False,False,,-1
125,benzodiazepines,triazolam,benzodiazepine,False,False,,-1
126,benzos,triazolam,False,False,False,,-1
127,z-drugs,triazolam,False,False,False,,-1
128,sleep_medications,triazolam,False,False,True,,1
129,hypnotics,triazolam,zolpidem,False,False,,-1
130,sedatives,triazolam,False,False,False,,-1
131,triazol,triazolam,False,False,True,,1
132,triaz,triazolam,salmeterol,False,False,,-1
133,traz,triazolam,False,False,False,,-1
134,tri,triazolam,False,False,False,,-1
135,triazolan,triazolam,False,False,True,,1
136,triazolam,triazolam,triazolam,True,True,,1
137,benzodiazepine,triazolam,benzodiazepine,False,False,,-1
138,diazepine,triazolam,False,False,False,,-1
139,hypnotic,triazolam,False,False,False,,-1
140,sedative,triazolam,False,False,False,,-1
141,benzodiazepine,triazolam,benzodiazepine,False,False,,-1
142,hypnotics,triazolam,zolpidem,False,False,,-1
143,thiapam,triazolam,False,False,False,,-1
144,diazapam,triazolam,diazepam,False,False,,-1
145,triazepam,triazolam,False,False,True,,1
146,imidazoles,triazolam,imidazole,False,False,,-1
147,hypnotics,triazolam,zolpidem,False,False,,-1
148,benzodiazepines,triazolam,benzodiazepine,False,False,,-1
149,tranquilizers,triazolam,False,False,False,,-1
