,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,toradol,butorphanol,ketorolac,False,False,,-1
1,tramadol,butorphanol,tramadol,False,False,,-1
2,butorfan,butorphanol,False,False,False,,-1
3,butorphan,butorphanol,False,False,True,,1
4,butorfano,butorphanol,False,False,False,,-1
5,torbutrol,butorphanol,False,False,True,,2
6,rimadyl,butorphanol,carprofen,False,False,,-1
7,carprofen,butorphanol,carprofen,False,False,,-1
8,etodolac,butorphanol,etodolac,False,False,,-1
9,deracoxib,butorphanol,False,False,False,,-1
10,firocoxib,butorphanol,firocoxib,False,False,,-1
11,acetaminophen,butorphanol,acetaminophen,False,False,,-1
12,torbugesic,butorphanol,False,False,True,,2
13,torbutrol,butorphanol,False,False,True,,2
14,torbutrol,butorphanol,False,False,True,,2
15,butorphanol_tartrate,butorphanol,False,True,True,,1
16,norphadol,butorphanol,False,False,False,,-1
17,dolac,butorphanol,False,False,False,,-1
18,torphadol,butorphanol,False,False,False,,-1
19,orphadol,butorphanol,False,False,False,,-1
20,butorphanol_tartrate,butorphanol,False,True,True,,1
21,torbutrol,butorphanol,False,False,True,,2
22,toradol,butorphanol,ketorolac,False,False,,-1
23,ketorolac,butorphanol,ketorolac,False,False,,-1
24,dolophine,butorphanol,methadone,False,False,,-1
25,morphinate,butorphanol,morphine,False,False,,-1
26,butorfol,butorphanol,False,False,False,,-1
27,butorphan,butorphanol,False,False,True,,1
28,bortenanol,butorphanol,False,False,False,,-1
29,butylorpholine,butorphanol,False,False,False,,-1
30,norphinol,butorphanol,False,False,False,,-1
31,orotorphinol,butorphanol,False,False,False,,-1
32,pharmorphrase,butorphanol,False,False,False,,-1
33,phorbutanol,butorphanol,False,False,False,,-1
34,toradol,butorphanol,ketorolac,False,False,,-1
35,tramadol,butorphanol,tramadol,False,False,,-1
36,morphine,butorphanol,morphine,False,False,,-1
37,oxycodone,butorphanol,oxycodone,False,False,,-1
38,hydrocodone,butorphanol,hydrocodone,False,False,,-1
39,fentanyl,butorphanol,fentanyl,False,False,,-1
40,buprenorphine,butorphanol,buprenorphine,False,False,,-1
41,butorphanol_tartrate,butorphanol,False,True,True,,1
42,torbutrol,butorphanol,False,False,True,,2
43,torbutrol_tartrate,butorphanol,False,False,True,,1
44,orphanol,butorphanol,False,False,False,,-1
45,butorfan,butorphanol,False,False,False,,-1
46,butorfen,butorphanol,False,False,False,,-1
47,butorphine,butorphanol,False,False,True,,1
48,butorphan,butorphanol,False,False,True,,1
49,butorphanol_tartrate,butorphanol,False,True,True,,1
50,torbutrol,butorphanol,False,False,True,,2
51,butorphanol_tartrate,butorphanol,False,True,True,,1
52,torfanol,butorphanol,False,False,False,,-1
53,mercaine,butorphanol,False,False,False,,-1
54,buprenex,butorphanol,buprenorphine,False,False,,-1
55,toradol,butorphanol,ketorolac,False,False,,-1
56,ketorolac,butorphanol,ketorolac,False,False,,-1
57,dolophine,butorphanol,methadone,False,False,,-1
58,methadone,butorphanol,methadone,False,False,,-1
59,laam,butorphanol,levomethadyl_acetate,False,False,,-1
60,buprenorphine,butorphanol,buprenorphine,False,False,,-1
61,butorphanol_tartrate,butorphanol,False,True,True,,1
62,torbutrol,butorphanol,False,False,True,,2
63,buprenorphine,butorphanol,buprenorphine,False,False,,-1
64,fentanyl,butorphanol,fentanyl,False,False,,-1
65,dilaudid,butorphanol,hydromorphone,False,False,,-1
66,oxycodone,butorphanol,oxycodone,False,False,,-1
67,hydromorphone,butorphanol,hydromorphone,False,False,,-1
68,stylol,butorphanol,False,False,False,,-1
69,torban,butorphanol,False,False,False,,-1
70,equipoise,butorphanol,False,False,False,,-1
71,soltus,butorphanol,False,False,False,,-1
72,phanalfin,butorphanol,False,False,False,,-1
73,alphaphan,butorphanol,False,False,False,,-1
74,tramadol,butorphanol,tramadol,False,False,,-1
75,butorphanol_tartrate,butorphanol,False,True,True,,1
76,torbutrol,butorphanol,False,False,True,,2
77,stadol,butorphanol,butorphanol,True,True,,1
78,buphagen,butorphanol,False,False,False,,-1
79,butorphan,butorphanol,False,False,True,,1
80,butorphane,butorphanol,False,False,True,,1
81,butorphans,butorphanol,False,False,True,,1
82,stadol,butorphanol,butorphanol,True,True,,1
83,torbutrol,butorphanol,False,False,True,,2
84,butorphan,butorphanol,False,False,True,,1
85,butorphane,butorphanol,False,False,True,,1
86,stuzol,butorphanol,False,False,False,,-1
87,toradol,butorphanol,ketorolac,False,False,,-1
88,clopidol,butorphanol,False,False,False,,-1
89,proquazone,butorphanol,False,False,False,,-1
90,torphadol,butorphanol,False,False,False,,-1
91,dolophine,butorphanol,methadone,False,False,,-1
92,myrophine,butorphanol,False,False,False,,-1
93,nefopam,butorphanol,nefopam,False,False,,-1
94,opioid,butorphanol,False,False,False,,-1
95,buprenorphine,butorphanol,buprenorphine,False,False,,-1
96,butorphan,butorphanol,False,False,True,,1
97,buprenex,butorphanol,buprenorphine,False,False,,-1
98,subutex,butorphanol,buprenorphine,False,False,,-1
99,suboxone,butorphanol,buprenorphine,False,False,,-1
100,stardol,butorphanol,False,False,False,,-1
101,butorphanol,butorphanol,butorphanol,True,True,,1
102,torbugesic,butorphanol,False,False,True,,2
103,torbutol,butorphanol,False,False,True,,2
104,butorphanol_tartrate,butorphanol,False,True,True,,1
105,betaphen,butorphanol,False,False,False,,-1
106,butorphene,butorphanol,False,False,True,,1
107,butorphine,butorphanol,False,False,True,,1
108,butor,butorphanol,False,False,True,,4
109,butorph,butorphanol,False,False,True,,1
110,stanon,butorphanol,False,False,False,,-1
111,torbutrol,butorphanol,False,False,True,,2
112,torphine,butorphanol,False,False,False,,-1
113,butorphanol_tartrate,butorphanol,False,True,True,,1
114,butorphanol_sulfate,butorphanol,False,True,True,,1
115,toradol,butorphanol,ketorolac,False,False,,-1
116,ketorolac,butorphanol,ketorolac,False,False,,-1
117,butorfolderol,butorphanol,False,False,False,,-1
118,butorphan,butorphanol,False,False,True,,1
119,butorphanol_tartrate,butorphanol,False,True,True,,1
120,torfan,butorphanol,False,False,False,,-1
121,butorfenol,butorphanol,False,False,True,,1
122,tiletamine-zolazepam,butorphanol,False,False,False,,-1
123,zorphan,butorphanol,False,False,False,,-1
124,tartrate,butorphanol,d-tartaric_acid,False,False,,-1
125,bitartrate,butorphanol,False,False,False,,-1
126,phosphate,butorphanol,False,False,False,,-1
127,pamoate,butorphanol,tranylcypromine,False,False,,-1
128,buprenorphine,butorphanol,buprenorphine,False,False,,-1
129,naloxone,butorphanol,naloxone,False,False,,-1
130,stoics,butorphanol,False,False,False,,-1
131,toradol,butorphanol,ketorolac,False,False,,-1
132,analgesic,butorphanol,False,False,False,,-1
133,butorrock,butorphanol,False,False,False,,-1
134,butorac,butorphanol,False,False,False,,-1
135,butorphan,butorphanol,False,False,True,,1
136,butorphene,butorphanol,False,False,True,,1
137,butorphane,butorphanol,False,False,True,,1
138,butorfanol,butorphanol,False,False,True,,1
139,butorfinol,butorphanol,False,False,False,,-1
140,butorfenol,butorphanol,False,False,True,,1
141,butorphan,butorphanol,False,False,True,,1
142,butorphane,butorphanol,False,False,True,,1
143,torbutol,butorphanol,False,False,True,,2
144,buprenorphine,butorphanol,buprenorphine,False,False,,-1
145,pentazocine,butorphanol,pentazocine,False,False,,-1
146,torbugesic,butorphanol,False,False,True,,2
147,torbutrol,butorphanol,False,False,True,,2
148,phenadol,butorphanol,False,False,False,,-1
149,buprenex,butorphanol,buprenorphine,False,False,,-1
150,subutex,butorphanol,buprenorphine,False,False,,-1
151,torbugesic,butorphanol,False,False,True,,2
152,torbutrol,butorphanol,False,False,True,,2
153,butorphan,butorphanol,False,False,True,,1
154,butorphanolum,butorphanol,False,False,True,,1
155,butorphanide,butorphanol,False,False,False,,-1
156,butorphanin,butorphanol,False,False,False,,-1
157,butorphans,butorphanol,False,False,True,,1
158,stradol,butorphanol,False,False,True,,3
159,korlym,butorphanol,mifepristone,False,False,,-1
160,norco,butorphanol,hydrocodone,False,False,,-1
161,oxycontin,butorphanol,oxycodone,False,False,,-1
162,roxicet,butorphanol,oxycodone,False,False,,-1
163,percocet,butorphanol,oxycodone,False,False,,-1
164,vicodin,butorphanol,hydrocodone,False,False,,-1
165,lortab,butorphanol,hydrocodone,False,False,,-1
166,butorphanol_tartrate,butorphanol,False,True,True,,1
167,toradol,butorphanol,ketorolac,False,False,,-1
168,ketorolac,butorphanol,ketorolac,False,False,,-1
169,paregoric,butorphanol,morphine,False,False,,-1
170,buccal,butorphanol,False,False,False,,-1
171,pain_reliever,butorphanol,False,False,False,,-1
172,narcotic,butorphanol,False,False,False,,-1
173,butorphan,butorphanol,False,False,True,,1
174,butorphacon,butorphanol,False,False,False,,-1
175,pain-relief_medication,butorphanol,False,False,False,,-1
176,narcotic_analgesic,butorphanol,False,False,False,,-1
177,torbutrol,butorphanol,False,False,True,,2
178,rimadyl,butorphanol,carprofen,False,False,,-1
179,torbugesic,butorphanol,False,False,True,,2
180,carprofen,butorphanol,carprofen,False,False,,-1
181,deramaxx,butorphanol,False,False,False,,-1
182,firocoxib,butorphanol,firocoxib,False,False,,-1
183,galliprant,butorphanol,grapiprant,False,False,,-1
184,stadol,butorphanol,butorphanol,True,True,,1
185,torbugesic,butorphanol,False,False,True,,2
186,darvon-n,butorphanol,False,False,False,,-1
187,etorphine,butorphanol,etorphine,False,False,,-1
188,fentanyl,butorphanol,fentanyl,False,False,,-1
189,heroin,butorphanol,heroin,False,False,,-1
190,hydromorphone,butorphanol,hydromorphone,False,False,,-1
191,methadone,butorphanol,methadone,False,False,,-1
192,oxycodone,butorphanol,oxycodone,False,False,,-1
193,propoxyphene,butorphanol,dextropropoxyphene,False,False,,-1
194,tramadol,butorphanol,tramadol,False,False,,-1
195,stadol,butorphanol,butorphanol,True,True,,1
196,buprenorphine,butorphanol,buprenorphine,False,False,,-1
197,stoopid,butorphanol,False,False,False,,-1
198,stradol,butorphanol,False,False,True,,3
199,strativa,butorphanol,False,False,False,,-1
200,toradol,butorphanol,ketorolac,False,False,,-1
201,torphadol,butorphanol,False,False,False,,-1
202,butorphan,butorphanol,False,False,True,,1
203,tartrate,butorphanol,d-tartaric_acid,False,False,,-1
204,pamoate,butorphanol,tranylcypromine,False,False,,-1
205,torbugesic,butorphanol,False,False,True,,2
206,rimalgein,butorphanol,False,False,False,,-1
207,alphaprodine,butorphanol,False,False,False,,-1
208,morpolypro_white,butorphanol,False,False,False,,-1
209,butorphanol_tartrate,butorphanol,False,True,True,,1
210,torbutrol,butorphanol,False,False,True,,2
211,toradol,butorphanol,ketorolac,False,False,,-1
212,ketorolac,butorphanol,ketorolac,False,False,,-1
213,diclofenac,butorphanol,diclofenac,False,False,,-1
214,ibuprofen,butorphanol,ibuprofen,False,False,,-1
215,naproxen,butorphanol,naproxen,False,False,,-1
216,indomethacin,butorphanol,indomethacin,False,False,,-1
217,celecoxib,butorphanol,celecoxib,False,False,,-1
218,stoal,butorphanol,False,False,False,,-1
219,satol,butorphanol,False,False,False,,-1
220,staal,butorphanol,False,False,False,,-1
221,setral,butorphanol,False,False,False,,-1
222,settal,butorphanol,False,False,False,,-1
223,septal,butorphanol,False,False,False,,-1
224,tramadol,butorphanol,tramadol,False,False,,-1
225,stopan,butorphanol,False,False,False,,-1
226,butorfano,butorphanol,False,False,False,,-1
227,butorfenol,butorphanol,False,False,True,,1
228,butorfenolo,butorphanol,False,False,False,,-1
229,butorfanolato,butorphanol,False,False,False,,-1
230,butorfanato,butorphanol,False,False,False,,-1
231,estoporfano,butorphanol,False,False,False,,-1
232,stoporal,butorphanol,False,False,False,,-1
233,stadax,butorphanol,False,False,False,,-1
234,stadol,butorphanol,butorphanol,True,True,,1
235,liquid_stadol,butorphanol,False,True,True,,1
236,butorphanol_tartrate,butorphanol,False,True,True,,1
237,butorphanol,butorphanol,butorphanol,True,True,,1
238,torbugesic,butorphanol,False,False,True,,2
239,torbutrol,butorphanol,False,False,True,,2
240,butace,butorphanol,False,False,False,,-1
241,butacort,butorphanol,fluticasone_propionate,False,False,,-1
242,butacote,butorphanol,False,False,False,,-1
243,butaphate,butorphanol,False,False,False,,-1
244,butorphate,butorphanol,False,False,False,,-1
245,butorphanol_tartrate,butorphanol,False,True,True,,1
246,butorphanol,butorphanol,butorphanol,True,True,,1
247,ketofol,butorphanol,False,False,False,,-1
248,roxanol,butorphanol,morphine,False,False,,-1
249,toradol,butorphanol,ketorolac,False,False,,-1
250,ketorolac,butorphanol,ketorolac,False,False,,-1
251,tramadol,butorphanol,tramadol,False,False,,-1
252,butorphanol_tartrate,butorphanol,False,True,True,,1
253,torbutrol,butorphanol,False,False,True,,2
254,torbugesic,butorphanol,False,False,True,,2
255,bst,butorphanol,False,False,False,,-1
256,butorph,butorphanol,False,False,True,,1
257,toradol,butorphanol,ketorolac,False,False,,-1
258,toradol,butorphanol,ketorolac,False,False,,-1
259,ketorolac,butorphanol,ketorolac,False,False,,-1
260,dolophine,butorphanol,methadone,False,False,,-1
261,methadone,butorphanol,methadone,False,False,,-1
262,nalbuphine,butorphanol,nalbuphine,False,False,,-1
263,buprenorphine,butorphanol,buprenorphine,False,False,,-1
264,buprenorphine,butorphanol,buprenorphine,False,False,,-1
265,norbutorphanol,butorphanol,False,False,False,,-1
266,nalbuphine,butorphanol,nalbuphine,False,False,,-1
267,levorphanol,butorphanol,levorphanol,False,True,,7
268,pentazocine,butorphanol,pentazocine,False,False,,-1
269,toradol,butorphanol,ketorolac,False,False,,-1
270,duramorph,butorphanol,morphine,False,False,,-1
271,buutorphanol,butorphanol,False,False,False,,-1
272,betaphen,butorphanol,False,False,False,,-1
273,clorpheniramine,butorphanol,chlorphenamine,False,False,,-1
274,dexchlorpheniramine,butorphanol,False,False,False,,-1
275,chlorpheniramine,butorphanol,chlorphenamine,False,False,,-1
