,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,sodium_pentobarbital,pentobarbital,False,True,True,,1
1,tiopental,pentobarbital,False,False,False,,-1
2,pentobarbitone,pentobarbital,pentobarbital,True,True,,1
3,amytal,pentobarbital,amobarbital,False,False,,-1
4,barbitals,pentobarbital,False,False,False,,-1
5,pentobarbitone,pentobarbital,pentobarbital,True,True,,1
6,phenobarbitone,pentobarbital,phenobarbital,False,False,,-1
7,luminal,pentobarbital,phenobarbital,False,False,,-1
8,barbiturate,pentobarbital,False,False,True,,4
9,pentobarbital_sodium,pentobarbital,pentobarbital,True,True,,1
10,barbiturate,pentobarbital,False,False,True,,4
11,hexobarbital,pentobarbital,hexobarbital,False,False,,-1
12,thiopental,pentobarbital,thiopental,False,True,,9
13,secobarbital,pentobarbital,secobarbital,False,False,,-1
14,pentobarbitone,pentobarbital,pentobarbital,True,True,,1
15,hexobarbital,pentobarbital,hexobarbital,False,False,,-1
16,hexobarbital,pentobarbital,hexobarbital,False,False,,-1
17,phenobarbital,pentobarbital,phenobarbital,False,True,,4
18,methohexital,pentobarbital,methohexital,False,True,,8
19,thiopental,pentobarbital,thiopental,False,True,,9
20,sevoflurane,pentobarbital,sevoflurane,False,False,,-1
21,propofol,pentobarbital,propofol,False,False,,-1
22,pentobarbitol,pentobarbital,pentobarbital,True,True,,4
23,pentobarbital_sodium,pentobarbital,pentobarbital,True,True,,1
24,pentobarbiturate,pentobarbital,False,False,True,,2
25,pentobarb,pentobarbital,phenobarbital,False,True,,1
26,pentobar,pentobarbital,False,False,True,,2
27,pento,pentobarbital,pentaerythritol_tetranitrate,False,True, pill,10
28,pbar,pentobarbital,False,False,False,,-1
29,pentobarbinol,pentobarbital,False,False,False,,-1
30,pentobarb,pentobarbital,phenobarbital,False,True,,1
31,pentobarb,pentobarbital,phenobarbital,False,True,,1
32,barbit,pentobarbital,False,False,False,,-1
33,barb,pentobarbital,False,False,True, drug,9
34,barbiturate,pentobarbital,False,False,True,,4
35,barbiturates,pentobarbital,False,False,True,,6
36,phenobarbital,pentobarbital,phenobarbital,False,True,,4
37,luminal,pentobarbital,phenobarbital,False,False,,-1
38,barbitone,pentobarbital,False,False,False,,-1
39,sodium_pentobarbital,pentobarbital,False,True,True,,1
40,sodium_barbital,pentobarbital,False,False,True, pill,1
41,pentobarb,pentobarbital,phenobarbital,False,True,,1
42,barbiturates,pentobarbital,False,False,True,,6
43,barbitives,pentobarbital,False,False,False,,-1
44,barbiturates,pentobarbital,False,False,True,,6
