,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,flusarabine,flunitrazepam,False,False,False,,-1
1,fluoxetine,flunitrazepam,fluoxetine,False,False,,-1
2,flunitrazolam,flunitrazepam,False,False,True,,7
3,flunitrabenzam,flunitrazepam,False,False,False,,-1
4,flunitrazol,flunitrazepam,False,False,False,,-1
5,flunitrax,flunitrazepam,False,False,True,,1
6,dormisol,flunitrazepam,False,False,False,,-1
7,forget_pill,flunitrazepam,False,False,False,,-1
8,la_roche,flunitrazepam,False,False,False,,-1
9,noble,flunitrazepam,False,False,False,,-1
10,flunitrazolam,flunitrazepam,False,False,True,,7
11,flunitrazol,flunitrazepam,False,False,False,,-1
12,flunitrazolam,flunitrazepam,False,False,True,,7
13,fluniprazolam,flunitrazepam,False,False,False,,-1
14,flunitrazepam,flunitrazepam,flunitrazepam,True,True,,2
15,flunitra,flunitrazepam,False,False,True,,1
16,flunitrex,flunitrazepam,False,False,False,,-1
17,flunitraz,flunitrazepam,False,False,True,,1
18,flunitrazx,flunitrazepam,False,False,False,,-1
19,f-unitraz,flunitrazepam,False,False,False,,-1
20,flunipam,flunitrazepam,False,False,True,,2
21,flunitrze,flunitrazepam,False,False,True, pill,1
22,flunitrazepame,flunitrazepam,False,False,True,,1
23,flunipam,flunitrazepam,False,False,True,,2
24,flunitrazadol,flunitrazepam,False,False,False,,-1
25,flunitrazepoxide,flunitrazepam,False,False,False,,-1
26,flunitrazolam,flunitrazepam,False,False,True,,7
27,costazepam,flunitrazepam,False,False,False,,-1
28,flurazepam,flunitrazepam,flurazepam,False,False,,-1
29,fludiazepam,flunitrazepam,fludiazepam,False,True,,5
30,flunitrazepan,flunitrazepam,False,False,True, pill,2
31,flunitrazepane,flunitrazepam,False,False,True,,4
32,flunitrazolam,flunitrazepam,False,False,True,,7
33,flunitrazolane,flunitrazepam,False,False,False,,-1
34,flunitrazolam,flunitrazepam,False,False,True,,7
