,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth,manual label,name filter,google filter,filter prediction
0,fentanyl_anesthetic,fentanyl,False,True,True,,1,?,True,True,True
1,substitution_for_fentanyl,fentanyl,False,True,True,,1,False,True,True,True
2,non-fentanyl_option,fentanyl,False,False,True,,1,False,True,True,True
3,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
4,fentynyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
5,rapid,fentanyl,False,False,False,,-1,False,True,False,False
6,immedia,fentanyl,False,False,False,,-1,False,True,False,False
7,quicks,fentanyl,False,False,False,,-1,False,True,False,False
8,short-acting,fentanyl,False,False,False,,-1,False,True,False,False
9,ultrashort-acting,fentanyl,False,False,False,,-1,False,True,False,False
10,fentaplix,fentanyl,False,False,False,,-1,False,True,False,False
11,fentanoid,fentanyl,False,False,False,,-1,?,True,False,False
12,fentanyl_oxide,fentanyl,False,True,True,,1,False,True,True,True
13,fentanal,fentanyl,fentanyl,True,True,,1,True,True,True,True
14,fentsan,fentanyl,False,False,False,,-1,False,True,False,False
15,fentrastan,fentanyl,False,False,False,,-1,False,True,False,False
16,fentanyl_analog,fentanyl,False,True,True,,1,False,True,True,True
17,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
18,fendanil,fentanyl,False,False,False,,-1,False,True,False,False
19,fenepam,fentanyl,False,False,False,,-1,False,True,False,False
20,fent_reynard,fentanyl,False,False,True, pill,3,False,True,True,True
21,fentanylon,fentanyl,False,False,True,,1,True,True,True,True
22,fentanilic_acid,fentanyl,False,False,True,,1,False,True,True,True
23,fentanilide,fentanyl,False,False,False,,-1,False,True,False,False
24,vitrinal,fentanyl,False,False,False,,-1,False,True,False,False
25,fentacaine,fentanyl,False,False,False,,-1,False,True,False,False
26,fentanest,fentanyl,False,False,True,,1,True,True,True,True
27,fentanilate,fentanyl,False,False,False,,-1,False,True,False,False
28,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
29,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
30,fenantyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
31,fentanest,fentanyl,False,False,True,,1,True,True,True,True
32,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
33,domperidone,fentanyl,domperidone,False,False,,-1,False,False,False,False
34,haloperidol,fentanyl,haloperidol,False,False,,-1,False,False,False,False
35,loxapine,fentanyl,loxapine,False,False,,-1,False,False,False,False
36,perphenazine,fentanyl,perphenazine,False,False,,-1,False,False,False,False
37,thorazine,fentanyl,chlorpromazine,False,False,,-1,False,True,False,False
38,prochlorperazine,fentanyl,prochlorperazine,False,False,,-1,False,False,False,False
39,promethazine,fentanyl,promethazine,False,False,,-1,False,False,False,False
40,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
41,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
42,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
43,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
44,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
45,remifentanil,fentanyl,remifentanil,False,True,,1,False,False,True,False
46,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
47,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
48,fentye,fentanyl,False,False,True,,6,False,True,True,True
49,fentayl,fentanyl,fentanyl,True,True,,1,True,True,True,True
50,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
51,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
52,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
53,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
54,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
55,sufenta,fentanyl,sufentanil,False,True,,2,False,True,True,True
56,alphaprodine,fentanyl,False,False,False,,-1,False,True,False,False
57,bedford,fentanyl,False,False,False,,-1,False,True,False,False
58,blue,fentanyl,False,False,True,,10,?,True,True,True
59,candy,fentanyl,False,False,False,,-1,False,True,False,False
60,china_girl,fentanyl,False,False,True, pill,8,True,True,True,True
61,dancing,fentanyl,False,False,False,,-1,False,True,False,False
62,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
63,goodfella,fentanyl,False,False,False,,-1,True,True,False,False
64,great_bear,fentanyl,False,False,True, pill,2,True,True,True,True
65,hector,fentanyl,False,False,False,,-1,False,True,False,False
66,king_ivory,fentanyl,False,False,True, pill,1,True,True,True,True
67,mcneil,fentanyl,False,False,False,,-1,False,True,False,False
68,new_drug,fentanyl,False,False,True,,3,False,True,True,True
69,orange,fentanyl,orange,False,False,,-1,False,False,False,False
70,p-fent,fentanyl,False,False,True,,1,False,True,True,True
71,paco,fentanyl,False,False,False,,-1,False,True,False,False
72,peace,fentanyl,False,False,False,,-1,False,True,False,False
73,purple,fentanyl,False,False,False,,-1,False,True,False,False
74,real_mccoy,fentanyl,False,False,False,,-1,False,True,False,False
75,rio,fentanyl,False,False,False,,-1,False,True,False,False
76,sandman,fentanyl,False,False,False,,-1,False,True,False,False
77,serial_killer,fentanyl,False,False,True, drug,5,False,True,True,True
78,slam,fentanyl,False,False,False,,-1,False,True,False,False
79,stardust,fentanyl,False,False,False,,-1,False,True,False,False
80,tango_and_cash,fentanyl,False,False,True, pill,1,True,True,True,True
81,tango,fentanyl,False,False,False,,-1,False,True,False,False
82,cash,fentanyl,False,False,False,,-1,False,True,False,False
83,wa,fentanyl,False,False,False,,-1,False,True,False,False
84,fentanils,fentanyl,False,False,True,,1,True,True,True,True
85,fentanols,fentanyl,False,False,True,,1,True,True,True,True
86,fenta,fentanyl,pentaerythritol_tetranitrate,False,True,,1,True,True,True,True
87,fent,fentanyl,False,False,True,,2,True,True,True,True
88,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
89,fentanest,fentanyl,False,False,True,,1,True,True,True,True
90,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
91,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
92,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
93,fentanal,fentanyl,fentanyl,True,True,,1,True,True,True,True
94,fentanyls,fentanyl,fentanyl,True,True,,1,True,True,True,True
95,phenyl-propanolamine,fentanyl,False,False,False,,-1,False,True,False,False
96,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
97,fentanest,fentanyl,False,False,True,,1,True,True,True,True
98,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
99,fentaplain,fentanyl,False,False,False,,-1,False,True,False,False
100,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
