,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,methamphet,methamphetamine,amphetamine,False,True,,2
1,methamphetamine_hydrochloride,methamphetamine,methamphetamine,True,True,,1
2,speed,methamphetamine,False,False,False,,-1
3,uppers,methamphetamine,False,False,False,,-1
4,amphetamines,methamphetamine,dextroamphetamine,False,True,,7
5,methaphetamine,methamphetamine,False,False,True,,3
6,methamphetamine_hydrochloride,methamphetamine,methamphetamine,True,True,,1
7,methylephedrine,methamphetamine,dl-methylephedrine,False,True,,6
8,amphetamine,methamphetamine,amphetamine,False,False,,-1
9,ephedrone,methamphetamine,ephedrine,False,False,,-1
10,pseudoephedrine,methamphetamine,pseudoephedrine,False,True,,4
11,amphetamine,methamphetamine,amphetamine,False,False,,-1
12,dexamphetamine,methamphetamine,dextroamphetamine,False,False,,-1
13,lisdexamfetamine,methamphetamine,lisdexamfetamine,False,False,,-1
14,speed,methamphetamine,False,False,False,,-1
15,uppers,methamphetamine,False,False,False,,-1
16,meperidine,methamphetamine,pethidine,False,False,,-1
17,amphetamine,methamphetamine,amphetamine,False,False,,-1
18,dexedrine,methamphetamine,dextroamphetamine,False,False,,-1
19,crystal_meth,methamphetamine,methamphetamine,True,True,,2
20,speed,methamphetamine,False,False,False,,-1
21,uppers,methamphetamine,False,False,False,,-1
22,methamphetamine_hydrochloride,methamphetamine,methamphetamine,True,True,,1
23,l-methamphetamine,methamphetamine,False,False,True,,1
24,n-methylamphetamine,methamphetamine,False,False,True,,1
25,(s)-(+)-methamphetamine,methamphetamine,False,False,True,,4
26,(r)-(-)-methamphetamine,methamphetamine,False,False,True,,4
27,crystal_meth,methamphetamine,methamphetamine,True,True,,2
28,methamphetamine_hydrochloride,methamphetamine,methamphetamine,True,True,,1
29,methedrine,methamphetamine,ephedrine,False,True,,3
30,amphetamine,methamphetamine,amphetamine,False,False,,-1
31,methamnetmine,methamphetamine,False,False,False,,-1
32,metaphetamine,methamphetamine,False,False,True,,1
33,methamphetamine_hydrochloride,methamphetamine,methamphetamine,True,True,,1
34,speed,methamphetamine,False,False,False,,-1
35,crank,methamphetamine,False,False,False,,-1
36,crystal_meth,methamphetamine,methamphetamine,True,True,,2
37,ice,methamphetamine,False,False,True,,2
38,mphétamines,methamphetamine,False,False,False,,-1
39,amphetamine,methamphetamine,amphetamine,False,False,,-1
40,amphetamine,methamphetamine,amphetamine,False,False,,-1
41,speed,methamphetamine,False,False,False,,-1
42,uppers,methamphetamine,False,False,False,,-1
43,methmethamine,methamphetamine,False,False,True,,1
44,amphetamines,methamphetamine,dextroamphetamine,False,True,,7
45,meth,methamphetamine,methamphetamine,True,True,,4
46,crystal,methamphetamine,False,False,True,,6
47,glass,methamphetamine,False,False,False,,-1
48,ice,methamphetamine,False,False,True,,2
49,deoxyephedrine,methamphetamine,False,False,True,,3
50,methamfetamin,methamphetamine,False,False,True,,1
51,methamphetamine,methamphetamine,methamphetamine,True,True,,2
52,ephedrine,methamphetamine,ephedrine,False,True,,5
53,n-methylamphetamine,methamphetamine,False,False,True,,1
54,methylamphetamine,methamphetamine,methamphetamine,True,True,,2
55,methamphetamine_hydrochloride,methamphetamine,methamphetamine,True,True,,1
