,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
0,amphetimines,amphetamine,amphetamine,True,False,
1,amphetomines,amphetamine,False,False,True,
2,amfetamines,amphetamine,amphetamine,True,True,
3,amfetimines,amphetamine,False,False,True,
4,amfetomines,amphetamine,False,False,False,
5,amphetans,amphetamine,False,False,False,
6,amphetes,amphetamine,False,False,True,
7,amfetamine,amphetamine,amphetamine,True,True,
8,methamphetamine,amphetamine,methamphetamine,False,False,
9,methamphetamines,amphetamine,methamphetamine,False,False,
10,adderall,amphetamine,amphetamine,True,True,
11,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
12,amphetamine_drugs,amphetamine,False,True,True,
13,speed,amphetamine,False,False,False,
14,modafinil,amphetamine,modafinil,False,False,
15,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
16,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
17,methamphetamine,amphetamine,methamphetamine,False,False,
18,phenethylamine,amphetamine,phenethylamine,False,True,
19,methamphetamines,amphetamine,methamphetamine,False,False,
20,speed,amphetamine,False,False,False,
21,amphet/amfetamines,amphetamine,False,False,True,
22,amfetamine,amphetamine,amphetamine,True,True,
23,ephedrine,amphetamine,ephedrine,False,False,
24,amphetam,amphetamine,False,False,True,
25,amphetamine_sulfate,amphetamine,amphetamine,True,True,
26,methamphetamine,amphetamine,methamphetamine,False,False,
27,speed,amphetamine,False,False,False,
28,lisdexamfetamine_dimesylate,amphetamine,lisdexamfetamine,False,True,
29,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
30,methamphetamine,amphetamine,methamphetamine,False,False,
31,adderall,amphetamine,amphetamine,True,True,
32,amfetamine,amphetamine,amphetamine,True,True,
33,amphetamines,amphetamine,dextroamphetamine,False,True,
34,dexamphetamine,amphetamine,dextroamphetamine,False,True,
35,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
36,amfetamines,amphetamine,amphetamine,True,True,
37,methamphetamine,amphetamine,methamphetamine,False,False,
38,methamphetamines,amphetamine,methamphetamine,False,False,
39,amfetamine,amphetamine,amphetamine,True,True,
40,dexedrine,amphetamine,dextroamphetamine,False,True,
41,ampetamin,amphetamine,False,False,True,
42,amphetomine,amphetamine,False,False,True,
43,amfetamin,amphetamine,amphetamine,True,True,
44,amfetamina,amphetamine,False,False,True,
45,benzedrine,amphetamine,False,False,True,
46,dexedrine,amphetamine,dextroamphetamine,False,True,
47,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
48,methamphetamine,amphetamine,methamphetamine,False,False,
49,methylamphetamine,amphetamine,methamphetamine,False,True,
50,speed,amphetamine,False,False,False,
51,dexedrine,amphetamine,dextroamphetamine,False,True,
52,phetamines,amphetamine,False,False,True,
53,amfetamines,amphetamine,amphetamine,True,True,
54,amphetamine_sulfate,amphetamine,amphetamine,True,True,
55,amphetamines,amphetamine,dextroamphetamine,False,True,
56,desoxyephedrine,amphetamine,methamphetamine,False,False,
57,d-amphetamine,amphetamine,False,False,True,
58,methamphetamine,amphetamine,methamphetamine,False,False,
59,phenylamphetamine,amphetamine,False,False,False,
60,trimethoxyamphetamine,amphetamine,False,False,True,
61,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
62,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
63,amphetamine_hydrochloride,amphetamine,False,True,True,
64,methamphetamine,amphetamine,methamphetamine,False,False,
