,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,elitrox,prazepam,False,False,False,,-1
1,neustapam,prazepam,False,False,False,,-1
2,orapam,prazepam,False,False,False,,-1
3,prapam,prazepam,False,False,False,,-1
4,rozepam,prazepam,False,False,False,,-1
5,serax,prazepam,oxazepam,False,False,,-1
6,tranxene,prazepam,clorazepate,False,False,,-1
7,serenol,prazepam,False,False,False,,-1
8,stablon,prazepam,tianeptine,False,False,,-1
9,valium,prazepam,diazepam,False,False,,-1
10,xanax,prazepam,alprazolam,False,False,,-1
11,zepam,prazepam,False,False,False,,-1
12,ativan,prazepam,lorazepam,False,False,,-1
13,elipramid,prazepam,False,False,False,,-1
14,levopraziquantel,prazepam,False,False,False,,-1
15,norpraziquone,prazepam,False,False,False,,-1
16,pazepam,prazepam,False,False,False,,-1
17,quazepam,prazepam,quazepam,False,False,,-1
18,tranquinal,prazepam,False,False,False,,-1
19,sedapam,prazepam,False,False,False,,-1
20,aprazolam,prazepam,alprazolam,False,False,,-1
21,diazepam,prazepam,diazepam,False,False,,-1
22,tranquillisers,prazepam,False,False,False,,-1
23,tranquillizer,prazepam,False,False,False,,-1
24,atarax,prazepam,hydroxyzine,False,False,,-1
25,vistaril,prazepam,hydroxyzine,False,False,,-1
26,hydroxyzine,prazepam,hydroxyzine,False,False,,-1
27,buspirone,prazepam,buspirone,False,False,,-1
28,gabapentin,prazepam,gabapentin,False,False,,-1
29,pregabalin,prazepam,pregabalin,False,False,,-1
30,clonazepam,prazepam,clonazepam,False,False,,-1
31,elopam,prazepam,False,False,False,,-1
32,lepsilon,prazepam,False,False,False,,-1
33,nozepam,prazepam,False,False,False,,-1
34,oxapam,prazepam,False,False,False,,-1
35,paxum,prazepam,False,False,False,,-1
36,spleeper,prazepam,False,False,False,,-1
37,paxipam,prazepam,False,False,False,,-1
38,analog,prazepam,False,False,False,,-1
39,d-2079,prazepam,False,False,False,,-1
40,prazam,prazepam,False,False,False,,-1
41,pryzepam,prazepam,False,False,False,,-1
42,prazolan,prazepam,False,False,False,,-1
43,tranquipam,prazepam,False,False,False,,-1
44,tranquirit,prazepam,False,False,False,,-1
45,sedapam,prazepam,False,False,False,,-1
46,lyrica,prazepam,pregabalin,False,False,,-1
47,nexium,prazepam,esomeprazole,False,False,,-1
48,ativan,prazepam,lorazepam,False,False,,-1
49,xanax,prazepam,alprazolam,False,False,,-1
50,tranquirit,prazepam,False,False,False,,-1
51,zepax,prazepam,False,False,False,,-1
52,calmlet,prazepam,False,False,False,,-1
53,lexapam,prazepam,False,False,False,,-1
54,prosoms,prazepam,False,False,False,,-1
55,sanax,prazepam,False,False,False,,-1
56,zepax,prazepam,False,False,False,,-1
57,sepazolam,prazepam,False,False,False,,-1
58,xanax,prazepam,alprazolam,False,False,,-1
59,atarax,prazepam,hydroxyzine,False,False,,-1
60,xanax,prazepam,alprazolam,False,False,,-1
61,prazam,prazepam,False,False,False,,-1
62,benzodiazepine,prazepam,benzodiazepine,False,False,,-1
63,ativan,prazepam,lorazepam,False,False,,-1
64,tranxene,prazepam,clorazepate,False,False,,-1
65,valium,prazepam,diazepam,False,False,,-1
66,xanax,prazepam,alprazolam,False,False,,-1
67,klonopin,prazepam,clonazepam,False,False,,-1
68,restoril,prazepam,temazepam,False,False,,-1
69,lorazepam,prazepam,lorazepam,False,False,,-1
70,serax,prazepam,oxazepam,False,False,,-1
71,serepax,prazepam,oxazepam,False,False,,-1
72,serax,prazepam,oxazepam,False,False,,-1
73,prazopress,prazepam,False,False,False,,-1
74,pramiracetam,prazepam,False,False,False,,-1
75,stilnox,prazepam,zolpidem,False,False,,-1
76,serax,prazepam,oxazepam,False,False,,-1
77,serepax,prazepam,oxazepam,False,False,,-1
78,serenid,prazepam,False,False,False,,-1
79,serax,prazepam,oxazepam,False,False,,-1
80,iprozepam,prazepam,False,False,False,,-1
81,oxazepam,prazepam,oxazepam,False,False,,-1
82,lorazepam,prazepam,lorazepam,False,False,,-1
83,alprazolam,prazepam,alprazolam,False,False,,-1
84,paxipam,prazepam,False,False,False,,-1
85,tranquirit,prazepam,False,False,False,,-1
86,alprazolam,prazepam,alprazolam,False,False,,-1
87,xanax,prazepam,alprazolam,False,False,,-1
88,centrax_pam,prazepam,False,True,True,,1
89,tranxene,prazepam,clorazepate,False,False,,-1
90,tranxene_sd,prazepam,False,False,False,,-1
91,tranxene_s,prazepam,False,False,False,,-1
92,tranxene,prazepam,clorazepate,False,False,,-1
93,paxipam,prazepam,False,False,False,,-1
94,alprazolam,prazepam,alprazolam,False,False,,-1
95,tranquility,prazepam,False,False,False,,-1
96,calm,prazepam,False,False,False,,-1
97,peace,prazepam,False,False,False,,-1
98,serenity,prazepam,False,False,False,,-1
99,relaxation,prazepam,False,False,False,,-1
100,restoration,prazepam,False,False,False,,-1
101,joy,prazepam,False,False,False,,-1
102,ativan,prazepam,lorazepam,False,False,,-1
103,flexeril,prazepam,cyclobenzaprine,False,False,,-1
104,zanaflex,prazepam,tizanidine,False,False,,-1
105,skelaxin,prazepam,metaxalone,False,False,,-1
106,robaxin,prazepam,methocarbamol,False,False,,-1
107,baclofen,prazepam,baclofen,False,False,,-1
108,tizanidine,prazepam,tizanidine,False,False,,-1
109,carisoprodol,prazepam,carisoprodol,False,False,,-1
110,prazosin,prazepam,prazosin,False,False,,-1
111,dalmane,prazepam,flurazepam,False,False,,-1
112,estazolam,prazepam,estazolam,False,False,,-1
113,flurazepam,prazepam,flurazepam,False,False,,-1
114,halazepam,prazepam,halazepam,False,False,,-1
115,quazepam,prazepam,quazepam,False,False,,-1
116,lorazepam,prazepam,lorazepam,False,False,,-1
117,midazolam,prazepam,midazolam,False,False,,-1
118,oxazepam,prazepam,oxazepam,False,False,,-1
119,serepax,prazepam,oxazepam,False,False,,-1
120,tranxilium,prazepam,False,False,False,,-1
121,lexotan,prazepam,bretylium,False,False,,-1
122,librium,prazepam,chlordiazepoxide,False,False,,-1
123,ativan,prazepam,lorazepam,False,False,,-1
124,xanax,prazepam,alprazolam,False,False,,-1
125,klonopin,prazepam,clonazepam,False,False,,-1
126,valium,prazepam,diazepam,False,False,,-1
127,atarax,prazepam,hydroxyzine,False,False,,-1
128,tranquilizer,prazepam,False,False,False,,-1
129,serentyl,prazepam,False,False,False,,-1
130,sonata,prazepam,zaleplon,False,False,,-1
131,stoicalm,prazepam,False,False,False,,-1
132,tranxene,prazepam,clorazepate,False,False,,-1
133,xanax,prazepam,alprazolam,False,False,,-1
134,benzodiazepam,prazepam,False,False,False,,-1
135,tranquility,prazepam,False,False,False,,-1
136,serenity,prazepam,False,False,False,,-1
137,calm,prazepam,False,False,False,,-1
138,peace,prazepam,False,False,False,,-1
139,ativan,prazepam,lorazepam,False,False,,-1
140,prazosin,prazepam,prazosin,False,False,,-1
141,elopam,prazepam,False,False,False,,-1
142,flexeril,prazepam,cyclobenzaprine,False,False,,-1
143,mogadon,prazepam,nitrazepam,False,False,,-1
144,orap,prazepam,pimozide,False,False,,-1
145,oxazepam,prazepam,oxazepam,False,False,,-1
146,serax,prazepam,oxazepam,False,False,,-1
147,zepam,prazepam,False,False,False,,-1
148,serenity,prazepam,False,False,False,,-1
149,tranquillity,prazepam,False,False,False,,-1
150,xanax,prazepam,alprazolam,False,False,,-1
151,sedapam,prazepam,False,False,False,,-1
152,tranquilene,prazepam,False,False,False,,-1
153,pamergan,prazepam,False,False,False,,-1
154,poxet,prazepam,False,False,False,,-1
155,zolpidem,prazepam,zolpidem,False,False,,-1
156,ambien,prazepam,zolpidem,False,False,,-1
157,serax,prazepam,oxazepam,False,False,,-1
158,tranquinal,prazepam,False,False,False,,-1
159,zeprax,prazepam,False,False,False,,-1
160,ativan,prazepam,lorazepam,False,False,,-1
161,lorazepam,prazepam,lorazepam,False,False,,-1
162,benzodiazepine,prazepam,benzodiazepine,False,False,,-1
163,tranquilizer,prazepam,False,False,False,,-1
164,elixir,prazepam,False,False,False,,-1
165,spirit,prazepam,False,False,False,,-1
166,dalmane,prazepam,flurazepam,False,False,,-1
167,diazepam,prazepam,diazepam,False,False,,-1
168,diastat,prazepam,diazepam,False,False,,-1
169,valium,prazepam,diazepam,False,False,,-1
170,psyche,prazepam,False,False,False,,-1
171,atarax,prazepam,hydroxyzine,False,False,,-1
172,ativan,prazepam,lorazepam,False,False,,-1
173,sedapam,prazepam,False,False,False,,-1
174,serax,prazepam,oxazepam,False,False,,-1
175,tranquinal,prazepam,False,False,False,,-1
176,xanax,prazepam,alprazolam,False,False,,-1
177,tranquis,prazepam,False,False,False,,-1
178,axepam,prazepam,False,False,False,,-1
179,lorazepam,prazepam,lorazepam,False,False,,-1
180,alprazolam,prazepam,alprazolam,False,False,,-1
181,diazepam,prazepam,diazepam,False,False,,-1
182,midazolam,prazepam,midazolam,False,False,,-1
183,ativan,prazepam,lorazepam,False,False,,-1
184,lorazepam,prazepam,lorazepam,False,False,,-1
185,valium,prazepam,diazepam,False,False,,-1
186,xanax,prazepam,alprazolam,False,False,,-1
187,klonopin,prazepam,clonazepam,False,False,,-1
188,restoril,prazepam,temazepam,False,False,,-1
189,phenobarbital,prazepam,phenobarbital,False,False,,-1
190,elixir,prazepam,False,False,False,,-1
191,fluoxetine,prazepam,fluoxetine,False,False,,-1
192,halcion,prazepam,triazolam,False,False,,-1
193,lorazepam,prazepam,lorazepam,False,False,,-1
194,phenobarbital,prazepam,phenobarbital,False,False,,-1
195,prozac,prazepam,fluoxetine,False,False,,-1
196,seroquel,prazepam,quetiapine,False,False,,-1
197,trazodone,prazepam,trazodone,False,False,,-1
198,xanax,prazepam,alprazolam,False,False,,-1
199,zoloft,prazepam,sertraline,False,False,,-1
200,dicentra,prazepam,False,False,False,,-1
201,prazosin,prazepam,prazosin,False,False,,-1
202,serenity,prazepam,False,False,False,,-1
203,tranquility,prazepam,False,False,False,,-1
204,serax,prazepam,oxazepam,False,False,,-1
205,ativan,prazepam,lorazepam,False,False,,-1
206,serax,prazepam,oxazepam,False,False,,-1
207,serax,prazepam,oxazepam,False,False,,-1
208,pax,prazepam,False,False,False,,-1
209,diazapam,prazepam,diazepam,False,False,,-1
210,lorazepam,prazepam,lorazepam,False,False,,-1
211,alprazolam,prazepam,alprazolam,False,False,,-1
212,clonazepam,prazepam,clonazepam,False,False,,-1
213,flumazenil,prazepam,flumazenil,False,False,,-1
214,oxazepam,prazepam,oxazepam,False,False,,-1
215,temazepam,prazepam,temazepam,False,False,,-1
216,dermapan,prazepam,False,False,False,,-1
217,estazolam,prazepam,estazolam,False,False,,-1
218,flexeril,prazepam,cyclobenzaprine,False,False,,-1
219,flurazepam,prazepam,flurazepam,False,False,,-1
220,halcion,prazepam,triazolam,False,False,,-1
221,ativan,prazepam,lorazepam,False,False,,-1
222,klonopin,prazepam,clonazepam,False,False,,-1
223,pax,prazepam,False,False,False,,-1
224,trankimazin,prazepam,False,False,False,,-1
225,tranquinal,prazepam,False,False,False,,-1
226,paxipam,prazepam,False,False,False,,-1
227,diazepam,prazepam,diazepam,False,False,,-1
228,tranquilizer,prazepam,False,False,False,,-1
229,sedative,prazepam,False,False,False,,-1
230,prazosin,prazepam,prazosin,False,False,,-1
231,anafranil,prazepam,clomipramine,False,False,,-1
232,atarax,prazepam,hydroxyzine,False,False,,-1
233,buspirone,prazepam,buspirone,False,False,,-1
234,chlorpromazine,prazepam,chlorpromazine,False,False,,-1
235,clozapine,prazepam,clozapine,False,False,,-1
236,desipramine,prazepam,desipramine,False,False,,-1
237,ativan,prazepam,lorazepam,False,False,,-1
238,xanax,prazepam,alprazolam,False,False,,-1
239,tranquilizer,prazepam,False,False,False,,-1
240,ativan,prazepam,lorazepam,False,False,,-1
241,sedapam,prazepam,False,False,False,,-1
