,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,thiopental_sodium,thiopental,False,True,True,,1
1,thiophenone,thiopental,False,False,False,,-1
2,thiopental_sodium,thiopental,False,True,True,,1
3,thiophene-2-carbaldehyde,thiopental,False,False,False,,-1
4,methohexital,thiopental,methohexital,False,True,,9
5,brevital,thiopental,methohexital,False,True,,9
6,thiophenolate,thiopental,False,False,True,,5
7,pentobarbital,thiopental,pentobarbital,False,False,,-1
8,"thiophene-2,5-diol",thiopental,False,False,False,,-1
9,pentobarbital,thiopental,pentobarbital,False,False,,-1
10,pentothal,thiopental,thiopental,True,True,,1
11,thiopental_sodium,thiopental,False,True,True,,1
12,thiopental_sodium,thiopental,False,True,True,,1
13,thiopental_sodium_salt,thiopental,False,True,True,,1
14,thiopental_sodium,thiopental,False,True,True,,1
15,pentothal_sodium,thiopental,False,True,True,,1
16,thiopental_sodium,thiopental,False,True,True,,1
17,pentobarbital,thiopental,pentobarbital,False,False,,-1
18,thiopental_sodium,thiopental,False,True,True,,1
19,pentobarbital,thiopental,pentobarbital,False,False,,-1
20,thiopentone,thiopental,thiopental,True,True,,1
21,thiophene,thiopental,False,False,False,,-1
22,thiophenol,thiopental,False,False,True,,5
23,sodium_thiopental,thiopental,False,True,True,,1
24,thiopental_sodium,thiopental,False,True,True,,1
25,thiophen,thiopental,False,False,True,,10
26,thiophene,thiopental,False,False,False,,-1
27,thiophenol,thiopental,False,False,True,,5
28,thiopentalate,thiopental,False,False,False,,-1
29,thiopentalate,thiopental,False,False,False,,-1
30,pentothal,thiopental,thiopental,True,True,,1
31,thiopentaldehyde,thiopental,False,False,False,,-1
32,5-thiopentanal,thiopental,False,False,False,,-1
33,5-thiopentanol,thiopental,False,False,False,,-1
34,5-thiopentyl_alcohol,thiopental,False,False,True,,1
35,thiopenture,thiopental,False,False,False,,-1
36,thiopental_sodium,thiopental,False,True,True,,1
37,thiopentone,thiopental,thiopental,True,True,,1
38,pentothal_sodium,thiopental,False,True,True,,1
39,thiopentone,thiopental,thiopental,True,True,,1
40,thiopental_sodium,thiopental,False,True,True,,1
41,thiopental_sodium,thiopental,False,True,True,,1
42,thiopanthel,thiopental,False,False,False,,-1
43,thiopental_sodium,thiopental,False,True,True,,1
44,thiopentone,thiopental,thiopental,True,True,,1
45,thiopental_sodium,thiopental,False,True,True,,1
46,thiopental_sodium,thiopental,False,True,True,,1
47,thiopental_sodium,thiopental,False,True,True,,1
48,thiopentone,thiopental,thiopental,True,True,,1
49,thiopental_sodium,thiopental,False,True,True,,1
50,pentothal,thiopental,thiopental,True,True,,1
51,sodium_thiopental,thiopental,False,True,True,,1
52,thiopental_sodium,thiopental,False,True,True,,1
53,thiopentobarbital,thiopental,False,False,True,,5
54,thiophenonal,thiopental,False,False,False,,-1
55,pentothal_sodium,thiopental,False,True,True,,1
56,thiophenol,thiopental,False,False,True,,5
57,thiophene,thiopental,False,False,False,,-1
58,thiopental_sodium,thiopental,False,True,True,,1
59,thiopenta,thiopental,False,False,True,,1
60,thiopental_sodium,thiopental,False,True,True,,1
61,thiophenate,thiopental,False,False,False,,-1
62,sulphophenate,thiopental,False,False,False,,-1
63,thiopentone,thiopental,thiopental,True,True,,1
64,pentathol,thiopental,thiopental,True,True,,1
65,thiopentone,thiopental,thiopental,True,True,,1
66,thiopental_sodium,thiopental,False,True,True,,1
67,thiopental_sodium,thiopental,False,True,True,,1
68,thiophene-2-thiol,thiopental,False,False,False,,-1
69,thiopental_sodium,thiopental,False,True,True,,1
70,pentobarbital,thiopental,pentobarbital,False,False,,-1
71,pentobarbital,thiopental,pentobarbital,False,False,,-1
72,pentothal,thiopental,thiopental,True,True,,1
73,thiopentone,thiopental,thiopental,True,True,,1
74,thiopentone,thiopental,thiopental,True,True,,1
75,pentothal,thiopental,thiopental,True,True,,1
76,thiopental_sodium,thiopental,False,True,True,,1
77,pentothal_sodium,thiopental,False,True,True,,1
78,sodium_thiopental,thiopental,False,True,True,,1
79,thiopentone,thiopental,thiopental,True,True,,1
80,thiopental_sodium,thiopental,False,True,True,,1
81,thiopental_sodium,thiopental,False,True,True,,1
82,thiopental_sodium,thiopental,False,True,True,,1
83,sodium_pentothal,thiopental,thiopental,True,True,,1
84,pentothal,thiopental,thiopental,True,True,,1
85,thiophene,thiopental,False,False,False,,-1
86,thiophenol,thiopental,False,False,True,,5
87,fenethion,thiopental,False,False,False,,-1
88,phenthion,thiopental,False,False,False,,-1
89,thiophen,thiopental,False,False,True,,10
90,phenthol,thiopental,False,False,False,,-1
91,thiophenthol,thiopental,False,False,False,,-1
92,pentathine,thiopental,False,False,False,,-1
93,thiophentine,thiopental,False,False,False,,-1
94,thiopentone,thiopental,thiopental,True,True,,1
