,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,meprospan,meprobamate,False,False,True,,1
1,meprobamate_sodium,meprobamate,False,True,True,,2
2,meproban,meprobamate,False,False,True,,4
3,meprobate,meprobamate,False,False,True, pill,1
4,meproamphate,meprobamate,False,False,False,,-1
5,meproban,meprobamate,False,False,True,,4
6,meprobate,meprobamate,False,False,True, pill,1
7,tybamate,meprobamate,False,False,True,,2
8,meprobamate_sodium,meprobamate,False,True,True,,2
9,meprobamate_hydrochloride,meprobamate,False,True,True,,1
10,myolastan,meprobamate,False,False,False,,-1
11,p23,meprobamate,False,False,False,,-1
12,quaalude,meprobamate,methaqualone,False,False,,-1
13,sanofi,meprobamate,antithymocyte_immunoglobulin_(rabbit),False,False,,-1
14,sidnafil,meprobamate,False,False,False,,-1
15,skelaxin,meprobamate,metaxalone,False,False,,-1
16,thiopental,meprobamate,thiopental,False,False,,-1
17,meprobamate_sodium,meprobamate,False,True,True,,2
18,meprospan,meprobamate,False,False,True,,1
19,meprobamate,meprobamate,meprobamate,True,True,,1
20,miltown,meprobamate,meprobamate,True,True,,2
21,equanil,meprobamate,meprobamate,True,True,,2
22,meprobamic_acid,meprobamate,False,False,True,,1
23,trimethylpropanemethoxypropanol,meprobamate,False,False,False,,-1
24,nervomet,meprobamate,False,False,False,,-1
25,probamate,meprobamate,False,False,True,,1
26,tylex,meprobamate,aflibercept,False,False,,-1
27,meprobarbital,meprobamate,False,False,False,,-1
28,pabylamine,meprobamate,False,False,False,,-1
29,meprobamate_sodium,meprobamate,False,True,True,,2
30,myprodol,meprobamate,ibuprofen,False,False,,-1
31,meprobarbital,meprobamate,False,False,False,,-1
32,meproban,meprobamate,False,False,True,,4
33,meprogesic,meprobamate,False,False,True, slang,2
34,mepronix,meprobamate,False,False,False,,-1
35,meprolite,meprobamate,False,False,False,,-1
36,meprothazine,meprobamate,False,False,False,,-1
37,meprozac,meprobamate,False,False,False,,-1
38,quinalbarbitone,meprobamate,False,False,False,,-1
39,myprobarb,meprobamate,False,False,False,,-1
40,myprobamate,meprobamate,False,False,False,,-1
41,probarbital,meprobamate,False,False,False,,-1
42,mepro,meprobamate,False,False,True, pill,1
43,meprobamate,meprobamate,meprobamate,True,True,,1
44,miltown,meprobamate,meprobamate,True,True,,2
45,calmpose,meprobamate,False,False,False,,-1
46,meproban,meprobamate,False,False,True,,4
47,mephenesin,meprobamate,False,False,True,,1
48,tranxene,meprobamate,clorazepate,False,False,,-1
49,miltowns,meprobamate,False,False,True,,1
50,stoicals,meprobamate,False,False,False,,-1
51,tranqipam,meprobamate,False,False,False,,-1
52,tranquilizer,meprobamate,False,False,False,,-1
53,sedative,meprobamate,False,False,False,,-1
54,pipradrol,meprobamate,pipradrol,False,False,,-1
55,carisoprodol,meprobamate,carisoprodol,False,False,,-1
56,orvaten,meprobamate,False,False,False,,-1
57,toluene,meprobamate,toluene,False,False,,-1
58,meprobamate_sodium,meprobamate,False,True,True,,2
59,meprobamate_potassium,meprobamate,False,True,True,,1
60,miranil,meprobamate,False,False,False,,-1
61,proban,meprobamate,False,False,False,,-1
62,sanmex,meprobamate,False,False,False,,-1
63,meprobamate_salt,meprobamate,False,True,True,,1
64,meprobamate_ester,meprobamate,False,True,True,,1
65,m-state,meprobamate,False,False,False,,-1
66,luminal,meprobamate,phenobarbital,False,False,,-1
67,mesocarb,meprobamate,False,False,False,,-1
68,mebenzodiazepine,meprobamate,False,False,False,,-1
69,meprobarbital,meprobamate,False,False,False,,-1
70,meprobamate_sodium,meprobamate,False,True,True,,2
71,meprobamate,meprobamate,meprobamate,True,True,,1
72,mepronate,meprobamate,False,False,False,,-1
73,meprob_power,meprobamate,False,False,True,,2
74,equanil,meprobamate,meprobamate,True,True,,2
75,meprobamate,meprobamate,meprobamate,True,True,,1
76,equanil,meprobamate,meprobamate,True,True,,2
77,meprobamate,meprobamate,meprobamate,True,True,,1
78,diprolid,meprobamate,False,False,False,,-1
79,amiphenax,meprobamate,False,False,False,,-1
80,milonic,meprobamate,False,False,False,,-1
81,milltown,meprobamate,False,False,True, pill,2
82,monobenlate,meprobamate,False,False,False,,-1
83,mysoline,meprobamate,primidone,False,False,,-1
84,neuromate,meprobamate,False,False,False,,-1
85,pamabrom,meprobamate,False,False,False,,-1
86,sinutab,meprobamate,False,False,False,,-1
87,meprobrimate,meprobamate,False,False,False,,-1
88,meproconate,meprobamate,False,False,False,,-1
89,meproconazole,meprobamate,False,False,False,,-1
90,meprodine,meprobamate,False,False,False,,-1
91,meprofloxacin,meprobamate,False,False,False,,-1
92,mepromazine,meprobamate,False,False,False,,-1
93,mepronium,meprobamate,False,False,False,,-1
94,serax,meprobamate,oxazepam,False,False,,-1
95,tranxene,meprobamate,clorazepate,False,False,,-1
96,meblitica,meprobamate,False,False,False,,-1
97,mephobarbital,meprobamate,False,False,False,,-1
98,mestranol,meprobamate,mestranol,False,False,,-1
99,meprobacoate,meprobamate,False,False,False,,-1
100,meprizol,meprobamate,False,False,False,,-1
101,mephenesin,meprobamate,False,False,True,,1
102,metamfetamine,meprobamate,methamphetamine,False,False,,-1
103,meprospan,meprobamate,False,False,True,,1
104,mepro,meprobamate,False,False,True, pill,1
105,meprobate,meprobamate,False,False,True, pill,1
106,norpramin,meprobamate,desipramine,False,False,,-1
107,porter,meprobamate,False,False,False,,-1
108,pro-banthine,meprobamate,False,False,False,,-1
109,typaldos,meprobamate,False,False,False,,-1
