,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
0,loraz,lorazepam,chlorhexadol,False,True,
1,lorazem,lorazepam,False,False,True,
2,lorazodone,lorazepam,False,False,False,
3,loraital,lorazepam,False,False,False,
4,loval,lorazepam,False,False,False,
5,lorazine,lorazepam,False,False,True,
6,ansiolin,lorazepam,False,False,False,
7,lorazepan,lorazepam,lorazepam,True,True,
8,lorazepane,lorazepam,False,False,True,
9,lorazepamum,lorazepam,False,False,True,
10,ativan,lorazepam,lorazepam,True,True,
11,lorazapem,lorazepam,lorazepam,True,True,
12,lorazepan,lorazepam,lorazepam,True,True,
13,lorazepax,lorazepam,False,False,False,
14,lorazepan,lorazepam,lorazepam,True,True,
15,lorazepin,lorazepam,False,False,True,
16,orfidal,lorazepam,False,False,True,
17,calmatic,lorazepam,False,False,False,
18,ansiolin,lorazepam,False,False,False,
19,ativan,lorazepam,lorazepam,True,True,
20,tranxene,lorazepam,clorazepate,False,False,
21,valium,lorazepam,diazepam,False,False,
22,xanax,lorazepam,alprazolam,False,False,
23,klonopin,lorazepam,clonazepam,False,False,
24,zoloft,lorazepam,sertraline,False,False,
25,zanax,lorazepam,alprazolam,False,False,
26,azepam,lorazepam,oxazepam,False,True,
27,calmpam,lorazepam,False,False,True,
28,dalmane,lorazepam,flurazepam,False,False,
29,estazolam,lorazepam,estazolam,False,False,
30,halazepam,lorazepam,halazepam,False,False,
31,klonopin,lorazepam,clonazepam,False,False,
32,loprazolam,lorazepam,loprazolam,False,True,
33,midazolam,lorazepam,midazolam,False,False,
34,nerium,lorazepam,esomeprazole,False,False,
35,oxazepam,lorazepam,oxazepam,False,True,
36,prazepam,lorazepam,prazepam,False,False,
37,temazepam,lorazepam,temazepam,False,False,
38,triazolam,lorazepam,triazolam,False,False,
39,xanax,lorazepam,alprazolam,False,False,
40,zolpidem,lorazepam,zolpidem,False,False,
41,ativan,lorazepam,lorazepam,True,True,
42,lorapazam,lorazepam,False,False,True,
43,lorpazam,lorazepam,False,False,True,
44,ativan,lorazepam,lorazepam,True,True,
45,ativan,lorazepam,lorazepam,True,True,
46,ativan,lorazepam,lorazepam,True,True,
47,lorapazepam,lorazepam,False,False,False,
48,lorapam,lorazepam,False,False,True,
49,loripam,lorazepam,False,False,True,
50,lorzepam,lorazepam,lorazepam,True,True,
51,alprazolam,lorazepam,alprazolam,False,False,
52,lorapazam,lorazepam,False,False,True,
53,lorpazam,lorazepam,False,False,True,
54,lapazam,lorazepam,False,False,False,
55,clonazepam,lorazepam,clonazepam,False,False,
56,dalmane,lorazepam,flurazepam,False,False,
57,diatran,lorazepam,False,False,False,
58,diastat,lorazepam,diazepam,False,False,
59,estazolam,lorazepam,estazolam,False,False,
60,euros,lorazepam,False,False,False,
61,halcion,lorazepam,triazolam,False,False,
62,koberus,lorazepam,False,False,False,
63,klonopin,lorazepam,clonazepam,False,False,
64,medazepam,lorazepam,temazepam,False,False,
65,midazolam,lorazepam,midazolam,False,False,
66,niravam,lorazepam,alprazolam,False,True,
67,orfidal,lorazepam,False,False,True,
68,oxazepam,lorazepam,oxazepam,False,True,
69,prazepam,lorazepam,prazepam,False,False,
70,remestan,lorazepam,False,False,False,
71,restoril,lorazepam,temazepam,False,False,
72,sertraline,lorazepam,sertraline,False,False,
73,tranxene,lorazepam,clorazepate,False,False,
74,valeans,lorazepam,False,False,False,
75,valium,lorazepam,diazepam,False,False,
76,versed,lorazepam,midazolam,False,False,
77,xanax,lorazepam,alprazolam,False,False,
78,zepose,lorazepam,False,False,False,
79,toxicam,lorazepam,False,False,False,
80,tranxene,lorazepam,clorazepate,False,False,
81,libritabs,lorazepam,False,False,False,
82,lorazolam,lorazepam,False,False,True,
83,duralazepam,lorazepam,False,False,False,
84,lorametazepam,lorazepam,False,False,True,
85,orapam,lorazepam,False,False,False,
86,ativan,lorazepam,lorazepam,True,True,
87,lorazepam_tablets,lorazepam,False,True,True,
88,lorazepam_injection,lorazepam,False,True,True,
89,orapam,lorazepam,False,False,False,
90,zapam,lorazepam,False,False,False,
91,lorazepan,lorazepam,lorazepam,True,True,
92,lorazepanes,lorazepam,False,False,False,
93,lorazepons,lorazepam,False,False,False,
94,lorazepoxid,lorazepam,False,False,False,
95,lorazepamses,lorazepam,False,False,False,
96,lorzepram,lorazepam,False,False,True,
97,lorripam,lorazepam,False,False,False,
98,loracepam,lorazepam,False,False,True,
99,loravepam,lorazepam,False,False,False,
100,lorapepam,lorazepam,False,False,True,
101,loropam,lorazepam,False,False,True,
102,lorzapam,lorazepam,lorazepam,True,True,
103,lorsopam,lorazepam,False,False,False,
104,lortab,lorazepam,hydrocodone,False,False,
105,lorcet,lorazepam,hydrocodone,False,False,
106,lortas,lorazepam,False,False,False,
107,losartan,lorazepam,losartan,False,False,
108,lorazapine,lorazepam,False,False,True,
109,lorazapamum,lorazepam,False,False,False,
110,lorzepams,lorazepam,False,False,True,
111,lorzeapam,lorazepam,False,False,True,
112,lorzeapams,lorazepam,False,False,False,
113,lopezapam,lorazepam,False,False,False,
114,loropam,lorazepam,False,False,True,
115,breathing_space,lorazepam,False,False,False,
116,calm_life,lorazepam,False,False,False,
117,catalog,lorazepam,False,False,False,
118,clear_conscience,lorazepam,False,False,False,
119,come_down,lorazepam,False,False,False,
120,cool_down,lorazepam,False,False,False,
121,cushion,lorazepam,False,False,False,
122,daydream,lorazepam,False,False,False,
123,doze,lorazepam,False,False,False,
124,dozy,lorazepam,False,False,False,
125,drowse,lorazepam,False,False,False,
126,drowsing,lorazepam,False,False,False,
127,easing,lorazepam,False,False,False,
128,easy_does_it,lorazepam,False,False,False,
129,easy_life,lorazepam,False,False,False,
130,feel-good,lorazepam,False,False,False,
131,feel-better,lorazepam,False,False,False,
132,feel-good_factor,lorazepam,False,False,False,
133,finished,lorazepam,False,False,False,
134,first-aid,lorazepam,False,False,False,
135,good_samaritan,lorazepam,False,False,False,
136,happy_pills,lorazepam,False,False,False,
137,help,lorazepam,False,False,False,
138,life_preserver,lorazepam,False,False,False,
139,medicine,lorazepam,False,False,False,
140,mute,lorazepam,False,False,False,
141,nonchalant,lorazepam,False,False,False,
142,off_one's_head,lorazepam,False,False,False,
143,on_a_cloud,lorazepam,False,False,False,
144,on_cloud_nine,lorazepam,False,False,False,
145,out,lorazepam,False,False,False,
146,over,lorazepam,False,False,False,
147,part,lorazepam,False,False,False,
148,patch_up,lorazepam,False,False,False,
149,piece,lorazepam,False,False,False,
150,physicians_desk_reference,lorazepam,False,False,False,
151,prozac,lorazepam,fluoxetine,False,False,
152,quiet,lorazepam,False,False,False,
153,rescue,lorazepam,False,False,False,
154,restoration,lorazepam,False,False,False,
155,search_and_destroy,lorazepam,False,False,False,
156,serenity,lorazepam,False,False,False,
157,serene,lorazepam,False,False,False,
158,sedate,lorazepam,False,False,False,
159,sedated,lorazepam,False,False,False,
160,sedative,lorazepam,False,False,False,
161,shooter,lorazepam,False,False,False,
162,loracepam,lorazepam,False,False,True,
163,lorzapam,lorazepam,lorazepam,True,True,
164,lorazepams,lorazepam,lorazepam,True,True,
165,lorazaprone,lorazepam,False,False,False,
166,alprazolam,lorazepam,alprazolam,False,False,
167,lorazipam,lorazepam,lorazepam,True,True,
168,lorazopam,lorazepam,lorazepam,True,True,
169,lorapam,lorazepam,False,False,True,
170,loripam,lorazepam,False,False,True,
171,lorpam,lorazepam,False,False,True,
172,orapam,lorazepam,False,False,False,
173,lorapazam,lorazepam,False,False,True,
174,lorapazolam,lorazepam,False,False,False,
175,loraolepam,lorazepam,False,False,False,
176,loraozepam,lorazepam,False,False,False,
177,loraprazepam,lorazepam,False,False,False,
178,lorprazolam,lorazepam,False,False,True,
179,tranxene,lorazepam,clorazepate,False,False,
180,xanax,lorazepam,alprazolam,False,False,
181,loride,lorazepam,False,False,False,
182,lormetazepam,lorazepam,lormetazepam,False,True,
183,azepam,lorazepam,oxazepam,False,True,
184,alprazolam,lorazepam,alprazolam,False,False,
185,tranxene,lorazepam,clorazepate,False,False,
186,valium,lorazepam,diazepam,False,False,
187,xanax,lorazepam,alprazolam,False,False,
188,librium,lorazepam,chlordiazepoxide,False,False,
189,klonopin,lorazepam,clonazepam,False,False,
190,restoril,lorazepam,temazepam,False,False,
191,ativan,lorazepam,lorazepam,True,True,
