,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,xanax,alprazolam,alprazolam,True,True,True
1,xanax,alprazolam,alprazolam,True,True,True
2,alpraz,alprazolam,False,False,True,True
3,alprazolam,alprazolam,alprazolam,True,True,True
4,alpraz,alprazolam,False,False,True,True
5,xanax,alprazolam,alprazolam,True,True,True
6,ativan,alprazolam,lorazepam,False,False,False
7,ativan,alprazolam,lorazepam,False,False,False
8,ativan,alprazolam,lorazepam,False,False,False
9,Niravam,alprazolam,alprazolam,True,True,True
10,alpraz,alprazolam,False,False,True,True
11,alprazolsm,alprazolam,False,False,True,True
12,alprazolum,alprazolam,False,False,True,True
13,alprazolsm,alprazolam,False,False,True,True
14,alprazolwm,alprazolam,False,False,True,Error
15,diazepam,alprazolam,diazepam,False,False,False
16,lorazepam,alprazolam,lorazepam,False,False,False
17,alprazolan,alprazolam,alprazolam,True,True,True
18,alprazolamum,alprazolam,False,False,True,True
19,alpraz,alprazolam,False,False,True,True
20,xanax,alprazolam,alprazolam,True,True,True
21,xanax,alprazolam,alprazolam,True,True,True
22,alpraz,alprazolam,False,False,True,True
23,alprazolam,alprazolam,alprazolam,True,True,True
24,alpraz,alprazolam,False,False,True,True
25,alprazolam,alprazolam,alprazolam,True,True,True
26,alprazolan,alprazolam,alprazolam,True,True,True
27,alprazolsm,alprazolam,False,False,True,True
28,alprazolam,alprazolam,alprazolam,True,True,True
29,xanor,alprazolam,alprazolam,True,True,True
30,alprazolam,alprazolam,alprazolam,True,True,True
31,a-praz,alprazolam,False,False,False,True
32,alp,alprazolam,False,False,False,True
33,alprazolom,alprazolam,alprazolam,True,True,True
34,xanax,alprazolam,alprazolam,True,True,True
35,alpraz,alprazolam,False,False,True,True
36,xanax,alprazolam,alprazolam,True,True,True
37,xanax,alprazolam,alprazolam,True,True,True
38,xanex,alprazolam,alprazolam,True,False,True
39,zanax,alprazolam,alprazolam,True,True,True
40,alpraz,alprazolam,False,False,True,True
41,alprazolam,alprazolam,alprazolam,True,True,True
42,alpraz,alprazolam,False,False,True,True
43,alprazolam,alprazolam,alprazolam,True,True,True
44,alpraz,alprazolam,False,False,True,True
45,alprazolam,alprazolam,alprazolam,True,True,True
46,ativan,alprazolam,lorazepam,False,False,False
47,klonopin,alprazolam,clonazepam,False,True,False
48,alprazolom,alprazolam,alprazolam,True,True,True
49,xanax,alprazolam,alprazolam,True,True,True
50,alpraz,alprazolam,False,False,True,True
51,alprazlam,alprazolam,False,False,True,True
52,alprazolom,alprazolam,alprazolam,True,True,True
53,alpraz,alprazolam,False,False,True,True
54,alprazolams,alprazolam,alprazolam,True,True,True
55,alprazolam,alprazolam,alprazolam,True,True,True
56,aplrazolam,alprazolam,alprazolam,True,False,True
57,zanax,alprazolam,alprazolam,True,True,True
58,alpraz,alprazolam,False,False,True,True
59,alprazol,alprazolam,False,False,True,True
60,alpraz,alprazolam,False,False,True,True
61,alprazolam,alprazolam,alprazolam,True,True,True
62,xanor,alprazolam,alprazolam,True,True,True
63,zanapam,alprazolam,False,False,True,True
64,xanax,alprazolam,alprazolam,True,True,True
65,xanax,alprazolam,alprazolam,True,True,True
66,alprazolam,alprazolam,alprazolam,True,True,True
67,xanax,alprazolam,alprazolam,True,True,True
68,xanor,alprazolam,alprazolam,True,True,True
69,alpraz,alprazolam,False,False,True,True
70,serena,alprazolam,False,False,False,False
71,xanax,alprazolam,alprazolam,True,True,True
72,alpraz,alprazolam,False,False,True,True
73,alp,alprazolam,False,False,False,True
74,alzolam,alprazolam,False,False,True,True
75,aprozalam,alprazolam,False,False,True,True
76,alprazolan,alprazolam,alprazolam,True,True,True
77,alprazolsm,alprazolam,False,False,True,True
78,xanax,alprazolam,alprazolam,True,True,True
79,azolam,alprazolam,acetazolamide,False,True,True
80,xanax,alprazolam,alprazolam,True,True,True
81,aripiprazole,alprazolam,aripiprazole,False,False,False
82,xanor,alprazolam,alprazolam,True,True,True
83,zanax,alprazolam,alprazolam,True,True,True
84,xanax,alprazolam,alprazolam,True,True,True
85,ativan,alprazolam,lorazepam,False,False,False
86,klonopin,alprazolam,clonazepam,False,True,False
87,xanax,alprazolam,alprazolam,True,True,True
88,xanax,alprazolam,alprazolam,True,True,True
89,xanax,alprazolam,alprazolam,True,True,True
90,alprazolan,alprazolam,alprazolam,True,True,True
91,alprazolamum,alprazolam,False,False,True,True
92,alzolam,alprazolam,False,False,True,True
93,xanax,alprazolam,alprazolam,True,True,True
94,xanax,alprazolam,alprazolam,True,True,True
95,aplrazolam,alprazolam,alprazolam,True,False,True
96,xanax,alprazolam,alprazolam,True,True,True
97,alprazolam,alprazolam,alprazolam,True,True,True
98,xanax,alprazolam,alprazolam,True,True,True
99,alpraz,alprazolam,False,False,True,True
100,alprazolam,alprazolam,alprazolam,True,True,True
101,aplrazolam,alprazolam,alprazolam,True,False,True
102,alpraz,alprazolam,False,False,True,True
103,alprazolam,alprazolam,alprazolam,True,True,True
104,xanax,alprazolam,alprazolam,True,True,True
105,xanor,alprazolam,alprazolam,True,True,True
106,alprazolan,alprazolam,alprazolam,True,True,True
107,alprazolane,alprazolam,False,False,True,True
108,xanax,alprazolam,alprazolam,True,True,True
109,ativan,alprazolam,lorazepam,False,False,False
110,klonopin,alprazolam,clonazepam,False,True,False
111,xanax,alprazolam,alprazolam,True,True,True
112,xanax,alprazolam,alprazolam,True,True,True
113,ativan,alprazolam,lorazepam,False,False,False
114,alpraz,alprazolam,False,False,True,True
115,xanor,alprazolam,alprazolam,True,True,True
116,alpraz,alprazolam,False,False,True,True
117,alprazolam,alprazolam,alprazolam,True,True,True
118,alprazolam,alprazolam,alprazolam,True,True,True
119,alpraz,alprazolam,False,False,True,True
120,alprazolam,alprazolam,alprazolam,True,True,True
121,alpraz,alprazolam,False,False,True,True
122,alprazolam,alprazolam,alprazolam,True,True,True
123,alprazolame,alprazolam,False,False,True,True
124,alprazolamu,alprazolam,False,False,True,True
125,alpraz,alprazolam,False,False,True,True
126,alprazolam,alprazolam,alprazolam,True,True,True
127,xanax,alprazolam,alprazolam,True,True,True
128,aplrazolam,alprazolam,alprazolam,True,False,True
129,azolam,alprazolam,acetazolamide,False,True,True
130,xanax,alprazolam,alprazolam,True,True,True
131,xanor,alprazolam,alprazolam,True,True,True
132,alpraz,alprazolam,False,False,True,True
133,bars,alprazolam,False,False,False,True
134,alpraz,alprazolam,False,False,True,True
135,alprazolam,alprazolam,alprazolam,True,True,True
136,xanax,alprazolam,alprazolam,True,True,True
137,xanax,alprazolam,alprazolam,True,True,True
138,xanax,alprazolam,alprazolam,True,True,True
139,xanax,alprazolam,alprazolam,True,True,True
140,alpraz,alprazolam,False,False,True,True
141,alprazolam,alprazolam,alprazolam,True,True,True
142,alpraz,alprazolam,False,False,True,True
143,alprazolam,alprazolam,alprazolam,True,True,True
144,xanax,alprazolam,alprazolam,True,True,True
145,aprozalam,alprazolam,False,False,True,True
146,alpram,alprazolam,False,False,True,True
147,zolam,alprazolam,False,False,True,True
148,alp,alprazolam,False,False,False,True
149,az,alprazolam,False,False,False,True
150,alpraz,alprazolam,False,False,True,True
151,alprazolam,alprazolam,alprazolam,True,True,True
152,xanax,alprazolam,alprazolam,True,True,True
153,alpraz,alprazolam,False,False,True,True
154,alpraz,alprazolam,False,False,True,True
155,alprazolam,alprazolam,alprazolam,True,True,True
156,xanax,alprazolam,alprazolam,True,True,True
157,alprazolan,alprazolam,alprazolam,True,True,True
158,alprazolsm,alprazolam,False,False,True,True
159,alpraz,alprazolam,False,False,True,True
160,alprazolam,alprazolam,alprazolam,True,True,True
161,ativan,alprazolam,lorazepam,False,False,False
162,alprazolan,alprazolam,alprazolam,True,True,True
163,alprazolane,alprazolam,False,False,True,True
164,xanor,alprazolam,alprazolam,True,True,True
165,alpraz,alprazolam,False,False,True,True
166,xanor,alprazolam,alprazolam,True,True,True
167,alpraz,alprazolam,False,False,True,True
168,alpraz,alprazolam,False,False,True,True
