,model,temp,freq,pres,prompts,queries_per_prompt,counter,n_terms,n_uniq,n_terms_same_redmed_seed,n_terms_other_redmed_seed,n_terms_redmed_inside,n_terms_not_seed_yes_inside,n_terms_not_seed_not_inside,n_terms_google_alone,n_terms_google_pill,n_terms_google,n_terms_not_redmed_yes_google,n_terms_not_redmed_not_google,n_uniq_same_redmed_seed,n_uniq_other_redmed_seed,n_uniq_redmed_inside,n_uniq_not_seed_yes_inside,n_uniq_not_seed_not_inside,n_uniq_google_alone,n_uniq_google_pill,n_uniq_google,n_uniq_not_redmed_yes_google,n_uniq_not_redmed_not_google,n_ungs
0,text-davinci-002,0.3,0.0,0.0,1000,1,False,2681,376,640,893,655,27,2014,1447,1670,1703,1108,933,26,111,39,14,336,133,177,175,149,168,145
1,text-davinci-002,0.0,0.5,0.0,1000,1,False,2375,298,649,665,685,47,1679,1354,1606,1623,1018,708,26,67,38,13,259,112,146,148,122,119,119
2,text-davinci-002,0.3,0.0,1.0,1000,1,False,2422,338,626,809,648,28,1768,1262,1490,1518,943,853,29,88,36,8,301,120,159,158,129,141,125
3,text-davinci-002,0.6,1.0,1.0,1000,1,False,1936,390,571,539,586,19,1346,1036,1246,1256,730,635,33,94,39,7,350,128,174,176,143,173,140
4,text-davinci-002,0.6,0.5,0.5,1000,1,False,2352,440,605,741,610,15,1732,1280,1451,1492,967,780,31,116,38,8,401,150,185,188,157,191,155
5,text-davinci-002,1.0,0.0,0.5,1000,1,True,1644,381,687,299,712,34,923,1066,1192,1201,569,388,36,78,47,12,333,127,158,165,129,175,125
6,text-davinci-002,0.3,1.0,0.0,1000,1,False,2129,289,613,632,635,25,1491,1203,1393,1407,830,686,28,74,34,8,253,105,134,135,107,130,105
7,text-davinci-002,0.0,0.0,0.0,1000,1,False,2749,355,650,858,684,44,2055,1475,1756,1776,1180,919,25,92,37,13,317,116,169,167,142,153,138
8,text-davinci-002,0.6,0.0,0.0,1000,1,False,3024,556,727,988,734,24,2273,1519,1747,1772,1133,1164,34,138,43,10,512,155,213,212,178,277,174
9,text-davinci-002,0.0,1.0,0.0,1000,1,True,1582,105,777,176,801,28,777,1262,1390,1402,628,177,20,26,23,4,81,52,63,64,44,38,44
10,text-davinci-002,1.0,0.5,1.0,1000,1,True,1621,349,677,282,687,26,918,1061,1186,1194,562,382,33,58,39,8,308,107,137,139,106,174,104
11,text-davinci-002,0.6,0.5,0.0,1000,1,False,2450,449,644,710,661,25,1781,1353,1559,1601,1033,773,31,86,39,9,409,152,195,197,166,192,163
12,text-davinci-002,0.0,0.5,0.5,1000,1,False,2211,292,603,671,638,40,1568,1215,1451,1478,901,707,23,87,34,12,257,114,143,148,125,127,121
13,text-davinci-002,0.0,0.0,0.5,1000,1,False,2873,507,637,950,665,36,2200,1418,1684,1690,1217,1019,22,128,34,13,472,140,191,185,163,194,160
14,text-davinci-002,1.0,0.5,0.5,1000,1,True,1598,365,687,258,710,32,879,1081,1203,1208,562,349,30,69,44,15,320,114,140,144,114,187,113
15,text-davinci-002,1.0,0.5,1.0,1000,1,False,2213,780,473,639,509,43,1697,910,1171,1189,849,891,42,131,59,19,719,186,263,264,222,400,218
16,text-davinci-002,0.0,0.0,0.5,1000,1,True,1585,100,763,237,782,20,802,1240,1333,1351,592,230,20,31,23,4,76,48,59,61,41,36,39
17,text-davinci-002,0.3,0.5,0.0,1000,1,True,1618,137,781,248,795,16,821,1242,1355,1378,604,233,19,50,24,6,112,58,70,72,53,59,51
18,text-davinci-002,0.6,1.0,0.5,1000,1,True,1557,151,722,241,732,21,814,1147,1275,1281,575,260,20,36,21,2,129,65,79,78,58,60,57
19,text-davinci-002,0.0,1.0,0.0,1000,1,False,2071,257,649,510,677,33,1389,1288,1498,1520,894,528,22,68,29,9,226,102,130,132,110,106,109
20,text-davinci-002,0.6,0.0,0.0,1000,1,True,1619,164,773,263,790,31,815,1200,1326,1351,587,259,25,36,33,9,130,76,93,96,71,60,69
21,text-davinci-002,0.6,0.0,1.0,1000,1,False,2465,469,611,791,631,29,1825,1241,1463,1498,948,906,36,110,47,12,421,146,194,197,161,228,157
22,text-davinci-002,1.0,0.0,0.0,1000,1,True,1626,353,654,310,681,35,937,1035,1187,1202,592,380,35,71,45,11,307,113,148,151,116,163,115
23,text-davinci-002,0.3,0.5,0.5,1000,1,False,2247,306,618,680,633,19,1610,1230,1461,1478,891,738,24,73,32,9,273,108,148,149,125,133,122
