,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,temaze,temazepam,temazepam,True,True,,1
1,restoril,temazepam,temazepam,True,True,,3
2,zopiclone,temazepam,eszopiclone,False,False,,-1
3,flunitrazepam,temazepam,flunitrazepam,False,False,,-1
4,canalzepam,temazepam,False,False,False,,-1
5,diazepam,temazepam,diazepam,False,False,,-1
6,nitrazepam,temazepam,nitrazepam,False,False,,-1
7,lorazepam,temazepam,lorazepam,False,False,,-1
8,alprazolam,temazepam,alprazolam,False,False,,-1
9,triazolam,temazepam,triazolam,False,False,,-1
10,temazepan,temazepam,temazepam,True,True,,1
11,temazepane,temazepam,False,False,True,,1
12,tembram,temazepam,False,False,False,,-1
13,temzepam,temazepam,False,False,True,,1
14,norketamine,temazepam,False,False,False,,-1
15,oxazepam,temazepam,oxazepam,False,False,,-1
16,alprazolam,temazepam,alprazolam,False,False,,-1
17,lorazepam,temazepam,lorazepam,False,False,,-1
18,diazepam,temazepam,diazepam,False,False,,-1
19,zolpidem,temazepam,zolpidem,False,False,,-1
20,eszopiclone,temazepam,eszopiclone,False,False,,-1
21,azepam,temazepam,oxazepam,False,False,,-1
22,larvae,temazepam,False,False,False,,-1
23,lunesta,temazepam,eszopiclone,False,False,,-1
24,edluar,temazepam,zolpidem,False,False,,-1
25,zolpimist,temazepam,zolpidem,False,False,,-1
26,ambien,temazepam,zolpidem,False,False,,-1
27,sonata,temazepam,zaleplon,False,False,,-1
28,rozerem,temazepam,ramelteon,False,True,,4
29,temzepam,temazepam,False,False,True,,1
30,azepam,temazepam,oxazepam,False,False,,-1
31,lorazepam,temazepam,lorazepam,False,False,,-1
32,temazepam,temazepam,temazepam,True,True,,2
33,flunipam,temazepam,False,False,False,,-1
34,prazepam,temazepam,prazepam,False,True,,10
35,oxazepam,temazepam,oxazepam,False,False,,-1
36,serepax,temazepam,oxazepam,False,False,,-1
37,estazolam,temazepam,estazolam,False,False,,-1
38,tegretol,temazepam,carbamazepine,False,False,,-1
39,benzodiazepine,temazepam,benzodiazepine,False,False,,-1
40,normison,temazepam,temazepam,True,True,,2
41,restoril,temazepam,temazepam,True,True,,3
42,temazes,temazepam,False,False,True,,2
43,temazepine,temazepam,False,False,True,,1
44,temazepines,temazepam,False,False,True,,1
45,restoril,temazepam,temazepam,True,True,,3
46,versed,temazepam,midazolam,False,False,,-1
47,ativan,temazepam,lorazepam,False,False,,-1
48,klonopin,temazepam,clonazepam,False,False,,-1
49,valium,temazepam,diazepam,False,False,,-1
50,xanax,temazepam,alprazolam,False,False,,-1
51,ambien,temazepam,zolpidem,False,False,,-1
52,benzodiazepines,temazepam,benzodiazepine,False,True,,9
53,benign,temazepam,False,False,False,,-1
54,laxative,temazepam,False,False,False,,-1
55,zzepam,temazepam,False,False,False,,-1
56,tepan,temazepam,False,False,False,,-1
57,tezepam,temazepam,False,False,True,,1
58,temza,temazepam,False,False,False,,-1
59,thienzepam,temazepam,False,False,False,,-1
60,tazepam,temazepam,False,False,True,,1
61,temazapan,temazepam,temazepam,True,True,,1
62,temaze,temazepam,temazepam,True,True,,1
63,temozepam,temazepam,False,False,True,,1
64,temaze,temazepam,temazepam,True,True,,1
65,tem,temazepam,tretamine,False,False,,-1
66,zepam,temazepam,False,False,False,,-1
67,teazepam,temazepam,False,False,True,,1
68,telazol,temazepam,False,False,False,,-1
69,temaze,temazepam,temazepam,True,True,,1
70,temazepamum,temazepam,False,False,False,,-1
71,temaze,temazepam,temazepam,True,True,,1
72,epam,temazepam,False,False,False,,-1
73,azepam,temazepam,oxazepam,False,False,,-1
74,serepax,temazepam,oxazepam,False,False,,-1
75,restoril,temazepam,temazepam,True,True,,3
76,tranquil,temazepam,False,False,False,,-1
77,zepam,temazepam,False,False,False,,-1
78,flurazepam,temazepam,flurazepam,False,True,,10
79,quazepam,temazepam,quazepam,False,True,,3
80,bromazepam,temazepam,bromazepam,False,False,,-1
81,temicin,temazepam,False,False,False,,-1
82,temazolan,temazepam,False,False,False,,-1
83,temazol,temazepam,False,False,False,,-1
84,temakel,temazepam,False,False,False,,-1
85,temazapan,temazepam,temazepam,True,True,,1
86,temazepane,temazepam,False,False,True,,1
87,normison,temazepam,temazepam,True,True,,2
88,euhypnos,temazepam,False,False,True,,3
89,loramet,temazepam,False,False,False,,-1
90,norketamine,temazepam,False,False,False,,-1
91,ketazolam,temazepam,False,False,False,,-1
92,alprazolam,temazepam,alprazolam,False,False,,-1
93,teazepam,temazepam,False,False,True,,1
94,tazepam,temazepam,False,False,True,,1
95,temazepamum,temazepam,False,False,False,,-1
96,lorazepam,temazepam,lorazepam,False,False,,-1
97,alprazolam,temazepam,alprazolam,False,False,,-1
98,diazepam,temazepam,diazepam,False,False,,-1
99,clonazepam,temazepam,clonazepam,False,False,,-1
100,zolpidem,temazepam,zolpidem,False,False,,-1
101,eszopiclone,temazepam,eszopiclone,False,False,,-1
102,zaleplon,temazepam,zaleplon,False,False,,-1
103,temazor,temazepam,False,False,False,,-1
104,temesta,temazepam,lorazepam,False,True,,3
105,temezepam,temazepam,temazepam,True,True,,1
106,temezepan,temazepam,False,False,True,,1
107,temkat,temazepam,False,False,False,,-1
108,temol,temazepam,False,False,False,,-1
109,temazolam,temazepam,False,False,True,,1
110,temaffle,temazepam,False,False,False,,-1
111,terezepam,temazepam,False,False,False,,-1
112,lorazepam,temazepam,lorazepam,False,False,,-1
113,alprazolam,temazepam,alprazolam,False,False,,-1
114,diazepam,temazepam,diazepam,False,False,,-1
115,clonazepam,temazepam,clonazepam,False,False,,-1
116,flurazepam,temazepam,flurazepam,False,True,,10
117,chlordiazepoxide,temazepam,chlordiazepoxide,False,False,,-1
118,oxazepam,temazepam,oxazepam,False,False,,-1
119,temazepam,temazepam,temazepam,True,True,,2
120,restoril,temazepam,temazepam,True,True,,3
121,normison,temazepam,temazepam,True,True,,2
122,euhypnos,temazepam,False,False,True,,3
123,oxysleep,temazepam,False,False,False,,-1
124,somnox,temazepam,False,False,False,,-1
125,stilnoct,temazepam,zolpidem,False,False,,-1
126,z,temazepam,False,False,False,,-1
127,tazepam,temazepam,False,False,True,,1
128,teazepam,temazepam,False,False,True,,1
129,theazepam,temazepam,False,False,False,,-1
130,thiamazepam,temazepam,False,False,False,,-1
131,temazepanum,temazepam,False,False,False,,-1
132,temazepine,temazepam,False,False,True,,1
133,temazepam.,temazepam,False,False,True,,2
134,temazeapam,temazepam,False,False,True,,1
135,temazepan,temazepam,temazepam,True,True,,1
136,temazapam,temazepam,temazepam,True,True,,1
137,temaze,temazepam,temazepam,True,True,,1
138,tem,temazepam,tretamine,False,False,,-1
139,temozolam,temazepam,False,False,False,,-1
140,temozepam,temazepam,False,False,True,,1
141,lorazepam,temazepam,lorazepam,False,False,,-1
142,oxazepam,temazepam,oxazepam,False,False,,-1
143,alprazolam,temazepam,alprazolam,False,False,,-1
144,diazepam,temazepam,diazepam,False,False,,-1
145,flunitrazepam,temazepam,flunitrazepam,False,False,,-1
146,chlordiazepoxide,temazepam,chlordiazepoxide,False,False,,-1
147,tem_babe,temazepam,False,False,False,,-1
148,tem_cepam,temazepam,False,False,False,,-1
149,temazolam,temazepam,False,False,True,,1
150,temaz,temazepam,temazepam,True,True,,1
151,temaze,temazepam,temazepam,True,True,,1
152,norzepam,temazepam,False,False,False,,-1
153,flumazenil,temazepam,flumazenil,False,False,,-1
154,benzodiazepine,temazepam,benzodiazepine,False,False,,-1
155,temaze,temazepam,temazepam,True,True,,1
156,teazepam,temazepam,False,False,True,,1
157,tazepam,temazepam,False,False,True,,1
158,teazepam,temazepam,False,False,True,,1
159,telazepam,temazepam,False,False,False,,-1
160,temaze_ever,temazepam,False,True,True,,2
161,temazepam,temazepam,temazepam,True,True,,2
162,temazepam,temazepam,temazepam,True,True,,2
163,temazepam,temazepam,temazepam,True,True,,2
164,temazepam,temazepam,temazepam,True,True,,2
165,temazepam,temazepam,temazepam,True,True,,2
166,temazepam,temazepam,temazepam,True,True,,2
167,temazepam,temazepam,temazepam,True,True,,2
168,tranxene,temazepam,clorazepate,False,False,,-1
169,lorazepam,temazepam,lorazepam,False,False,,-1
170,alprazolam,temazepam,alprazolam,False,False,,-1
171,diazepam,temazepam,diazepam,False,False,,-1
172,zolpidem,temazepam,zolpidem,False,False,,-1
173,eszopiclone,temazepam,eszopiclone,False,False,,-1
174,tem_valium,temazepam,False,False,True,,5
175,temaz,temazepam,temazepam,True,True,,1
176,tem_alprazolam,temazepam,False,False,True, drug,10
177,temazepamum,temazepam,False,False,False,,-1
178,temesta,temazepam,lorazepam,False,True,,3
179,normison,temazepam,temazepam,True,True,,2
180,euhypnos,temazepam,False,False,True,,3
181,lentiazem,temazepam,False,False,False,,-1
182,apozepam,temazepam,False,False,False,,-1
183,ephylone,temazepam,False,False,False,,-1
184,norketamine,temazepam,False,False,False,,-1
185,temaze,temazepam,temazepam,True,True,,1
186,azepam,temazepam,oxazepam,False,False,,-1
187,zepam,temazepam,False,False,False,,-1
188,euhypnos,temazepam,False,False,True,,3
189,notheme,temazepam,False,False,False,,-1
190,hypnoril,temazepam,False,False,False,,-1
191,mebumal,temazepam,False,False,False,,-1
192,temazepan,temazepam,temazepam,True,True,,1
193,restoril,temazepam,temazepam,True,True,,3
194,flumazepam,temazepam,False,False,True,,5
195,tem,temazepam,tretamine,False,False,,-1
196,azepam,temazepam,oxazepam,False,False,,-1
197,serax,temazepam,oxazepam,False,False,,-1
198,temaz,temazepam,temazepam,True,True,,1
199,temaze,temazepam,temazepam,True,True,,1
200,normison,temazepam,temazepam,True,True,,2
201,norkotral,temazepam,False,False,True,,1
202,oxazepam,temazepam,oxazepam,False,False,,-1
203,alprazolam,temazepam,alprazolam,False,False,,-1
204,temazepan,temazepam,temazepam,True,True,,1
205,flurazepam,temazepam,flurazepam,False,True,,10
206,quazepam,temazepam,quazepam,False,True,,3
207,diazepam,temazepam,diazepam,False,False,,-1
208,alprazolam,temazepam,alprazolam,False,False,,-1
209,lorazepam,temazepam,lorazepam,False,False,,-1
210,clonazepam,temazepam,clonazepam,False,False,,-1
211,zolpidem,temazepam,zolpidem,False,False,,-1
212,temazepan,temazepam,temazepam,True,True,,1
213,temaze,temazepam,temazepam,True,True,,1
214,temazes,temazepam,False,False,True,,2
215,mepronizine,temazepam,False,False,False,,-1
216,quazepam,temazepam,quazepam,False,True,,3
217,diazepam,temazepam,diazepam,False,False,,-1
218,flurazepam,temazepam,flurazepam,False,True,,10
219,midazolam,temazepam,midazolam,False,False,,-1
220,lorazepam,temazepam,lorazepam,False,False,,-1
221,oxazepam,temazepam,oxazepam,False,False,,-1
222,noctec,temazepam,chloral_hydrate,False,False,,-1
223,vallies,temazepam,False,False,False,,-1
224,temaz,temazepam,temazepam,True,True,,1
225,tazepam,temazepam,False,False,True,,1
226,teazepam,temazepam,False,False,True,,1
227,tepazepam,temazepam,False,False,True,,1
228,terazepam,temazepam,False,False,True,,1
229,tizanidine,temazepam,tizanidine,False,False,,-1
230,temaz,temazepam,temazepam,True,True,,1
231,temaze,temazepam,temazepam,True,True,,1
232,tembam,temazepam,False,False,False,,-1
233,temesta,temazepam,lorazepam,False,True,,3
234,temezepam,temazepam,temazepam,True,True,,1
235,temodar,temazepam,temozolomide,False,False,,-1
236,tempo,temazepam,False,False,False,,-1
237,temazopan,temazepam,False,False,True,,1
238,temzepam,temazepam,False,False,True,,1
239,temazepon,temazepam,False,False,False,,-1
240,tazepam,temazepam,False,False,True,,1
241,temazepan,temazepam,temazepam,True,True,,1
242,temazepanes,temazepam,False,False,False,,-1
243,temazepanes,temazepam,False,False,False,,-1
244,temazepam,temazepam,temazepam,True,True,,2
245,temazepanes,temazepam,False,False,False,,-1
246,phenazepam,temazepam,False,False,False,,-1
247,benzodiazepam,temazepam,False,False,False,,-1
248,normison,temazepam,temazepam,True,True,,2
249,norkotral,temazepam,False,False,True,,1
250,temazapan,temazepam,temazepam,True,True,,1
251,restoril,temazepam,temazepam,True,True,,3
252,restoril,temazepam,temazepam,True,True,,3
253,normison,temazepam,temazepam,True,True,,2
254,dalmane,temazepam,flurazepam,False,True,,10
255,estazolam,temazepam,estazolam,False,False,,-1
256,flurazepam,temazepam,flurazepam,False,True,,10
257,nitrazepam,temazepam,nitrazepam,False,False,,-1
258,quazepam,temazepam,quazepam,False,True,,3
259,triclofos,temazepam,False,False,False,,-1
260,zaleplon,temazepam,zaleplon,False,False,,-1
261,temazep,temazepam,False,False,True,,1
262,temazepamum,temazepam,False,False,False,,-1
263,temasek,temazepam,False,False,False,,-1
264,temesta,temazepam,lorazepam,False,True,,3
265,normison,temazepam,temazepam,True,True,,2
266,norkotral,temazepam,False,False,True,,1
267,merbentyl,temazepam,False,False,False,,-1
268,diazemul,temazepam,False,False,False,,-1
269,alboral,temazepam,False,False,False,,-1
270,temzepam,temazepam,False,False,True,,1
271,temozepam,temazepam,False,False,True,,1
272,plnormison,temazepam,False,False,False,,-1
273,temaz,temazepam,temazepam,True,True,,1
274,temaze,temazepam,temazepam,True,True,,1
275,restoril,temazepam,temazepam,True,True,,3
276,restoril,temazepam,temazepam,True,True,,3
277,phenazepam,temazepam,False,False,False,,-1
278,alprazolam,temazepam,alprazolam,False,False,,-1
279,diazepam,temazepam,diazepam,False,False,,-1
280,flunitrazepam,temazepam,flunitrazepam,False,False,,-1
281,zolpidem,temazepam,zolpidem,False,False,,-1
282,oxazepam,temazepam,oxazepam,False,False,,-1
283,alprazolam,temazepam,alprazolam,False,False,,-1
284,lorazepam,temazepam,lorazepam,False,False,,-1
285,diazepam,temazepam,diazepam,False,False,,-1
286,clonazepam,temazepam,clonazepam,False,False,,-1
287,zolpidem,temazepam,zolpidem,False,False,,-1
288,team,temazepam,False,False,False,,-1
289,temol,temazepam,False,False,False,,-1
290,temaz,temazepam,temazepam,True,True,,1
291,temaze,temazepam,temazepam,True,True,,1
292,tempazepam,temazepam,temazepam,True,True,,1
293,tembikal,temazepam,False,False,False,,-1
294,temesta,temazepam,lorazepam,False,True,,3
295,flunitrazepam,temazepam,flunitrazepam,False,False,,-1
296,lorazepam,temazepam,lorazepam,False,False,,-1
297,flumazenil,temazepam,flumazenil,False,False,,-1
298,roche,temazepam,False,False,False,,-1
299,librium,temazepam,chlordiazepoxide,False,True,,10
300,temazolam,temazepam,False,False,True,,1
301,flumazepil,temazepam,flumazenil,False,False,,-1
302,temezepam,temazepam,temazepam,True,True,,1
303,temporazepam,temazepam,False,False,False,,-1
304,thienodiazepam,temazepam,False,False,False,,-1
305,oxazepam,temazepam,oxazepam,False,False,,-1
306,lorazepam,temazepam,lorazepam,False,False,,-1
307,alprazolam,temazepam,alprazolam,False,False,,-1
308,diazepam,temazepam,diazepam,False,False,,-1
309,flurazepam,temazepam,flurazepam,False,True,,10
310,midazolam,temazepam,midazolam,False,False,,-1
311,temazepan,temazepam,temazepam,True,True,,1
312,tazepam,temazepam,False,False,True,,1
313,tezepam,temazepam,False,False,True,,1
314,temazepan,temazepam,temazepam,True,True,,1
315,temazepane,temazepam,False,False,True,,1
316,temazepan,temazepam,temazepam,True,True,,1
317,thienodiazepam,temazepam,False,False,False,,-1
318,temani,temazepam,False,False,False,,-1
319,tenox,temazepam,False,False,True,,1
320,t-zepam,temazepam,False,False,False,,-1
321,temaze,temazepam,temazepam,True,True,,1
322,temazepan,temazepam,temazepam,True,True,,1
323,temazolam,temazepam,False,False,True,,1
324,temazeepam,temazepam,False,False,True,,1
325,temporazepam,temazepam,False,False,False,,-1
326,diazepam,temazepam,diazepam,False,False,,-1
327,alprazolam,temazepam,alprazolam,False,False,,-1
328,triazolam,temazepam,triazolam,False,False,,-1
329,estazolam,temazepam,estazolam,False,False,,-1
330,quazepam,temazepam,quazepam,False,True,,3
331,lorazepam,temazepam,lorazepam,False,False,,-1
332,flurazepam,temazepam,flurazepam,False,True,,10
333,trankimazin,temazepam,False,False,False,,-1
334,norketamine,temazepam,False,False,False,,-1
335,ketazolam,temazepam,False,False,False,,-1
336,alazopram,temazepam,False,False,False,,-1
337,azepam,temazepam,oxazepam,False,False,,-1
338,benzodiazepam,temazepam,False,False,False,,-1
339,temazepine,temazepam,False,False,True,,1
340,flunitrazepam,temazepam,flunitrazepam,False,False,,-1
341,oxazepam,temazepam,oxazepam,False,False,,-1
342,alprazolam,temazepam,alprazolam,False,False,,-1
343,lorazepam,temazepam,lorazepam,False,False,,-1
344,diazepam,temazepam,diazepam,False,False,,-1
345,chlordiazepoxide,temazepam,chlordiazepoxide,False,False,,-1
346,temaze,temazepam,temazepam,True,True,,1
347,temazepam,temazepam,temazepam,True,True,,2
348,tazepam,temazepam,False,False,True,,1
349,temazes,temazepam,False,False,True,,2
350,temazepak,temazepam,False,False,False,,-1
351,temazolam,temazepam,False,False,True,,1
352,flurazepam,temazepam,flurazepam,False,True,,10
353,diazepam,temazepam,diazepam,False,False,,-1
354,alprazolam,temazepam,alprazolam,False,False,,-1
355,lorazepam,temazepam,lorazepam,False,False,,-1
356,lycoctonum,temazepam,False,False,False,,-1
357,teralenf,temazepam,False,False,False,,-1
358,restoril,temazepam,temazepam,True,True,,3
359,trilafon,temazepam,perphenazine,False,False,,-1
360,lorazepam,temazepam,lorazepam,False,False,,-1
361,ativan,temazepam,lorazepam,False,False,,-1
362,klonopin,temazepam,clonazepam,False,False,,-1
