,model,temp,freq,pres,prompts,queries_per_prompt,counter,n_terms,n_uniq,n_terms_same_redmed_seed,n_terms_other_redmed_seed,n_terms_redmed_inside,n_terms_not_seed_yes_inside,n_terms_not_seed_not_inside,n_terms_google_alone,n_terms_google_pill,n_terms_google,n_terms_not_redmed_yes_google,n_terms_not_redmed_not_google,n_uniq_same_redmed_seed,n_uniq_other_redmed_seed,n_uniq_redmed_inside,n_uniq_not_seed_yes_inside,n_uniq_not_seed_not_inside,n_uniq_google_alone,n_uniq_google_pill,n_uniq_google,n_uniq_not_redmed_yes_google,n_uniq_not_redmed_not_google,n_ungs
0,text-davinci-002,0.5,0.0,0.0,1000,1,False,4508,467,337,589,442,125,4046,1042,2091,2171,1911,2260,18,85,48,34,415,122,179,198,181,237,171
1,text-davinci-002,0.0,0.0,0.0,1000,1,False,5170,426,327,718,378,75,4768,1031,2201,2290,2037,2806,14,74,41,30,382,101,157,168,155,220,146
2,text-davinci-002,0.5,0.0,1.0,1000,1,False,3774,383,351,514,409,92,3331,855,1815,1875,1586,1837,15,71,40,28,340,96,142,155,141,212,133
3,text-davinci-002,0.0,1.0,0.0,1000,1,False,3241,263,367,386,393,67,2807,755,1634,1693,1365,1509,12,40,27,19,232,78,119,129,118,120,111
4,text-davinci-002,1.0,1.0,1.0,1000,1,False,2645,629,240,344,265,58,2347,589,1334,1405,1254,1151,16,89,46,35,578,128,195,218,205,354,198
5,text-davinci-002,0.0,1.0,1.0,1000,1,False,2531,261,354,287,368,61,2116,626,1379,1437,1120,1057,12,50,32,23,226,72,112,120,109,119,101
6,text-davinci-002,1.0,0.0,1.0,1000,1,False,3650,893,250,502,320,112,3288,757,1659,1726,1579,1821,19,111,70,56,818,168,261,285,267,551,259
7,text-davinci-002,0.5,1.0,0.0,1000,1,False,3080,311,304,315,360,87,2689,680,1559,1601,1343,1433,14,54,31,21,276,92,132,145,132,147,125
8,text-davinci-002,1.0,1.0,0.0,1000,1,False,3009,700,235,483,264,55,2719,664,1397,1481,1336,1438,23,118,48,33,644,155,211,240,219,406,210
9,text-davinci-002,0.0,0.0,1.0,1000,1,False,3899,309,337,522,398,95,3467,899,1885,1949,1643,1919,12,64,41,32,265,95,133,146,135,145,125
10,text-davinci-002,0.5,1.0,1.0,1000,1,False,2549,275,328,339,325,47,2174,609,1329,1381,1087,1134,12,58,25,16,247,68,106,113,102,150,94
11,text-davinci-002,1.0,0.0,0.0,1000,1,False,4054,1023,251,570,318,91,3712,838,1753,1832,1714,2089,17,124,61,48,958,177,283,310,294,637,283
