,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,sufentanil,alfentanil,sufentanil,False,False,,-1
1,fentanyl,alfentanil,fentanyl,False,False,,-1
2,phentanil,alfentanil,False,False,False,,-1
3,levofentanyl,alfentanil,False,False,False,,-1
4,desfentanyl,alfentanil,False,False,False,,-1
5,carfentanil,alfentanil,carfentanil,False,False,,-1
6,sufentanil,alfentanil,sufentanil,False,False,,-1
7,alfentanyl,alfentanil,alfentanil,True,True,,2
8,ultiva,alfentanil,False,False,False,,-1
9,fentanyl,alfentanil,fentanyl,False,False,,-1
10,sufentanil,alfentanil,sufentanil,False,False,,-1
11,fentanyl,alfentanil,fentanyl,False,False,,-1
12,duragesic,alfentanil,fentanyl,False,False,,-1
13,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
14,actiq,alfentanil,fentanyl,False,False,,-1
15,duragesic,alfentanil,fentanyl,False,False,,-1
16,abstral,alfentanil,fentanyl,False,False,,-1
17,fentora,alfentanil,fentanyl,False,False,,-1
18,fentanil,alfentanil,fentanyl,False,False,,-1
19,fentanyl,alfentanil,fentanyl,False,False,,-1
20,sufentanil,alfentanil,sufentanil,False,False,,-1
21,fentanyl,alfentanil,fentanyl,False,False,,-1
22,phentanil,alfentanil,False,False,False,,-1
23,sufentanil,alfentanil,sufentanil,False,False,,-1
24,fentaniko,alfentanil,False,False,False,,-1
25,sufentanil,alfentanil,sufentanil,False,False,,-1
26,sufentanil,alfentanil,sufentanil,False,False,,-1
27,fentanyl,alfentanil,fentanyl,False,False,,-1
28,alfentanyl,alfentanil,alfentanil,True,True,,2
29,lofentanil,alfentanil,lofentanil,False,True,,7
30,profentanyl,alfentanil,False,False,False,,-1
31,sufentanil,alfentanil,sufentanil,False,False,,-1
32,fentora,alfentanil,fentanyl,False,False,,-1
33,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
34,talofentanil,alfentanil,False,False,False,,-1
35,lofentanil,alfentanil,lofentanil,False,True,,7
36,feanteranyl,alfentanil,False,False,False,,-1
37,sufentanil,alfentanil,sufentanil,False,False,,-1
38,sedorfan,alfentanil,False,False,False,,-1
39,fentanyl,alfentanil,fentanyl,False,False,,-1
40,sufentanil,alfentanil,sufentanil,False,False,,-1
41,sufentanil,alfentanil,sufentanil,False,False,,-1
42,fenta,alfentanil,pentaerythritol_tetranitrate,False,False,,-1
43,alfanil,alfentanil,False,False,False,,-1
44,sufentanil,alfentanil,sufentanil,False,False,,-1
45,fentanyl,alfentanil,fentanyl,False,False,,-1
46,sufentanil,alfentanil,sufentanil,False,False,,-1
47,alfenta,alfentanil,False,False,True,,7
48,bentylol,alfentanil,dicyclomine,False,False,,-1
49,r-2323,alfentanil,False,False,False,,-1
50,fk-anzit,alfentanil,False,False,False,,-1
51,akron-24,alfentanil,False,False,False,,-1
52,ici-2681,alfentanil,False,False,False,,-1
53,j-30377,alfentanil,False,False,False,,-1
54,quaternary_amine,alfentanil,False,False,False,,-1
55,phentanil,alfentanil,False,False,False,,-1
56,fentanil,alfentanil,fentanyl,False,False,,-1
57,sufentanil,alfentanil,sufentanil,False,False,,-1
58,fentanil,alfentanil,fentanyl,False,False,,-1
59,fentanyl,alfentanil,fentanyl,False,False,,-1
60,sufentanil,alfentanil,sufentanil,False,False,,-1
61,alfentanyl,alfentanil,alfentanil,True,True,,2
62,laevo-alfentanil,alfentanil,False,False,True,,1
63,(+)-alfentanil,alfentanil,False,False,True,,1
64,(-)-alfentanil,alfentanil,False,False,True,,1
65,carfentanil,alfentanil,carfentanil,False,False,,-1
66,remifentanil,alfentanil,remifentanil,False,False,,-1
67,sufentanil,alfentanil,sufentanil,False,False,,-1
68,sufentanil,alfentanil,sufentanil,False,False,,-1
69,fentanil,alfentanil,fentanyl,False,False,,-1
70,fentanyl,alfentanil,fentanyl,False,False,,-1
71,sufentanil,alfentanil,sufentanil,False,False,,-1
72,sufentanil,alfentanil,sufentanil,False,False,,-1
73,opioids,alfentanil,oxycodone,False,False,,-1
74,palfentanyl,alfentanil,False,False,False,,-1
75,sufentanil,alfentanil,sufentanil,False,False,,-1
76,fentanyl,alfentanil,fentanyl,False,False,,-1
77,sufentanil,alfentanil,sufentanil,False,False,,-1
78,sufentanil,alfentanil,sufentanil,False,False,,-1
79,fentanyl,alfentanil,fentanyl,False,False,,-1
80,sufentanil,alfentanil,sufentanil,False,False,,-1
81,sufentanil,alfentanil,sufentanil,False,False,,-1
82,"fentanyl,_alfentanil",alfentanil,False,True,True,,2
83,phentanyl,alfentanil,fentanyl,False,False,,-1
84,alphaprodine,alfentanil,False,False,True,,2
85,a6810,alfentanil,False,False,False,,-1
86,abyufentanil,alfentanil,False,False,False,,-1
87,fentanyl,alfentanil,fentanyl,False,False,,-1
88,duragesic,alfentanil,fentanyl,False,False,,-1
89,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
90,sufentanil,alfentanil,sufentanil,False,False,,-1
91,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
92,ultiva,alfentanil,False,False,False,,-1
93,fentanils,alfentanil,False,False,False,,-1
94,fentanyl_analogs,alfentanil,False,False,False,,-1
95,fentanyl_derivatives,alfentanil,False,False,False,,-1
96,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
97,fentanyl,alfentanil,fentanyl,False,False,,-1
98,sufentanil,alfentanil,sufentanil,False,False,,-1
99,lofentanil,alfentanil,lofentanil,False,True,,7
100,alfentanil,alfentanil,alfentanil,True,False,,-1
101,fentanest,alfentanil,False,False,False,,-1
102,invant,alfentanil,False,False,False,,-1
103,lofentanil,alfentanil,lofentanil,False,True,,7
104,ablfentanil,alfentanil,False,False,False,,-1
105,sufentanil,alfentanil,sufentanil,False,False,,-1
106,fentanyl,alfentanil,fentanyl,False,False,,-1
107,fentanil,alfentanil,fentanyl,False,False,,-1
108,fentanyl,alfentanil,fentanyl,False,False,,-1
109,sufentanil,alfentanil,sufentanil,False,False,,-1
110,syntocinon,alfentanil,oxytocin,False,False,,-1
111,fentanil,alfentanil,fentanyl,False,False,,-1
112,sufentanil,alfentanil,sufentanil,False,False,,-1
113,remifentanil,alfentanil,remifentanil,False,False,,-1
114,alfenta,alfentanil,False,False,True,,7
115,histrelin,alfentanil,histrelin,False,False,,-1
116,ocfentanil,alfentanil,alfentanil,True,False,,-1
117,angle-tens,alfentanil,False,False,False,,-1
118,catron,alfentanil,False,False,False,,-1
119,duragesic,alfentanil,fentanyl,False,False,,-1
120,fentora,alfentanil,fentanyl,False,False,,-1
121,foggy-tens,alfentanil,False,False,False,,-1
122,j-tens,alfentanil,False,False,False,,-1
123,lofentanil,alfentanil,lofentanil,False,True,,7
124,meptanil,alfentanil,False,False,False,,-1
125,palfentanyl,alfentanil,False,False,False,,-1
126,sufentanil,alfentanil,sufentanil,False,False,,-1
127,trigentyl,alfentanil,False,False,False,,-1
128,ultiva,alfentanil,False,False,False,,-1
129,fentanest,alfentanil,False,False,False,,-1
130,fentanyl,alfentanil,fentanyl,False,False,,-1
131,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
132,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
133,sufentanil,alfentanil,sufentanil,False,False,,-1
134,lofentanil,alfentanil,lofentanil,False,True,,7
135,sufentanil,alfentanil,sufentanil,False,False,,-1
136,sufentanil,alfentanil,sufentanil,False,False,,-1
137,fentanil,alfentanil,fentanyl,False,False,,-1
138,fentora,alfentanil,fentanyl,False,False,,-1
139,fentanyl,alfentanil,fentanyl,False,False,,-1
140,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
141,ultiva,alfentanil,False,False,False,,-1
142,sufenta,alfentanil,sufentanil,False,False,,-1
143,duragesic,alfentanil,fentanyl,False,False,,-1
144,fentanil,alfentanil,fentanyl,False,False,,-1
145,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
146,duragesic,alfentanil,fentanyl,False,False,,-1
147,innovar-vet,alfentanil,False,False,False,,-1
148,large-animal_alfaxan,alfentanil,False,False,False,,-1
149,wildnil,alfentanil,False,False,False,,-1
150,sufentanil,alfentanil,sufentanil,False,False,,-1
151,ultiva,alfentanil,False,False,False,,-1
152,fentanil,alfentanil,fentanyl,False,False,,-1
153,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
154,duragesic,alfentanil,fentanyl,False,False,,-1
155,actiq,alfentanil,fentanyl,False,False,,-1
156,sufentanil,alfentanil,sufentanil,False,False,,-1
157,carfentanil,alfentanil,carfentanil,False,False,,-1
158,lofentanil,alfentanil,lofentanil,False,True,,7
159,abbott,alfentanil,False,False,False,,-1
160,fentanil,alfentanil,fentanyl,False,False,,-1
161,lentaron,alfentanil,False,False,False,,-1
162,acetyl_fentanyl,alfentanil,False,False,False,,-1
163,phentanil,alfentanil,False,False,False,,-1
164,sufentanil,alfentanil,sufentanil,False,False,,-1
165,carfentanil,alfentanil,carfentanil,False,False,,-1
166,fentanyl,alfentanil,fentanyl,False,False,,-1
167,sufentanil,alfentanil,sufentanil,False,False,,-1
168,sufentanil,alfentanil,sufentanil,False,False,,-1
169,fentanyl,alfentanil,fentanyl,False,False,,-1
170,sufentanil,alfentanil,sufentanil,False,False,,-1
171,fentanyl,alfentanil,fentanyl,False,False,,-1
172,panfuran,alfentanil,False,False,False,,-1
173,sufentanil,alfentanil,sufentanil,False,False,,-1
174,fentanyl,alfentanil,fentanyl,False,False,,-1
175,darvon,alfentanil,dextropropoxyphene,False,False,,-1
176,talwin,alfentanil,pentazocine,False,False,,-1
177,heroin,alfentanil,heroin,False,False,,-1
178,morphine,alfentanil,morphine,False,False,,-1
179,codeine,alfentanil,codeine,False,False,,-1
180,oxycodone,alfentanil,oxycodone,False,False,,-1
181,hydrocodone,alfentanil,hydrocodone,False,False,,-1
182,methadone,alfentanil,methadone,False,False,,-1
183,buprenorphine,alfentanil,buprenorphine,False,False,,-1
184,naloxone,alfentanil,naloxone,False,False,,-1
185,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
186,ultiva,alfentanil,False,False,False,,-1
187,fentanyl,alfentanil,fentanyl,False,False,,-1
188,sufentanyl,alfentanil,sufentanil,False,False,,-1
189,carfentanil,alfentanil,carfentanil,False,False,,-1
190,alpha-methyl-fentanyl,alfentanil,False,False,False,,-1
191,3-methylfentanyl,alfentanil,3-methylfentanyl,False,False,,-1
192,alphamethyl_fentanyl,alfentanil,False,False,False,,-1
193,fentanil,alfentanil,fentanyl,False,False,,-1
194,fentanyl,alfentanil,fentanyl,False,False,,-1
195,duragesic,alfentanil,fentanyl,False,False,,-1
196,sublimaze,alfentanil,mercuric_chloride,False,False,,-1
197,phentanil,alfentanil,False,False,False,,-1
198,ketofentanyl,alfentanil,False,False,False,,-1
199,methadone,alfentanil,methadone,False,False,,-1
200,buprenorphine,alfentanil,buprenorphine,False,False,,-1
201,fentanyl,alfentanil,fentanyl,False,False,,-1
202,sufentanil,alfentanil,sufentanil,False,False,,-1
203,ffentanyl,alfentanil,False,False,False,,-1
204,carfentanil,alfentanil,carfentanil,False,False,,-1
205,sufentanil,alfentanil,sufentanil,False,False,,-1
206,fentanyl,alfentanil,fentanyl,False,False,,-1
207,remifentanil,alfentanil,remifentanil,False,False,,-1
208,carfentanil,alfentanil,carfentanil,False,False,,-1
209,lofentanil,alfentanil,lofentanil,False,True,,7
210,sufentanil,alfentanil,sufentanil,False,False,,-1
211,fentanil,alfentanil,fentanyl,False,False,,-1
212,dinorfan,alfentanil,False,False,False,,-1
213,murfentanyl,alfentanil,False,False,False,,-1
214,sufentanil,alfentanil,sufentanil,False,False,,-1
215,fentanil,alfentanil,fentanyl,False,False,,-1
216,sufentanil,alfentanil,sufentanil,False,False,,-1
217,tirf-releasing_factor,alfentanil,False,False,False,,-1
218,talofenil,alfentanil,False,False,False,,-1
219,lofentanil,alfentanil,lofentanil,False,True,,7
220,fentanyl,alfentanil,fentanyl,False,False,,-1
221,sufentanil,alfentanil,sufentanil,False,False,,-1
222,sufentanil,alfentanil,sufentanil,False,False,,-1
223,alfentanyl,alfentanil,alfentanil,True,True,,2
224,sufentanil,alfentanil,sufentanil,False,False,,-1
225,remifentanil,alfentanil,remifentanil,False,False,,-1
226,fentanyl,alfentanil,fentanyl,False,False,,-1
227,carfentanil,alfentanil,carfentanil,False,False,,-1
228,fentanil,alfentanil,fentanyl,False,False,,-1
229,alfentbuild_2,alfentanil,False,False,False,,-1
230,pipeline,alfentanil,False,False,False,,-1
231,sears,alfentanil,False,False,False,,-1
232,sufentanil,alfentanil,sufentanil,False,False,,-1
233,fentanyl,alfentanil,fentanyl,False,False,,-1
234,sufentanil,alfentanil,sufentanil,False,False,,-1
235,ultiva,alfentanil,False,False,False,,-1
236,ultiva,alfentanil,False,False,False,,-1
237,pfizerfentanyl,alfentanil,False,False,False,,-1
238,sufentanil,alfentanil,sufentanil,False,False,,-1
239,phentanyl,alfentanil,fentanyl,False,False,,-1
240,sufentanil,alfentanil,sufentanil,False,False,,-1
241,fentanest,alfentanil,False,False,False,,-1
242,fentanyl,alfentanil,fentanyl,False,False,,-1
243,substances_related_to_fentanyl,alfentanil,False,False,False,,-1
244,,alfentanil,False,False,False,,-1
245,"other_ways_to_say_alfentanil:_alfentanyl,_fentanest,_fentanyl",alfentanil,False,False,True,,1
246,sufentanil,alfentanil,sufentanil,False,False,,-1
247,fentanyl,alfentanil,fentanyl,False,False,,-1
248,fentanyl,alfentanil,fentanyl,False,False,,-1
249,sufentanil,alfentanil,sufentanil,False,False,,-1
250,sufentanil,alfentanil,sufentanil,False,False,,-1
251,sufentanil,alfentanil,sufentanil,False,False,,-1
252,sufentanil,alfentanil,sufentanil,False,False,,-1
253,hasten,alfentanil,False,False,False,,-1
254,sufentanil,alfentanil,sufentanil,False,False,,-1
255,fentanil,alfentanil,fentanyl,False,False,,-1
256,tranceplenyl,alfentanil,False,False,False,,-1
257,fentanyl,alfentanil,fentanyl,False,False,,-1
