,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,barbiturate,amobarbital,False,False,False,,-1
1,barbitites,amobarbital,False,False,False,,-1
2,barbs,amobarbital,False,False,False,,-1
3,barbital,amobarbital,barbital,False,False,,-1
4,barbitals,amobarbital,False,False,False,,-1
5,barbitones,amobarbital,False,False,False,,-1
6,barbut,amobarbital,False,False,False,,-1
7,barbiturate,amobarbital,False,False,False,,-1
8,barby,amobarbital,False,False,False,,-1
9,benny,amobarbital,False,False,False,,-1
10,blue,amobarbital,False,False,False,,-1
11,chat,amobarbital,False,False,False,,-1
12,dumfound,amobarbital,False,False,False,,-1
13,downer,amobarbital,False,False,False,,-1
14,emobarb,amobarbital,False,False,False,,-1
15,luminal,amobarbital,phenobarbital,False,True,,6
16,noctec,amobarbital,chloral_hydrate,False,False,,-1
17,observatory,amobarbital,False,False,False,,-1
18,pentobarbital,amobarbital,pentobarbital,False,True,,8
19,raincoat,amobarbital,False,False,False,,-1
20,sickener,amobarbital,False,False,False,,-1
21,somalia,amobarbital,False,False,False,,-1
22,somalians,amobarbital,False,False,False,,-1
23,stupor_inducing,amobarbital,False,False,False,,-1
24,nembutal,amobarbital,pentobarbital,False,True,,8
25,secobarbital,amobarbital,secobarbital,False,True,,6
26,barbiturate,amobarbital,False,False,False,,-1
27,barby,amobarbital,False,False,False,,-1
28,belladonna,amobarbital,belladonna,False,False,,-1
29,bromural,amobarbital,False,False,False,,-1
30,butalbital,amobarbital,butalbital,False,False,,-1
31,chloralamid,amobarbital,False,False,False,,-1
32,chloride,amobarbital,False,False,False,,-1
33,cyclobarbital,amobarbital,False,False,False,,-1
34,diclofenac,amobarbital,diclofenac,False,False,,-1
35,dicycloverine,amobarbital,dicyclomine,False,False,,-1
36,difenac,amobarbital,False,False,False,,-1
37,dinicotinate,amobarbital,False,False,False,,-1
38,dioxadren,amobarbital,False,False,False,,-1
39,droperidol,amobarbital,droperidol,False,False,,-1
40,etidocaine,amobarbital,False,False,False,,-1
41,fentanyl,amobarbital,fentanyl,False,False,,-1
42,lidocaine,amobarbital,lidocaine,False,False,,-1
43,mephentermine,amobarbital,mephentermine,False,False,,-1
44,mepivacaine,amobarbital,mepivacaine,False,False,,-1
45,methocarbamol,amobarbital,methocarbamol,False,False,,-1
46,methamphetamine,amobarbital,methamphetamine,False,False,,-1
47,methohexital,amobarbital,methohexital,False,False,,-1
48,methoxyflurane,amobarbital,methoxyflurane,False,False,,-1
49,midazolam,amobarbital,midazolam,False,False,,-1
50,nalbuphine,amobarbital,nalbuphine,False,False,,-1
51,pentobarbital,amobarbital,pentobarbital,False,True,,8
52,phenobarbital,amobarbital,phenobarbital,False,True,,9
53,phenyltoloxamine,amobarbital,False,False,False,,-1
54,piperacillin,amobarbital,piperacillin,False,False,,-1
55,propofol,amobarbital,propofol,False,False,,-1
56,sevoflurane,amobarbital,sevoflurane,False,False,,-1
57,sufentanil,amobarbital,sufentanil,False,False,,-1
58,thiopental,amobarbital,thiopental,False,False,,-1
59,tiotropium,amobarbital,tiotropium,False,False,,-1
