,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,n-4-methylphenyl-n-phenyl-4-piperidyl_butanamide,carfentanil,False,False,False,,-1
1,benzofuran,carfentanil,benzofuran,False,False,,-1
2,fluoroacetyl_fentanyl,carfentanil,False,False,True, slang,7
3,carfentanyl,carfentanil,carfentanil,True,True,,1
4,carfentanyl,carfentanil,carfentanil,True,True,,1
5,carfentanil,carfentanil,carfentanil,True,True,,1
6,car_fentanyl,carfentanil,False,False,True,,2
7,carfenol,carfentanil,False,False,True,,5
8,carfenail,carfentanil,False,False,True, pill,1
9,carfenanyl,carfentanil,carfentanil,True,True,,3
10,carfenanil,carfentanil,False,False,True,,1
11,carfentaxel,carfentanil,False,False,False,,-1
12,cfentanyl,carfentanil,False,False,False,,-1
13,carbantanil,carfentanil,False,False,False,,-1
14,carfenamil,carfentanil,False,False,False,,-1
15,carfenol,carfentanil,False,False,True,,5
16,carfedanil,carfentanil,False,False,False,,-1
17,karafentanil,carfentanil,False,False,True,,1
18,carfentayna,carfentanil,False,False,False,,-1
19,carfentaniyl,carfentanil,False,False,False,,-1
20,carfentanylum,carfentanil,False,False,False,,-1
21,carfentanyl,carfentanil,carfentanil,True,True,,1
22,darfentanyl,carfentanil,False,False,False,,-1
23,ketofentanyl,carfentanil,False,False,False,,-1
24,carpentanil,carfentanil,False,False,False,,-1
25,carfenatil,carfentanil,False,False,True,,1
26,car_fendatil,carfentanil,False,False,False,,-1
27,carfenatil,carfentanil,False,False,True,,1
28,carfanatil,carfentanil,False,False,True,,2
29,carfeotanil,carfentanil,False,False,False,,-1
30,carfentanyl,carfentanil,carfentanil,True,True,,1
31,fentanyl,carfentanil,fentanyl,False,False,,-1
32,benzylfentanyl,carfentanil,False,False,True, slang,1
33,desomorphine,carfentanil,desomorphine,False,False,,-1
34,sufentanil,carfentanil,sufentanil,False,False,,-1
35,cardifentanyl,carfentanil,False,False,False,,-1
36,cerfentanil,carfentanil,False,False,False,,-1
37,carfenylyl,carfentanil,False,False,False,,-1
38,carfentanyl,carfentanil,carfentanil,True,True,,1
39,carfentanyl_hydrochloride,carfentanil,False,True,True,,1
40,carfentanyl,carfentanil,carfentanil,True,True,,1
41,ketofentanyl,carfentanil,False,False,False,,-1
42,karafentanil,carfentanil,False,False,True,,1
43,fentanyl,carfentanil,fentanyl,False,False,,-1
44,carfentanyl,carfentanil,carfentanil,True,True,,1
45,carfenantanil,carfentanil,False,False,False,,-1
46,carfentanyl,carfentanil,carfentanil,True,True,,1
47,cis-3-methylfentanyl,carfentanil,False,False,True, pill,4
48,beta-hydroxyfentanyl,carfentanil,False,False,False,,-1
49,benzylfentanyl,carfentanil,False,False,True, slang,1
50,acetyl-alpha-methylfentanyl,carfentanil,False,False,False,,-1
51,alpha-methyl-3-fentanyl,carfentanil,False,False,False,,-1
52,alpha-methylfentanyl,carfentanil,False,False,False,,-1
53,carfentrazone,carfentanil,False,False,True, pill,1
54,carfentynyl,carfentanil,False,False,True,,4
55,fentanila,carfentanil,False,False,False,,-1
56,carfenyl,carfentanil,False,False,True,,1
57,carfnatil,carfentanil,False,False,False,,-1
58,carfenylan,carfentanil,False,False,False,,-1
59,carfentanyl,carfentanil,carfentanil,True,True,,1
60,carfentanil,carfentanil,carfentanil,True,True,,1
61,carfentanyl,carfentanil,carfentanil,True,True,,1
62,k-feed,carfentanil,False,False,False,,-1
63,carfedan,carfentanil,False,False,False,,-1
64,carfen,carfentanil,carbimazole,False,True,,10
65,carfin,carfentanil,False,False,False,,-1
66,carfenol,carfentanil,False,False,True,,5
67,carburfin,carfentanil,False,False,False,,-1
68,carfuran,carfentanil,False,False,False,,-1
69,carfenantel,carfentanil,False,False,False,,-1
70,carfentanyl,carfentanil,carfentanil,True,True,,1
71,carfenanyl,carfentanil,carfentanil,True,True,,3
72,carfenantil,carfentanil,False,False,True,,2
73,carfenapril,carfentanil,False,False,False,,-1
74,fentanil,carfentanil,fentanyl,False,False,,-1
75,fentanyl,carfentanil,fentanyl,False,False,,-1
76,sufentanil,carfentanil,sufentanil,False,False,,-1
77,carfentanyl,carfentanil,carfentanil,True,True,,1
78,carfedanyl,carfentanil,False,False,False,,-1
79,carfentanyl,carfentanil,carfentanil,True,True,,1
80,carfentanyl,carfentanil,carfentanil,True,True,,1
81,cfentanyl,carfentanil,False,False,False,,-1
82,carfentanyl,carfentanil,carfentanil,True,True,,1
83,kafka,carfentanil,False,False,False,,-1
84,carfenynal,carfentanil,False,False,False,,-1
85,carfenytail,carfentanil,False,False,False,,-1
86,carfentanyle,carfentanil,False,False,False,,-1
87,carfentaniyl,carfentanil,False,False,False,,-1
88,carfentayl,carfentanil,carfentanil,True,True,,5
89,carfenyl,carfentanil,False,False,True,,1
90,carfentanyl,carfentanil,carfentanil,True,True,,1
91,oxylofentanyl,carfentanil,False,False,False,,-1
92,furanyl_fentanyl,carfentanil,False,False,True,,3
93,sufentanil,carfentanil,sufentanil,False,False,,-1
94,carfentanyl,carfentanil,carfentanil,True,True,,1
95,fentanyl,carfentanil,fentanyl,False,False,,-1
96,carfenylan,carfentanil,False,False,False,,-1
97,carfenanil,carfentanil,False,False,True,,1
98,carfentanyl,carfentanil,carfentanil,True,True,,1
99,carffentanil,carfentanil,False,False,False,,-1
100,carfenantanil,carfentanil,False,False,False,,-1
101,carfentailyl,carfentanil,False,False,False,,-1
102,carfentayl,carfentanil,carfentanil,True,True,,5
103,n-phenyl-n-[1-(2-phenylethyl)-4-piperidinyl]-propanamide,carfentanil,False,False,False,,-1
104,carfentanyl,carfentanil,carfentanil,True,True,,1
105,furanyl_fentanyl,carfentanil,False,False,True,,3
106,acetyl_fentanyl,carfentanil,False,False,True, slang,6
107,propionyl_fentanyl,carfentanil,False,False,False,,-1
108,butyryl_fentanyl,carfentanil,False,False,False,,-1
109,pentyl_fentanyl,carfentanil,False,False,False,,-1
110,hexyl_fentanyl,carfentanil,False,False,False,,-1
111,cyclopentyl_fentanyl,carfentanil,False,False,False,,-1
112,phenyl_fentanyl,carfentanil,False,False,False,,-1
