,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,angel_dust,phencyclidine,False,False,True,,2
1,hog,phencyclidine,False,False,False,,-1
2,elephant_tranquilizer,phencyclidine,carfentanil,False,False,,-1
3,embalming_fluid,phencyclidine,False,False,True, pill,1
4,rocket_fuel,phencyclidine,False,False,False,,-1
5,amoeba,phencyclidine,False,False,False,,-1
6,cyclohexylphenol,phencyclidine,False,False,False,,-1
7,sernyl,phencyclidine,phencyclidine,True,True,,1
8,pcp,phencyclidine,phencyclidine,True,True,,5
9,pcp,phencyclidine,phencyclidine,True,True,,5
10,selfotril,phencyclidine,False,False,False,,-1
11,angell_dust,phencyclidine,False,False,True, pill,1
12,hog,phencyclidine,False,False,False,,-1
13,loveboat,phencyclidine,False,False,False,,-1
14,wack,phencyclidine,False,False,False,,-1
15,rocket_fuel,phencyclidine,False,False,False,,-1
16,zoom,phencyclidine,False,False,True,,9
17,angel_dust,phencyclidine,False,False,True,,2
18,hog,phencyclidine,False,False,False,,-1
19,rocket_fuel,phencyclidine,False,False,False,,-1
20,ketamine,phencyclidine,ketamine,False,False,,-1
21,pcp,phencyclidine,phencyclidine,True,True,,5
22,angel_dust,phencyclidine,False,False,True,,2
23,rocket_fuel,phencyclidine,False,False,False,,-1
24,arylcyclohexylpiperidine,phencyclidine,False,False,False,,-1
25,pcp,phencyclidine,phencyclidine,True,True,,5
26,angel_dust,phencyclidine,False,False,True,,2
27,hog,phencyclidine,False,False,False,,-1
28,elephant_tranquilizer,phencyclidine,carfentanil,False,False,,-1
29,phencyclidine-like,phencyclidine,False,False,True,,3
30,pcp-like,phencyclidine,False,False,True,,3
31,fenperidone,phencyclidine,False,False,False,,-1
32,perphenazine,phencyclidine,perphenazine,False,False,,-1
33,modecate,phencyclidine,fluphenazine,False,False,,-1
34,fluphenazine,phencyclidine,fluphenazine,False,False,,-1
35,prolixin,phencyclidine,fluphenazine,False,False,,-1
36,trifluoperazine,phencyclidine,trifluoperazine,False,False,,-1
37,haloperidol,phencyclidine,haloperidol,False,False,,-1
38,civatdine,phencyclidine,False,False,False,,-1
39,ketamine,phencyclidine,ketamine,False,False,,-1
40,pcp,phencyclidine,phencyclidine,True,True,,5
41,angel_dust,phencyclidine,False,False,True,,2
42,angel_dust,phencyclidine,False,False,True,,2
43,pcp's,phencyclidine,False,False,True,,3
44,pcps,phencyclidine,False,False,True,,5
45,angel_dust,phencyclidine,False,False,True,,2
46,angel_dust,phencyclidine,False,False,True,,2
47,hog,phencyclidine,False,False,False,,-1
48,love_boat,phencyclidine,False,False,True, pill,3
49,wack,phencyclidine,False,False,False,,-1
50,angel_dust,phencyclidine,False,False,True,,2
51,angel_dust,phencyclidine,False,False,True,,2
52,hog,phencyclidine,False,False,False,,-1
53,wack,phencyclidine,False,False,False,,-1
54,rocket_fuel,phencyclidine,False,False,False,,-1
55,cyclohexamines,phencyclidine,False,False,True,,3
56,ketamines,phencyclidine,ketamine,False,False,,-1
57,angel_dust,phencyclidine,False,False,True,,2
58,angel_dust,phencyclidine,False,False,True,,2
59,angel_dust,phencyclidine,False,False,True,,2
60,cyclohexanones,phencyclidine,False,False,False,,-1
61,ketamine,phencyclidine,ketamine,False,False,,-1
62,angel_dust,phencyclidine,False,False,True,,2
63,pcp's,phencyclidine,False,False,True,,3
64,pcp,phencyclidine,phencyclidine,True,True,,5
65,angel_dust,phencyclidine,False,False,True,,2
66,boat,phencyclidine,False,False,False,,-1
67,love_boat,phencyclidine,False,False,True, pill,3
68,dust,phencyclidine,False,False,True,,5
69,hog,phencyclidine,False,False,False,,-1
70,rocket_fuel,phencyclidine,False,False,False,,-1
71,pcp,phencyclidine,phencyclidine,True,True,,5
72,peace_pills,phencyclidine,False,False,True,,1
73,phencyclidine_hydrochloride,phencyclidine,False,True,True,,1
74,angel_dust,phencyclidine,False,False,True,,2
75,hog,phencyclidine,False,False,False,,-1
76,love_boat,phencyclidine,False,False,True, pill,3
77,wack,phencyclidine,False,False,False,,-1
78,rocket_fuel,phencyclidine,False,False,False,,-1
79,cyclohexylphencyclidine,phencyclidine,False,False,False,,-1
80,normeperidine,phencyclidine,False,False,False,,-1
81,angel_dust,phencyclidine,False,False,True,,2
82,hog,phencyclidine,False,False,False,,-1
83,cyclovir,phencyclidine,acyclovir,False,False,,-1
84,diazepam,phencyclidine,diazepam,False,False,,-1
85,lorazepam,phencyclidine,lorazepam,False,False,,-1
86,midazolam,phencyclidine,midazolam,False,False,,-1
87,temazepam,phencyclidine,temazepam,False,False,,-1
88,zolpidem,phencyclidine,zolpidem,False,False,,-1
89,angeldust,phencyclidine,False,False,True,,3
90,skyhigh,phencyclidine,False,False,False,,-1
91,pcp,phencyclidine,phencyclidine,True,True,,5
92,angel_dust,phencyclidine,False,False,True,,2
93,cyclohexylphenol,phencyclidine,False,False,False,,-1
94,huff,phencyclidine,False,False,False,,-1
95,tear_gas,phencyclidine,False,False,False,,-1
96,angel_dust,phencyclidine,False,False,True,,2
97,rocket_fuel,phencyclidine,False,False,False,,-1
98,pcp's,phencyclidine,False,False,True,,3
99,normies,phencyclidine,False,False,False,,-1
100,angel_dust,phencyclidine,False,False,True,,2
101,hog,phencyclidine,False,False,False,,-1
102,love_boat,phencyclidine,False,False,True, pill,3
103,rocket_fuel,phencyclidine,False,False,False,,-1
104,angel_dust,phencyclidine,False,False,True,,2
105,hog,phencyclidine,False,False,False,,-1
106,angel_dust,phencyclidine,False,False,True,,2
107,hog,phencyclidine,False,False,False,,-1
108,pcp,phencyclidine,phencyclidine,True,True,,5
109,angel_dust,phencyclidine,False,False,True,,2
110,severity,phencyclidine,False,False,False,,-1
111,pcp,phencyclidine,phencyclidine,True,True,,5
112,pcp,phencyclidine,phencyclidine,True,True,,5
113,phencyclidine_hydrochloride,phencyclidine,False,True,True,,1
114,pcp-hci,phencyclidine,False,False,True,,4
115,cyclidine,phencyclidine,False,False,True,,2
116,ditch_weed,phencyclidine,False,False,False,,-1
117,angel_dust,phencyclidine,False,False,True,,2
118,cyclohexylphenol,phencyclidine,False,False,False,,-1
119,ketamine,phencyclidine,ketamine,False,False,,-1
120,aceylfentanyl,phencyclidine,False,False,False,,-1
121,acetyl-alpha-methylfentanyl,phencyclidine,False,False,False,,-1
122,benzodiazepines,phencyclidine,benzodiazepine,False,False,,-1
123,beta-hydroxybutyrate,phencyclidine,False,False,False,,-1
124,butyryl_fentanyl,phencyclidine,False,False,False,,-1
125,carfentanil,phencyclidine,carfentanil,False,False,,-1
126,cathinones,phencyclidine,cathinone,False,False,,-1
127,chloroethane,phencyclidine,ethyl_chloride,False,False,,-1
128,cocaine,phencyclidine,cocaine,False,False,,-1
129,codeine,phencyclidine,codeine,False,False,,-1
130,deschloroketamine,phencyclidine,False,False,False,,-1
131,diazepam,phencyclidine,diazepam,False,False,,-1
132,dimethyltryptamine,phencyclidine,dimethyltryptamine,False,False,,-1
133,ethylphenidate,phencyclidine,methylphenidate,False,False,,-1
134,fentanyl,phencyclidine,fentanyl,False,False,,-1
135,flunitrazepam,phencyclidine,flunitrazepam,False,False,,-1
136,ghb,phencyclidine,gamma_hydroxybutyric_acid,False,False,,-1
137,heroin,phencyclidine,heroin,False,False,,-1
138,ketamine,phencyclidine,ketamine,False,False,,-1
139,lacosamide,phencyclidine,lacosamide,False,False,,-1
140,levamisole,phencyclidine,levamisole,False,False,,-1
141,meperidine,phencyclidine,pethidine,False,False,,-1
142,methadone,phencyclidine,methadone,False,False,,-1
143,methamphetamine,phencyclidine,methamphetamine,False,False,,-1
144,methylenedioxypyrovalerone,phencyclidine,cathinone,False,False,,-1
145,midazolam,phencyclidine,midazolam,False,False,,-1
146,mitragynines,phencyclidine,False,False,False,,-1
147,morphine,phencyclidine,morphine,False,False,,-1
148,naloxone,phencyclidine,naloxone,False,False,,-1
149,nicomorphine,phencyclidine,False,False,False,,-1
150,norfentanyl,phencyclidine,carfentanil,False,False,,-1
151,opiates,phencyclidine,False,False,False,,-1
152,oxycodone,phencyclidine,oxycodone,False,False,,-1
153,phenobarbital,phencyclidine,phenobarbital,False,False,,-1
154,pholcodine,phencyclidine,pholcodine,False,False,,-1
155,propofol,phencyclidine,propofol,False,False,,-1
156,quinolinic_acid,phencyclidine,quinolinic_acid,False,False,,-1
157,sufentanil,phencyclidine,sufentanil,False,False,,-1
158,tapentadol,phencyclidine,tapentadol,False,False,,-1
159,temazepam,phencyclidine,temazepam,False,False,,-1
160,tramadol,phencyclidine,tramadol,False,False,,-1
161,xanax,phencyclidine,alprazolam,False,False,,-1
162,pcp's,phencyclidine,False,False,True,,3
163,pcps,phencyclidine,False,False,True,,5
164,pcpps,phencyclidine,False,False,False,,-1
165,hog,phencyclidine,False,False,False,,-1
166,peace_pill,phencyclidine,False,False,True,,2
167,rocket_fuel,phencyclidine,False,False,False,,-1
168,angel_dust,phencyclidine,False,False,True,,2
169,wack,phencyclidine,False,False,False,,-1
170,love_boat,phencyclidine,False,False,True, pill,3
171,elephant_tranquilizer,phencyclidine,carfentanil,False,False,,-1
172,pcp's,phencyclidine,False,False,True,,3
173,pcp-induced,phencyclidine,False,False,True,,2
174,pcp-related,phencyclidine,False,False,True,,6
175,phencyclidine-induced,phencyclidine,False,False,True,,1
176,phencyclidine-related,phencyclidine,False,False,True,,3
177,phenyltoloxamine,phencyclidine,False,False,False,,-1
178,phencyclidine_hydrochloride,phencyclidine,False,True,True,,1
179,a-pcp,phencyclidine,False,False,True,,1
180,angel_dust,phencyclidine,False,False,True,,2
181,pcps,phencyclidine,False,False,True,,5
182,phencyclidined,phencyclidine,False,False,True,,1
183,phencyclidine_drugs,phencyclidine,False,True,True,,1
184,phencyclidine_freebase,phencyclidine,False,True,True,,3
185,pcps,phencyclidine,False,False,True,,5
186,angel_dust,phencyclidine,False,False,True,,2
187,hallucinogen,phencyclidine,False,False,False,,-1
188,angel_dust,phencyclidine,False,False,True,,2
189,love_drug,phencyclidine,False,False,False,,-1
190,embalming_fluid,phencyclidine,False,False,True, pill,1
191,coffin_syrup,phencyclidine,False,False,False,,-1
192,formaldehype,phencyclidine,False,False,False,,-1
193,pika,phencyclidine,False,False,False,,-1
194,pcp,phencyclidine,phencyclidine,True,True,,5
195,cyclopropylphencyclidine,phencyclidine,False,False,False,,-1
196,pcp,phencyclidine,phencyclidine,True,True,,5
197,angel_dust,phencyclidine,False,False,True,,2
198,elephant,phencyclidine,False,False,False,,-1
199,superman,phencyclidine,False,False,False,,-1
200,angel_dust,phencyclidine,False,False,True,,2
201,rocket_fuel,phencyclidine,False,False,False,,-1
202,p.c.p.,phencyclidine,False,False,True,,5
203,angel_dust,phencyclidine,False,False,True,,2
204,hog,phencyclidine,False,False,False,,-1
205,loveboat,phencyclidine,False,False,False,,-1
206,shestay,phencyclidine,False,False,False,,-1
207,wack,phencyclidine,False,False,False,,-1
208,embalming_fluid,phencyclidine,False,False,True, pill,1
209,angel_dust,phencyclidine,False,False,True,,2
210,rocket_fuel,phencyclidine,False,False,False,,-1
211,angel_dust,phencyclidine,False,False,True,,2
212,loveboat,phencyclidine,False,False,False,,-1
213,angel_dust,phencyclidine,False,False,True,,2
214,angel_dust,phencyclidine,False,False,True,,2
215,angel_dust,phencyclidine,False,False,True,,2
216,loveboat,phencyclidine,False,False,False,,-1
217,angel_dust,phencyclidine,False,False,True,,2
218,hawk,phencyclidine,False,False,False,,-1
219,rocket_fuel,phencyclidine,False,False,False,,-1
220,pcp,phencyclidine,phencyclidine,True,True,,5
221,angel_dust,phencyclidine,False,False,True,,2
222,angel_dust,phencyclidine,False,False,True,,2
223,cyclohexylpiperidine,phencyclidine,False,False,True,,3
224,angel_dust,phencyclidine,False,False,True,,2
225,cyclohexylidene,phencyclidine,False,False,False,,-1
226,ketamine,phencyclidine,ketamine,False,False,,-1
227,angel_dust,phencyclidine,False,False,True,,2
228,hog,phencyclidine,False,False,False,,-1
229,angel_dust,phencyclidine,False,False,True,,2
230,bicycle_parts,phencyclidine,False,False,False,,-1
231,angel_dust,phencyclidine,False,False,True,,2
232,pcp's,phencyclidine,False,False,True,,3
233,angel_dust,phencyclidine,False,False,True,,2
234,hog,phencyclidine,False,False,False,,-1
235,rocket_fuel,phencyclidine,False,False,False,,-1
236,angel_dust,phencyclidine,False,False,True,,2
237,hog,phencyclidine,False,False,False,,-1
238,loveboat,phencyclidine,False,False,False,,-1
239,embalming_fluid,phencyclidine,False,False,True, pill,1
240,rocket_fuel,phencyclidine,False,False,False,,-1
241,angel_dust,phencyclidine,False,False,True,,2
242,cyclohexamine,phencyclidine,cyclohexanone,False,True,,7
243,angel_dust,phencyclidine,False,False,True,,2
244,hog,phencyclidine,False,False,False,,-1
245,angel_dust,phencyclidine,False,False,True,,2
246,pcp,phencyclidine,phencyclidine,True,True,,5
247,frog,phencyclidine,False,False,False,,-1
248,angel_dust,phencyclidine,False,False,True,,2
249,rocket_fuel,phencyclidine,False,False,False,,-1
250,beavis,phencyclidine,False,False,False,,-1
251,butthead,phencyclidine,False,False,False,,-1
252,"cyclohexatetrahydro-pyrrolo[3,4-b]pyridine",phencyclidine,False,False,False,,-1
253,pcp,phencyclidine,phencyclidine,True,True,,5
254,angel_dust,phencyclidine,False,False,True,,2
255,loveboat,phencyclidine,False,False,False,,-1
256,rocket_fuel,phencyclidine,False,False,False,,-1
257,embalming_fluid,phencyclidine,False,False,True, pill,1
258,hog,phencyclidine,False,False,False,,-1
259,angel_dust,phencyclidine,False,False,True,,2
260,hog,phencyclidine,False,False,False,,-1
261,loveboat,phencyclidine,False,False,False,,-1
262,wack,phencyclidine,False,False,False,,-1
263,welker,phencyclidine,False,False,False,,-1
264,angel_dust,phencyclidine,False,False,True,,2
265,hog,phencyclidine,False,False,False,,-1
266,angel_dust,phencyclidine,False,False,True,,2
267,lioresal,phencyclidine,baclofen,False,False,,-1
268,keppra,phencyclidine,levetiracetam,False,False,,-1
