,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,chloryl,chlordiazepoxide,False,False,False,,-1
1,chlorylide,chlordiazepoxide,False,False,False,,-1
2,chlordane,chlordiazepoxide,chloric_acid,False,False,,-1
3,chlordiazepoxide_chloride,chlordiazepoxide,False,True,True,,1
4,chlordiazepoxide_hydrochloride,chlordiazepoxide,False,True,True,,1
5,chlordiazepoxide_lactate,chlordiazepoxide,False,True,True,,1
6,chlordiazepoxide_mesylate,chlordiazepoxide,False,True,True,,2
7,librium,chlordiazepoxide,chlordiazepoxide,True,True,,2
8,chlordiazepoxide_hydrochloride,chlordiazepoxide,False,True,True,,1
9,librium,chlordiazepoxide,chlordiazepoxide,True,True,,2
10,axoren,chlordiazepoxide,False,False,False,,-1
11,prosom,chlordiazepoxide,estazolam,False,False,,-1
12,atarax,chlordiazepoxide,hydroxyzine,False,False,,-1
13,vistaril,chlordiazepoxide,hydroxyzine,False,False,,-1
14,tranxene,chlordiazepoxide,clorazepate,False,True,,5
15,restoril,chlordiazepoxide,temazepam,False,False,,-1
16,klonopin,chlordiazepoxide,clonazepam,False,False,,-1
17,tranquility,chlordiazepoxide,False,False,False,,-1
18,serenity,chlordiazepoxide,False,False,False,,-1
19,chlordiazepoxide_hydrochloride,chlordiazepoxide,False,True,True,,1
20,tranxenes,chlordiazepoxide,False,False,True, slang,2
21,tranks,chlordiazepoxide,False,False,False,,-1
22,cpdx,chlordiazepoxide,False,False,False,,-1
23,chlor-d,chlordiazepoxide,False,False,False,,-1
24,chlordiazep,chlordiazepoxide,False,False,True,,1
25,clordiazepoxide,chlordiazepoxide,False,False,True,,1
26,deoxycholate,chlordiazepoxide,deoxycholic_acid,False,False,,-1
27,chlorpromazine,chlordiazepoxide,chlorpromazine,False,False,,-1
28,fluphenazine,chlordiazepoxide,fluphenazine,False,False,,-1
29,promethazine,chlordiazepoxide,promethazine,False,False,,-1
30,thioridazine,chlordiazepoxide,thioridazine,False,False,,-1
31,trifluoperazine,chlordiazepoxide,trifluoperazine,False,False,,-1
32,perphenazine,chlordiazepoxide,perphenazine,False,False,,-1
33,ativan,chlordiazepoxide,lorazepam,False,False,,-1
34,benzodiazepines,chlordiazepoxide,benzodiazepine,False,False,,-1
35,diazepines,chlordiazepoxide,False,False,False,,-1
36,librium,chlordiazepoxide,chlordiazepoxide,True,True,,2
37,chlordiazepoxide,chlordiazepoxide,chlordiazepoxide,True,True,,1
38,chlordiazepoxide_hydrochloride,chlordiazepoxide,False,True,True,,1
39,chlordiazepoxide_and_ambenonium,chlordiazepoxide,False,True,True,,1
