,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,coca_leaves,cocaine,False,False,True,,1
1,flake,cocaine,False,False,False,,-1
2,freebase,cocaine,cocaine,False,True,,9
3,nose_candy,cocaine,cocaine,False,True, pill,3
4,powder,cocaine,False,False,True, drug,1
5,snow,cocaine,False,False,True,,3
6,contains_cocaine,cocaine,False,True,True,,1
7,c-note,cocaine,False,False,False,,-1
8,candy,cocaine,False,False,False,,-1
9,charlie,cocaine,False,False,True,,7
10,coke,cocaine,False,False,True,,4
11,crack,cocaine,False,False,True,,2
12,flake,cocaine,False,False,False,,-1
13,freebase,cocaine,cocaine,False,True,,9
14,highway_colombiana,cocaine,False,False,True, pill,4
15,lacrimosa,cocaine,False,False,False,,-1
16,lady,cocaine,False,False,False,,-1
17,mojo,cocaine,False,False,False,,-1
18,nose_candy,cocaine,cocaine,False,True, pill,3
19,nose_powder,cocaine,False,False,True, pill,9
20,perica,cocaine,False,False,True, slang,1
21,peruvian,cocaine,False,False,False,,-1
22,pisa,cocaine,False,False,False,,-1
23,rock,cocaine,False,False,False,,-1
24,snow,cocaine,False,False,True,,3
25,stardust,cocaine,False,False,False,,-1
26,sugar,cocaine,False,False,False,,-1
27,sweet,cocaine,False,False,True, drug,8
28,white,cocaine,filgrastim,False,False,,-1
29,white_devil,cocaine,False,False,True, slang,6
30,kola,cocaine,False,False,False,,-1
31,koka,cocaine,False,False,True, drug,4
32,koke,cocaine,False,False,True, slang,3
33,kole,cocaine,False,False,False,,-1
34,koral,cocaine,False,False,False,,-1
35,korat,cocaine,False,False,False,,-1
36,korban,cocaine,False,False,False,,-1
37,cocaine_fluoride,cocaine,False,True,True,,1
38,cocaine_hydrochloride,cocaine,cocaine,True,True,,1
39,cocainize,cocaine,False,False,True,,4
40,cocainomimetic,cocaine,False,False,False,,-1
41,cocainophagia,cocaine,False,False,True,,1
42,cocainotherapy,cocaine,False,False,False,,-1
43,cocainize,cocaine,False,False,True,,4
44,kokain,cocaine,cocaine,True,True,,1
45,cocaina,cocaine,cocaine,True,True,,2
46,kokaino,cocaine,False,False,True, pill,1
47,rock,cocaine,False,False,False,,-1
48,blow,cocaine,False,False,True,,2
49,powder,cocaine,False,False,True, drug,1
50,white,cocaine,filgrastim,False,False,,-1
51,nose_candy,cocaine,cocaine,False,True, pill,3
52,peruvian_marching_powder,cocaine,False,False,True,,1
53,cocaine_hydrochloride,cocaine,cocaine,True,True,,1
54,quaaludes,cocaine,methaqualone,False,False,,-1
55,pilocarpine,cocaine,pilocarpine,False,False,,-1
56,phencyclidine,cocaine,phencyclidine,False,False,,-1
57,scopolamine,cocaine,scopolamine,False,False,,-1
58,strychnine,cocaine,False,False,False,,-1
59,atropine,cocaine,hyoscyamine,False,True,,7
60,nose_candy,cocaine,cocaine,False,True, pill,3
61,coccredit,cocaine,False,False,False,,-1
62,coccry,cocaine,False,False,False,,-1
63,cockie,cocaine,False,False,True, drug,10
64,coken,cocaine,False,False,True, pill,4
65,cola,cocaine,False,False,True,,8
66,came,cocaine,False,False,False,,-1
67,candy,cocaine,False,False,False,,-1
68,kokain,cocaine,cocaine,True,True,,1
69,koka,cocaine,False,False,True, drug,4
70,kola,cocaine,False,False,False,,-1
71,yopo,cocaine,False,False,False,,-1
72,ercotics,cocaine,False,False,False,,-1
73,fiontaine,cocaine,False,False,False,,-1
74,conway,cocaine,False,False,False,,-1
75,cordiac,cocaine,False,False,False,,-1
76,cork,cocaine,False,False,False,,-1
77,correct,cocaine,False,False,False,,-1
78,cossack,cocaine,False,False,False,,-1
79,costa,cocaine,False,False,False,,-1
80,court,cocaine,False,False,False,,-1
81,coke,cocaine,False,False,True,,4
82,crack,cocaine,False,False,True,,2
83,freebase,cocaine,cocaine,False,True,,9
84,nose_candy,cocaine,cocaine,False,True, pill,3
85,snow,cocaine,False,False,True,,3
86,toot,cocaine,False,False,True, drug,6
87,white,cocaine,filgrastim,False,False,,-1
88,cocaine_hydrochloride,cocaine,cocaine,True,True,,1
89,cain,cocaine,False,False,True, drug,5
90,cocaine_hydrochloride,cocaine,cocaine,True,True,,1
91,cocaina,cocaine,cocaine,True,True,,2
92,cocain,cocaine,cocaine,True,True,,2
93,kokain,cocaine,cocaine,True,True,,1
94,kokaïn,cocaine,False,False,True,,6
95,cocaïne,cocaine,False,False,True,,2
96,cocaine,cocaine,cocaine,True,True,,4
97,perico,cocaine,cocaine,False,True,,5
98,polvo,cocaine,False,False,False,,-1
99,paco,cocaine,False,False,True,,4
100,yayo,cocaine,cocaine,False,True, pill,5
101,c,cocaine,False,False,False,,-1
102,white_horse,cocaine,filgrastim,False,True, drug,7
103,tractor,cocaine,False,False,True, drug,9
104,crack_cocaine,cocaine,False,True,True,,1
105,crystal_meth,cocaine,methamphetamine,False,False,,-1
106,laine,cocaine,False,False,False,,-1
107,cocain,cocaine,cocaine,True,True,,2
108,coke,cocaine,False,False,True,,4
109,cocainum,cocaine,cocaine,True,True, pill,1
110,cocain,cocaine,cocaine,True,True,,2
111,cocaine,cocaine,cocaine,True,True,,4
112,crack_cocaine,cocaine,False,True,True,,1
113,freebase_cocaine,cocaine,False,True,True,,1
114,flake,cocaine,False,False,False,,-1
115,nose_candy,cocaine,cocaine,False,True, pill,3
116,powder,cocaine,False,False,True, drug,1
117,snow,cocaine,False,False,True,,3
118,coke,cocaine,False,False,True,,4
119,blow,cocaine,False,False,True,,2
120,nose_candy,cocaine,cocaine,False,True, pill,3
121,white,cocaine,filgrastim,False,False,,-1
122,powder,cocaine,False,False,True, drug,1
123,bergamot,cocaine,False,False,False,,-1
124,crack_cocaine,cocaine,False,True,True,,1
125,peruvian_flake,cocaine,False,False,True, pill,7
126,peruvian_marching_powder,cocaine,False,False,True,,1
127,boliviana,cocaine,False,False,True, drug,5
128,chalk,cocaine,calcium_carbonate,False,False,,-1
129,peruvian,cocaine,False,False,False,,-1
130,cocain,cocaine,cocaine,True,True,,2
131,cocaine,cocaine,cocaine,True,True,,4
132,coke,cocaine,False,False,True,,4
133,crack,cocaine,False,False,True,,2
134,cocaating,cocaine,False,False,True, pill,3
135,cocating,cocaine,False,False,False,,-1
136,cokeine,cocaine,False,False,True, pill,1
137,cocane,cocaine,cocaine,True,True,,1
138,kokaine,cocaine,cocaine,True,True, pill,1
139,cacaine,cocaine,cocaine,True,True,,8
140,cocain,cocaine,cocaine,True,True,,2
141,coke,cocaine,False,False,True,,4
142,crak,cocaine,False,False,True, pill,2
143,blow,cocaine,False,False,True,,2
144,nose_candy,cocaine,cocaine,False,True, pill,3
145,white,cocaine,filgrastim,False,False,,-1
146,yayo,cocaine,cocaine,False,True, pill,5
147,cocaine_hydrochloride,cocaine,cocaine,True,True,,1
148,codine,cocaine,False,False,False,,-1
149,caine,cocaine,lidocaine,False,True, drug,4
150,codene,cocaine,codeine,False,False,,-1
151,kethan,cocaine,False,False,False,,-1
152,quaalude,cocaine,methaqualone,False,False,,-1
153,speed,cocaine,False,False,True,,4
154,uppers,cocaine,False,False,False,,-1
155,cocaina,cocaine,cocaine,True,True,,2
156,cocaline,cocaine,False,False,True, pill,1
157,cdevil's_dandruff,cocaine,False,False,True, drug,1
158,flake,cocaine,False,False,False,,-1
159,snow,cocaine,False,False,True,,3
160,white,cocaine,filgrastim,False,False,,-1
161,nose_candy,cocaine,cocaine,False,True, pill,3
162,cocain,cocaine,cocaine,True,True,,2
163,cocaine,cocaine,cocaine,True,True,,4
164,cocainum,cocaine,cocaine,True,True, pill,1
165,hydracin,cocaine,False,False,False,,-1
166,novacaine,cocaine,procaine,False,False,,-1
167,procaine,cocaine,procaine,False,True,,4
168,crack,cocaine,False,False,True,,2
169,dust,cocaine,False,False,True,,4
170,flake,cocaine,False,False,False,,-1
171,freebase,cocaine,cocaine,False,True,,9
172,nose_candy,cocaine,cocaine,False,True, pill,3
173,powder,cocaine,False,False,True, drug,1
174,rock,cocaine,False,False,False,,-1
175,speedball,cocaine,False,False,True,,1
176,cocain,cocaine,cocaine,True,True,,2
177,cocaine,cocaine,cocaine,True,True,,4
178,dihydrocodeinone,cocaine,hydrocodone,False,False,,-1
179,codeine,cocaine,codeine,False,False,,-1
180,the_white,cocaine,False,False,True, slang,6
