,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
0,ryzolt,tramadol,False,False,True,
1,ultram,tramadol,tramadol,True,True,
2,zytram,tramadol,False,False,True,
3,mmda,tramadol,mmda,False,False,
4,cadol,tramadol,False,False,False,
5,dolophine,tramadol,methadone,False,False,
6,esudrine,tramadol,False,False,False,
7,hydrocodone,tramadol,hydrocodone,False,False,
8,oxycodone,tramadol,oxycodone,False,False,
9,theophan,tramadol,False,False,False,
10,codeine,tramadol,codeine,False,False,
11,percocet,tramadol,oxycodone,False,False,
12,vicodin,tramadol,hydrocodone,False,False,
13,lortab,tramadol,hydrocodone,False,False,
14,roxicet,tramadol,oxycodone,False,False,
15,norco,tramadol,hydrocodone,False,False,
16,duragesic,tramadol,fentanyl,False,False,
17,fentanyl,tramadol,fentanyl,False,False,
18,sufentanyl,tramadol,sufentanil,False,False,
19,alfentanil,tramadol,alfentanil,False,False,
20,remifentanil,tramadol,remifentanil,False,False,
21,dexotram,tramadol,False,False,False,
22,tramundin,tramadol,False,False,True,
23,tramabond,tramadol,False,False,False,
24,tramagetic,tramadol,False,False,True,
25,tramacet,tramadol,tramadol,True,True,
26,tramalink,tramadol,False,False,False,
27,zytram,tramadol,False,False,True,
28,tramal,tramadol,tramadol,True,True,
29,zydol,tramadol,ketorolac,False,True,
30,dolcet,tramadol,False,False,True,
31,toradol,tramadol,ketorolac,False,False,
32,tramundin,tramadol,False,False,True,
33,ralivia,tramadol,tramadol,True,True,
34,tramal_120,tramadol,False,True,False,
35,ultram,tramadol,tramadol,True,True,
36,tramal,tramadol,tramadol,True,True,
37,doltran,tramadol,False,False,False,
38,tramundin,tramadol,False,False,True,
39,tramulide,tramadol,False,False,False,
40,meloxican,tramadol,meloxicam,False,False,
41,ralivia,tramadol,tramadol,True,True,
42,tramundol,tramadol,False,False,False,
43,trammadol,tramadol,tramadol,True,True,
44,tramepol,tramadol,False,False,False,
45,tramadel,tramadol,False,False,True,
46,tramodol,tramadol,tramadol,True,True,
47,tramyol,tramadol,False,False,False,
48,pain-off,tramadol,False,False,False,
49,tidewater,tramadol,False,False,False,
50,analgesic,tramadol,False,False,False,
51,pain_reliever,tramadol,False,False,False,
52,pain_medication,tramadol,False,False,False,
53,narcotic,tramadol,False,False,False,
54,dromadol,tramadol,False,False,False,
55,rytram,tramadol,False,False,False,
56,ultram,tramadol,tramadol,True,True,
57,tramagetic,tramadol,False,False,True,
58,tramacet,tramadol,tramadol,True,True,
59,tramal,tramadol,tramadol,True,True,
60,zydol,tramadol,ketorolac,False,True,
61,dolcontin,tramadol,False,False,False,
62,tradonal,tramadol,False,False,False,
63,ralivia,tramadol,tramadol,True,True,
64,pain_medication,tramadol,False,False,False,
65,ibuprofen,tramadol,ibuprofen,False,False,
66,tramalol,tramadol,tramadol,True,True,
