,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,moadfinil,modafinil,modafinil,True,True,,1
1,modifanil,modafinil,modafinil,True,True,,2
2,moddafinil,modafinil,False,False,True,,2
3,modophanil,modafinil,False,False,False,,-1
4,prodfinil,modafinil,False,False,False,,-1
5,modafinilum,modafinil,False,False,True,,1
6,modanafil,modafinil,tadalafil,False,True,,1
7,modafenil,modafinil,modafinil,True,True,,3
8,modafynil,modafinil,False,False,True,,2
9,modafinl,modafinil,modafinil,True,True,,2
10,modafonil,modafinil,modafinil,True,True,,3
11,avigil,modafinil,False,False,False,,-1
12,bidifloxacin,modafinil,False,False,False,,-1
13,cephalon,modafinil,False,False,True, drug,5
14,crebinor,modafinil,False,False,False,,-1
15,darifenacin,modafinil,darifenacin,False,False,,-1
16,diffumal,modafinil,False,False,False,,-1
17,ebrantil,modafinil,False,False,False,,-1
18,envelor,modafinil,False,False,False,,-1
19,esvat,modafinil,False,False,False,,-1
20,flixotide,modafinil,fluticasone_propionate,False,False,,-1
21,flomax,modafinil,tamsulosin,False,False,,-1
22,flunol,modafinil,False,False,False,,-1
23,frova,modafinil,frovatriptan,False,False,,-1
24,gabitril,modafinil,tiagabine,False,False,,-1
25,glynase,modafinil,False,False,False,,-1
26,gocce,modafinil,False,False,False,,-1
27,habivar,modafinil,False,False,False,,-1
28,invanz,modafinil,ertapenem,False,False,,-1
29,lamictal,modafinil,lamotrigine,False,True,,5
30,lomir,modafinil,False,False,False,,-1
31,lotensin,modafinil,benazepril,False,False,,-1
32,marplan,modafinil,isocarboxazid,False,False,,-1
33,meclofenamate,modafinil,False,False,False,,-1
34,migranal,modafinil,dihydroergotamine,False,False,,-1
35,modiodal,modafinil,modafinil,True,True,,1
36,naprosyn,modafinil,naproxen,False,False,,-1
37,neupro,modafinil,rotigotine,False,False,,-1
38,novartis,modafinil,False,False,False,,-1
39,orap,modafinil,pimozide,False,False,,-1
40,oxetol,modafinil,False,False,False,,-1
41,pamelor,modafinil,nortriptyline,False,False,,-1
42,parlodel,modafinil,bromocriptine,False,False,,-1
43,patanol,modafinil,olopatadine,False,False,,-1
44,permax,modafinil,False,False,False,,-1
45,pindolol,modafinil,pindolol,False,False,,-1
46,pramipexole,modafinil,pramipexole,False,False,,-1
47,praziquantel,modafinil,(r)-praziquantel,False,False,,-1
48,procyclidine,modafinil,procyclidine,False,False,,-1
49,prometrium,modafinil,progesterone,False,False,,-1
50,quinapril,modafinil,quinapril,False,False,,-1
51,ranitidine,modafinil,ranitidine,False,False,,-1
52,reglan,modafinil,metoclopramide,False,False,,-1
53,requip,modafinil,ropinirole,False,False,,-1
54,rescriptor,modafinil,False,False,False,,-1
55,risperdal,modafinil,risperidone,False,False,,-1
56,salbutamol,modafinil,salbutamol,False,False,,-1
57,selegiline,modafinil,selegiline,False,False,,-1
58,finmodafinil,modafinil,False,False,True,,1
59,mofacin,modafinil,False,False,False,,-1
60,mdafinil,modafinil,False,False,True,,1
61,mymodafinil,modafinil,False,False,True,,3
62,provigil,modafinil,modafinil,True,True,,1
63,provigil,modafinil,modafinil,True,True,,1
64,daflon,modafinil,False,False,False,,-1
65,centrophenoxine,modafinil,False,False,False,,-1
66,deanol,modafinil,deanol,False,False,,-1
67,dimethylaminoethanol,modafinil,False,False,False,,-1
68,vinpocetine,modafinil,vinpocetine,False,False,,-1
69,oriental_ginseng,modafinil,False,False,False,,-1
70,coffee,modafinil,coffee_bean,False,False,,-1
71,modasomil,modafinil,False,False,True,,1
72,modalert,modafinil,armodafinil,False,True,,2
73,alertec,modafinil,modafinil,True,True,,2
74,modvigil,modafinil,armodafinil,False,True,,3
75,prices,modafinil,False,False,False,,-1
76,modafinl,modafinil,modafinil,True,True,,2
77,modafine,modafinil,False,False,True,,3
78,wakefulness_promoting_agent,modafinil,False,False,True,,7
79,central_nervous_system_stimulant,modafinil,False,False,False,,-1
80,modalert,modafinil,armodafinil,False,True,,2
81,provigil,modafinil,modafinil,True,True,,1
82,modiodal,modafinil,modafinil,True,True,,1
83,modvigil,modafinil,armodafinil,False,True,,3
84,alertness_drug,modafinil,False,False,True,,4
85,focus_drug,modafinil,False,False,True,,9
86,concentration_drug,modafinil,False,False,True, pill,9
87,cognitive_enhancer,modafinil,barium_sulfate,False,True, pill,7
88,provigil,modafinil,modafinil,True,True,,1
89,ritalin,modafinil,methylphenidate,False,False,,-1
90,concerta,modafinil,methylphenidate,False,False,,-1
91,vyvanse,modafinil,lisdexamfetamine,False,False,,-1
92,adderall,modafinil,amphetamine,False,False,,-1
93,dexedrine,modafinil,dextroamphetamine,False,False,,-1
94,provigil,modafinil,modafinil,True,True,,1
95,medafinil,modafinil,False,False,True,,6
96,mefinil,modafinil,False,False,True, drug,7
97,medafenil,modafinil,False,False,True,,1
98,metafinil,modafinil,False,False,True,,1
99,sefinil,modafinil,False,False,False,,-1
100,sufinil,modafinil,False,False,False,,-1
101,o-desmethyltramadol,modafinil,False,False,False,,-1
102,alertpil,modafinil,False,False,True, pill,2
103,vigil,modafinil,modafinil,True,False,,-1
104,modalert,modafinil,armodafinil,False,True,,2
105,modafresh,modafinil,armodafinil,False,True,,1
106,modafone,modafinil,False,False,False,,-1
107,modahexal,modafinil,False,False,False,,-1
108,modafinilo,modafinil,False,False,True,,2
109,modaz_perfect,modafinil,False,False,True, pill,6
110,adrafinil,modafinil,adrafinil,False,True,,6
111,armodafinil,modafinil,armodafinil,False,True,,2
112,modiodal,modafinil,modafinil,True,True,,1
113,modalert,modafinil,armodafinil,False,True,,2
114,modavigil,modafinil,modafinil,True,True,,3
115,provigil,modafinil,modafinil,True,True,,1
116,modasomil,modafinil,False,False,True,,1
117,neocortex,modafinil,False,False,True, pill,3
118,adrafinil,modafinil,adrafinil,False,True,,6
119,modwafin,modafinil,False,False,False,,-1
120,modafinome,modafinil,False,False,False,,-1
121,mofafinil,modafinil,False,False,True,,2
122,profinal,modafinil,False,False,False,,-1
123,modaf_lodge,modafinil,False,False,True,,1
124,modafonal,modafinil,False,False,True,,1
125,modafari,modafinil,False,False,False,,-1
126,modalert,modafinil,armodafinil,False,True,,2
127,alertec,modafinil,modafinil,True,True,,2
128,vogalert,modafinil,False,False,False,,-1
129,provigil,modafinil,modafinil,True,True,,1
130,provigil,modafinil,modafinil,True,True,,1
131,myoprofen,modafinil,False,False,False,,-1
132,imovane,modafinil,zopiclone,False,False,,-1
133,zoplicone,modafinil,zopiclone,False,False,,-1
134,eszopiclone,modafinil,eszopiclone,False,False,,-1
135,zaleplon,modafinil,zaleplon,False,False,,-1
136,vigicer,modafinil,False,False,True,,2
137,modiodal,modafinil,modafinil,True,True,,1
138,modvigil,modafinil,armodafinil,False,True,,3
139,provigil,modafinil,modafinil,True,True,,1
140,alertec,modafinil,modafinil,True,True,,2
141,modiodal,modafinil,modafinil,True,True,,1
142,provigil,modafinil,modafinil,True,True,,1
143,modiodal,modafinil,modafinil,True,True,,1
144,modavigil,modafinil,modafinil,True,True,,3
145,provigil,modafinil,modafinil,True,True,,1
146,alertness_drug,modafinil,False,False,True,,4
147,caffeine_pill,modafinil,False,False,False,,-1
148,wakefulness_medicine,modafinil,False,False,True,,4
149,modiodal,modafinil,modafinil,True,True,,1
150,modafinilo,modafinil,False,False,True,,2
151,modafil,modafinil,modafinil,True,True,,3
152,car_modafinil,modafinil,False,True,True,,1
153,vigil,modafinil,modafinil,True,False,,-1
154,alertec,modafinil,modafinil,True,True,,2
155,modalert,modafinil,armodafinil,False,True,,2
156,provigil,modafinil,modafinil,True,True,,1
157,modafenial,modafinil,False,False,False,,-1
158,modafnil,modafinil,modafinil,True,True,,1
159,modafinilprovigil,modafinil,False,False,True,,1
160,modafinilstar,modafinil,False,False,True,,1
161,modup,modafinil,False,False,True, pill,1
162,vyvanse,modafinil,lisdexamfetamine,False,False,,-1
163,alertays,modafinil,False,False,False,,-1
164,staywakes,modafinil,False,False,False,,-1
165,keepawakes,modafinil,False,False,False,,-1
166,wakefuls,modafinil,False,False,False,,-1
167,alert_pills,modafinil,False,False,False,,-1
168,smart_drugs,modafinil,False,False,True,,1
169,vigil,modafinil,modafinil,True,False,,-1
170,modalert,modafinil,armodafinil,False,True,,2
171,provigil,modafinil,modafinil,True,True,,1
172,alertness_drug,modafinil,False,False,True,,4
173,smart_drug,modafinil,False,False,True,,4
174,modalert,modafinil,armodafinil,False,True,,2
175,modavigil,modafinil,modafinil,True,True,,3
176,provigil,modafinil,modafinil,True,True,,1
177,provigil,modafinil,modafinil,True,True,,1
178,modafin,modafinil,modafinil,True,True,,1
179,waklert,modafinil,armodafinil,False,True,,2
180,armodafinil,modafinil,armodafinil,False,True,,2
181,adrafinil,modafinil,adrafinil,False,True,,6
