,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,serax,oxazepam,oxazepam,True,True,,4
1,oxapax,oxazepam,False,False,False,,-1
2,zopax,oxazepam,False,False,False,,-1
3,lorazepam,oxazepam,lorazepam,False,False,,-1
4,alprazolam,oxazepam,alprazolam,False,False,,-1
5,clonazepam,oxazepam,clonazepam,False,False,,-1
6,diazepam,oxazepam,diazepam,False,False,,-1
7,temazepam,oxazepam,temazepam,False,False,,-1
8,chlordiazepoxide,oxazepam,chlordiazepoxide,False,False,,-1
9,flurazepam,oxazepam,flurazepam,False,False,,-1
10,aponex,oxazepam,False,False,False,,-1
11,oxapan,oxazepam,False,False,True,,1
12,oxapam,oxazepam,False,False,True,,1
13,oxazepan,oxazepam,False,False,True,,1
14,oxazepam,oxazepam,oxazepam,True,True,,1
15,sevredol,oxazepam,False,False,False,,-1
16,somnapure,oxazepam,False,False,False,,-1
17,zepaxim,oxazepam,False,False,False,,-1
18,zopax,oxazepam,False,False,False,,-1
19,loraz,oxazepam,chlorhexadol,False,False,,-1
20,ativan,oxazepam,lorazepam,False,False,,-1
21,sevredol,oxazepam,False,False,False,,-1
22,sopor,oxazepam,False,False,False,,-1
23,dormicum,oxazepam,midazolam,False,False,,-1
24,lorazepam,oxazepam,lorazepam,False,False,,-1
25,ativan,oxazepam,lorazepam,False,False,,-1
26,temesta,oxazepam,lorazepam,False,False,,-1
27,valium,oxazepam,diazepam,False,False,,-1
28,prazepam,oxazepam,prazepam,False,True,,8
29,lorazepam,oxazepam,lorazepam,False,False,,-1
30,sepazolam,oxazepam,False,False,False,,-1
31,lorazepam,oxazepam,lorazepam,False,False,,-1
32,tranquilizer,oxazepam,False,False,False,,-1
33,anxiety_reliever,oxazepam,False,False,False,,-1
34,anti-convulsant,oxazepam,False,False,False,,-1
35,serepax,oxazepam,oxazepam,True,True,,4
36,tranquirit,oxazepam,False,False,False,,-1
37,ativan,oxazepam,lorazepam,False,False,,-1
38,diazepan,oxazepam,diazepam,False,False,,-1
39,lorazepam,oxazepam,lorazepam,False,False,,-1
40,oxanate,oxazepam,False,False,False,,-1
41,oxaclone,oxazepam,False,False,False,,-1
42,oxaprozin,oxazepam,oxaprozin,False,False,,-1
43,oxazolam,oxazepam,False,False,False,,-1
44,oxyphencyclimine,oxazepam,False,False,False,,-1
45,selax,oxazepam,False,False,False,,-1
46,xanax,oxazepam,alprazolam,False,False,,-1
47,tranquilene,oxazepam,False,False,False,,-1
48,dezocine,oxazepam,dezocine,False,False,,-1
49,lorazepam,oxazepam,lorazepam,False,False,,-1
50,alprazolam,oxazepam,alprazolam,False,False,,-1
51,diazepam,oxazepam,diazepam,False,False,,-1
52,clonazepam,oxazepam,clonazepam,False,False,,-1
53,chlordiazepoxide,oxazepam,chlordiazepoxide,False,False,,-1
54,oxazepamum,oxazepam,False,False,False,,-1
55,xanor,oxazepam,alprazolam,False,False,,-1
56,selzorb,oxazepam,False,False,False,,-1
57,paxam,oxazepam,benfluorex,False,False,,-1
58,serepax,oxazepam,oxazepam,True,True,,4
59,lorazepam,oxazepam,lorazepam,False,False,,-1
60,alprazolam,oxazepam,alprazolam,False,False,,-1
61,diazepam,oxazepam,diazepam,False,False,,-1
62,serax,oxazepam,oxazepam,True,True,,4
63,serax,oxazepam,oxazepam,True,True,,4
64,ativan,oxazepam,lorazepam,False,False,,-1
65,serepax,oxazepam,oxazepam,True,True,,4
66,oxymetholone,oxazepam,oxymetholone,False,False,,-1
67,fluoxymesterone,oxazepam,fluoxymesterone,False,False,,-1
68,lexazepam,oxazepam,False,False,False,,-1
69,alzapam,oxazepam,False,False,False,,-1
70,anxiolytic,oxazepam,False,False,False,,-1
71,alprazolam,oxazepam,alprazolam,False,False,,-1
72,diazepam,oxazepam,diazepam,False,False,,-1
73,oxazepan,oxazepam,False,False,True,,1
74,oxazepane,oxazepam,False,False,False,,-1
75,tranxene,oxazepam,clorazepate,False,True,,3
76,ativan,oxazepam,lorazepam,False,False,,-1
77,lorazepam,oxazepam,lorazepam,False,False,,-1
78,alprazolam,oxazepam,alprazolam,False,False,,-1
79,ativan,oxazepam,lorazepam,False,False,,-1
80,temesta,oxazepam,lorazepam,False,False,,-1
81,valium,oxazepam,diazepam,False,False,,-1
82,oxapam,oxazepam,False,False,True,,1
83,alepam,oxazepam,oxazepam,True,True,,1
84,serax,oxazepam,oxazepam,True,True,,4
85,adumbran,oxazepam,False,False,True,,1
86,calmpose,oxazepam,False,False,False,,-1
87,trankimazin,oxazepam,False,False,False,,-1
88,murelax,oxazepam,False,False,False,,-1
89,serex,oxazepam,False,False,False,,-1
90,serax,oxazepam,oxazepam,True,True,,4
91,oxazolam,oxazepam,False,False,False,,-1
92,tranquizine,oxazepam,False,False,False,,-1
93,ansiolin,oxazepam,False,False,False,,-1
94,calmopril,oxazepam,False,False,False,,-1
95,trankimazin,oxazepam,False,False,False,,-1
96,tranquisan,oxazepam,False,False,False,,-1
97,oxana,oxazepam,oxymorphone,False,False,,-1
98,zepam,oxazepam,False,False,False,,-1
99,medopam,oxazepam,False,False,False,,-1
100,serenata,oxazepam,False,False,False,,-1
101,oxazepam,oxazepam,oxazepam,True,True,,1
102,tranquilizer,oxazepam,False,False,False,,-1
103,an_anxiolytic,oxazepam,False,False,False,,-1
104,serepax,oxazepam,oxazepam,True,True,,4
105,oxacepam,oxazepam,False,False,True,,1
106,cinolazepam,oxazepam,cinolazepam,False,False,,-1
107,oxazolam,oxazepam,False,False,False,,-1
108,oxazepamum,oxazepam,False,False,False,,-1
109,oxazolam,oxazepam,False,False,False,,-1
110,alepam,oxazepam,oxazepam,True,True,,1
111,anexsia,oxazepam,False,False,False,,-1
112,benshexol,oxazepam,False,False,False,,-1
113,calmatron,oxazepam,False,False,False,,-1
114,control,oxazepam,False,False,False,,-1
115,dalmane,oxazepam,flurazepam,False,False,,-1
116,diazepam,oxazepam,diazepam,False,False,,-1
117,diapam,oxazepam,diazepam,False,False,,-1
118,diazem,oxazepam,diazepam,False,False,,-1
119,elvanse,oxazepam,False,False,False,,-1
120,evolving,oxazepam,False,False,False,,-1
121,hexazepam,oxazepam,False,False,False,,-1
122,librium,oxazepam,chlordiazepoxide,False,False,,-1
123,lorazepam,oxazepam,lorazepam,False,False,,-1
124,medazepam,oxazepam,temazepam,False,False,,-1
125,norpramin,oxazepam,desipramine,False,False,,-1
126,paxal,oxazepam,benfluorex,False,False,,-1
127,phenazepam,oxazepam,False,False,False,,-1
128,prometazine,oxazepam,promethazine,False,False,,-1
129,quazepam,oxazepam,quazepam,False,False,,-1
130,serax,oxazepam,oxazepam,True,True,,4
131,taural,oxazepam,False,False,False,,-1
132,telazol,oxazepam,False,False,False,,-1
133,tranxene,oxazepam,clorazepate,False,True,,3
134,triazolam,oxazepam,triazolam,False,False,,-1
135,valium,oxazepam,diazepam,False,False,,-1
136,vivactil,oxazepam,protriptyline,False,False,,-1
137,xanax,oxazepam,alprazolam,False,False,,-1
138,zaleplon,oxazepam,zaleplon,False,False,,-1
139,zolpidem,oxazepam,zolpidem,False,False,,-1
140,centrazepam,oxazepam,False,False,False,,-1
141,medazepam,oxazepam,temazepam,False,False,,-1
142,oxazepam,oxazepam,oxazepam,True,True,,1
143,prazepam,oxazepam,prazepam,False,True,,8
144,trifluoperazine,oxazepam,trifluoperazine,False,False,,-1
145,chlorpromazine,oxazepam,chlorpromazine,False,False,,-1
146,lorazepam,oxazepam,lorazepam,False,False,,-1
147,anxiolytic,oxazepam,False,False,False,,-1
148,tensiom,oxazepam,False,False,False,,-1
149,tranquirax,oxazepam,False,False,False,,-1
150,calmepam,oxazepam,False,False,False,,-1
151,seresto,oxazepam,False,False,False,,-1
152,valium,oxazepam,diazepam,False,False,,-1
153,ativan,oxazepam,lorazepam,False,False,,-1
154,klonopin,oxazepam,clonazepam,False,False,,-1
155,xanax,oxazepam,alprazolam,False,False,,-1
156,librium,oxazepam,chlordiazepoxide,False,False,,-1
157,serepax,oxazepam,oxazepam,True,True,,4
158,tranquotin,oxazepam,False,False,False,,-1
159,serax,oxazepam,oxazepam,True,True,,4
160,trankimazin,oxazepam,False,False,False,,-1
161,oxazolam,oxazepam,False,False,False,,-1
162,neozepam,oxazepam,False,False,False,,-1
163,serene,oxazepam,False,False,False,,-1
164,tranquilizer,oxazepam,False,False,False,,-1
165,oxapam,oxazepam,False,False,True,,1
166,serax,oxazepam,oxazepam,True,True,,4
167,serax,oxazepam,oxazepam,True,True,,4
168,tranquilere,oxazepam,False,False,False,,-1
169,murelax,oxazepam,False,False,False,,-1
170,oxazolam,oxazepam,False,False,False,,-1
171,anexsia,oxazepam,False,False,False,,-1
172,relieve+,oxazepam,False,False,False,,-1
173,seresto,oxazepam,False,False,False,,-1
174,ativan,oxazepam,lorazepam,False,False,,-1
175,alprazolam,oxazepam,alprazolam,False,False,,-1
176,lorazepam,oxazepam,lorazepam,False,False,,-1
177,diazepam,oxazepam,diazepam,False,False,,-1
178,clonazepam,oxazepam,clonazepam,False,False,,-1
179,flurazepam,oxazepam,flurazepam,False,False,,-1
180,chlordiazepoxide,oxazepam,chlordiazepoxide,False,False,,-1
181,serax,oxazepam,oxazepam,True,True,,4
182,trankimazin,oxazepam,False,False,False,,-1
183,prazepam,oxazepam,prazepam,False,True,,8
184,alprazolam,oxazepam,alprazolam,False,False,,-1
185,tranxene,oxazepam,clorazepate,False,True,,3
186,zepam,oxazepam,False,False,False,,-1
187,oxapam,oxazepam,False,False,True,,1
188,diazepam,oxazepam,diazepam,False,False,,-1
189,oxapax,oxazepam,False,False,False,,-1
190,epam,oxazepam,False,False,False,,-1
191,anxiolin,oxazepam,False,False,False,,-1
192,serax,oxazepam,oxazepam,True,True,,4
193,minipress,oxazepam,prazosin,False,False,,-1
194,centrax,oxazepam,prazepam,False,False,,-1
195,tranxene,oxazepam,clorazepate,False,True,,3
196,xanax,oxazepam,alprazolam,False,False,,-1
197,klonopin,oxazepam,clonazepam,False,False,,-1
198,ativan,oxazepam,lorazepam,False,False,,-1
199,valium,oxazepam,diazepam,False,False,,-1
200,xanax,oxazepam,alprazolam,False,False,,-1
201,zopax,oxazepam,False,False,False,,-1
202,apozepam,oxazepam,False,False,False,,-1
203,ectopam,oxazepam,False,False,False,,-1
204,lisuride,oxazepam,lisuride,False,False,,-1
205,oxazolam,oxazepam,False,False,False,,-1
206,tazepam,oxazepam,False,False,False,,-1
207,zolpidem,oxazepam,zolpidem,False,False,,-1
208,pmafex,oxazepam,False,False,False,,-1
209,oxapam,oxazepam,False,False,True,,1
210,oxazepamum,oxazepam,False,False,False,,-1
211,oxazolam,oxazepam,False,False,False,,-1
212,prazepam,oxazepam,prazepam,False,True,,8
213,banexa,oxazepam,False,False,False,,-1
214,restoril,oxazepam,temazepam,False,False,,-1
215,oxapam,oxazepam,False,False,True,,1
216,zepaxid,oxazepam,False,False,False,,-1
217,tranquirit,oxazepam,False,False,False,,-1
218,serepax,oxazepam,oxazepam,True,True,,4
219,xanax,oxazepam,alprazolam,False,False,,-1
220,librium,oxazepam,chlordiazepoxide,False,False,,-1
221,serepax,oxazepam,oxazepam,True,True,,4
222,oxapam,oxazepam,False,False,True,,1
223,tranquirax,oxazepam,False,False,False,,-1
224,serax,oxazepam,oxazepam,True,True,,4
225,siralud,oxazepam,False,False,False,,-1
226,tabernil,oxazepam,False,False,False,,-1
227,lorazepam,oxazepam,lorazepam,False,False,,-1
228,oxazepam,oxazepam,oxazepam,True,True,,1
229,tranquirit,oxazepam,False,False,False,,-1
230,apo-oxazepam,oxazepam,False,False,False,,-1
231,novoxapam,oxazepam,False,False,False,,-1
232,xanax,oxazepam,alprazolam,False,False,,-1
233,ativan,oxazepam,lorazepam,False,False,,-1
234,deprax,oxazepam,False,False,False,,-1
235,alepam,oxazepam,oxazepam,True,True,,1
236,serepax,oxazepam,oxazepam,True,True,,4
237,seresta,oxazepam,oxazepam,True,True,,7
238,tranquinal,oxazepam,False,False,False,,-1
239,anxietyl,oxazepam,False,False,False,,-1
240,apraz,oxazepam,ibuprofen,False,False,,-1
241,trozet,oxazepam,False,False,False,,-1
242,zepaxodone,oxazepam,False,False,False,,-1
243,atarax,oxazepam,hydroxyzine,False,False,,-1
244,anafranil,oxazepam,clomipramine,False,False,,-1
245,tranxene,oxazepam,clorazepate,False,True,,3
246,lorazepam,oxazepam,lorazepam,False,False,,-1
247,alprazolam,oxazepam,alprazolam,False,False,,-1
248,diazepam,oxazepam,diazepam,False,False,,-1
249,chlordiazepoxide,oxazepam,chlordiazepoxide,False,False,,-1
250,oxazepan,oxazepam,False,False,True,,1
251,oxazepane,oxazepam,False,False,False,,-1
252,lorazepam,oxazepam,lorazepam,False,False,,-1
253,oxaprozin,oxazepam,oxaprozin,False,False,,-1
254,serax,oxazepam,oxazepam,True,True,,4
255,serax,oxazepam,oxazepam,True,True,,4
256,serepax,oxazepam,oxazepam,True,True,,4
257,calmepam,oxazepam,False,False,False,,-1
258,ipradrol,oxazepam,False,False,False,,-1
259,oxaprozin,oxazepam,oxaprozin,False,False,,-1
260,zaprinast,oxazepam,False,False,False,,-1
261,paxipam,oxazepam,False,False,True,,5
262,zepam,oxazepam,False,False,False,,-1
263,pazepam,oxazepam,False,False,False,,-1
264,serepam,oxazepam,False,False,False,,-1
265,oxapam,oxazepam,False,False,True,,1
266,zepam,oxazepam,False,False,False,,-1
267,diclofenac,oxazepam,diclofenac,False,False,,-1
268,etodolac,oxazepam,etodolac,False,False,,-1
269,indomethacin,oxazepam,indomethacin,False,False,,-1
270,ketoprofen,oxazepam,ketoprofen,False,False,,-1
271,mefenamic_acid,oxazepam,mefenamic_acid,False,False,,-1
272,nabumetone,oxazepam,nabumetone,False,False,,-1
273,oxaprozin,oxazepam,oxaprozin,False,False,,-1
274,piroxicam,oxazepam,piroxicam,False,False,,-1
275,sulindac,oxazepam,sulindac,False,False,,-1
276,tolmetin,oxazepam,tolmetin,False,False,,-1
277,zileuton,oxazepam,zileuton,False,False,,-1
278,oxazolam,oxazepam,False,False,False,,-1
279,oxa,oxazepam,False,False,False,,-1
280,ox,oxazepam,False,False,False,,-1
281,pam,oxazepam,melphalan,False,False,,-1
282,xanax,oxazepam,alprazolam,False,False,,-1
283,bolus,oxazepam,False,False,False,,-1
284,barrage,oxazepam,False,False,False,,-1
285,bezoar,oxazepam,False,False,False,,-1
286,bolus_feed,oxazepam,False,False,False,,-1
287,bouillon,oxazepam,False,False,False,,-1
288,clyster,oxazepam,False,False,False,,-1
289,cyclamate,oxazepam,False,False,False,,-1
290,decoct,oxazepam,False,False,False,,-1
291,demulcent,oxazepam,False,False,False,,-1
292,electuary,oxazepam,False,False,False,,-1
293,enema,oxazepam,False,False,False,,-1
294,expectorant,oxazepam,guaifenesin,False,False,,-1
295,gel,oxazepam,hydroxypropyl_cellulose,False,False,,-1
296,hogwash,oxazepam,False,False,False,,-1
297,infusion,oxazepam,False,False,False,,-1
298,liniment,oxazepam,False,False,False,,-1
299,lotion,oxazepam,False,False,False,,-1
300,macrobiotic_diet,oxazepam,False,False,False,,-1
301,mucilage,oxazepam,False,False,False,,-1
302,ointment,oxazepam,False,False,False,,-1
303,poultice,oxazepam,False,False,False,,-1
304,purge,oxazepam,False,False,False,,-1
305,reductant,oxazepam,False,False,False,,-1
306,salve,oxazepam,False,False,False,,-1
307,slops,oxazepam,False,False,False,,-1
308,suppository,oxazepam,False,False,False,,-1
309,syrup,oxazepam,False,False,False,,-1
310,tranquilizer,oxazepam,False,False,False,,-1
311,serax,oxazepam,oxazepam,True,True,,4
312,tranquirax,oxazepam,False,False,False,,-1
313,lorazepam,oxazepam,lorazepam,False,False,,-1
314,oxapam,oxazepam,False,False,True,,1
315,prazepam,oxazepam,prazepam,False,True,,8
316,unsex,oxazepam,False,False,False,,-1
317,oxymetholone,oxazepam,oxymetholone,False,False,,-1
318,xanax,oxazepam,alprazolam,False,False,,-1
319,ativan,oxazepam,lorazepam,False,False,,-1
320,sereupin,oxazepam,False,False,False,,-1
321,serlain,oxazepam,False,False,False,,-1
322,serpalan,oxazepam,False,False,False,,-1
323,serpedin,oxazepam,False,False,False,,-1
324,serenace,oxazepam,haloperidol,False,False,,-1
325,setaloft,oxazepam,False,False,False,,-1
326,tranquilen,oxazepam,False,False,False,,-1
327,oxazolam,oxazepam,False,False,False,,-1
328,alprazolam,oxazepam,alprazolam,False,False,,-1
329,lorazepam,oxazepam,lorazepam,False,False,,-1
330,chlordiazepoxide,oxazepam,chlordiazepoxide,False,False,,-1
331,diazepam,oxazepam,diazepam,False,False,,-1
332,flurazepam,oxazepam,flurazepam,False,False,,-1
333,midazolam,oxazepam,midazolam,False,False,,-1
334,serax,oxazepam,oxazepam,True,True,,4
335,oxazolam,oxazepam,False,False,False,,-1
336,oxapam,oxazepam,False,False,True,,1
337,oxypam,oxazepam,False,False,True,,1
338,sapam,oxazepam,False,False,False,,-1
339,serepax,oxazepam,oxazepam,True,True,,4
340,prazepam,oxazepam,prazepam,False,True,,8
341,others,oxazepam,False,False,False,,-1
342,tranquirit,oxazepam,False,False,False,,-1
343,xanax,oxazepam,alprazolam,False,False,,-1
344,ativan,oxazepam,lorazepam,False,False,,-1
345,oxaleyzepam,oxazepam,False,False,False,,-1
346,anozepam,oxazepam,False,False,False,,-1
347,benzodiazepam,oxazepam,False,False,False,,-1
348,sedapam,oxazepam,False,False,False,,-1
349,serax,oxazepam,oxazepam,True,True,,4
350,sepracor,oxazepam,False,False,False,,-1
351,intensity,oxazepam,False,False,False,,-1
352,tranquilox,oxazepam,False,False,False,,-1
353,anexate,oxazepam,False,False,False,,-1
354,calmazep,oxazepam,False,False,False,,-1
355,serenid,oxazepam,False,False,True,,6
356,oxidoct,oxazepam,False,False,False,,-1
357,opamox,oxazepam,oxazepam,True,False,,-1
358,zepam,oxazepam,False,False,False,,-1
359,stabilanon,oxazepam,False,False,False,,-1
360,trigilan,oxazepam,False,False,False,,-1
361,triazolam,oxazepam,triazolam,False,False,,-1
362,xazepam,oxazepam,False,False,True,,1
363,azepam,oxazepam,oxazepam,True,False,,-1
364,oxazepam,oxazepam,oxazepam,True,True,,1
365,serenace,oxazepam,haloperidol,False,False,,-1
366,paxel,oxazepam,paroxetine,False,False,,-1
367,serestar,oxazepam,False,False,False,,-1
368,serax,oxazepam,oxazepam,True,True,,4
369,trankimazin,oxazepam,False,False,False,,-1
370,ansiolin,oxazepam,False,False,False,,-1
371,calmablet,oxazepam,False,False,False,,-1
372,diazemul,oxazepam,False,False,False,,-1
373,serenale,oxazepam,False,False,False,,-1
374,espamul,oxazepam,False,False,False,,-1
375,tranquil,oxazepam,False,False,False,,-1
376,oxazepam,oxazepam,oxazepam,True,True,,1
377,xanax,oxazepam,alprazolam,False,False,,-1
378,zopax,oxazepam,False,False,False,,-1
379,starnet,oxazepam,False,False,False,,-1
380,oxazepamum,oxazepam,False,False,False,,-1
381,oxascand,oxazepam,oxazepam,True,True,,5
382,ansial,oxazepam,False,False,False,,-1
383,calmador,oxazepam,False,False,False,,-1
384,converin,oxazepam,False,False,False,,-1
385,damixan,oxazepam,False,False,False,,-1
386,diazemul,oxazepam,False,False,False,,-1
387,espadon,oxazepam,False,False,False,,-1
388,serepax,oxazepam,oxazepam,True,True,,4
389,ox-pam,oxazepam,False,False,True,,1
390,oxatril,oxazepam,False,False,False,,-1
391,tranquirit,oxazepam,False,False,False,,-1
392,calmaben,oxazepam,False,False,False,,-1
393,diazepam,oxazepam,diazepam,False,False,,-1
394,alprazolam,oxazepam,alprazolam,False,False,,-1
395,lorazepam,oxazepam,lorazepam,False,False,,-1
396,chlordiazepoxide,oxazepam,chlordiazepoxide,False,False,,-1
397,ansiolin,oxazepam,False,False,False,,-1
398,en_cromwell,oxazepam,False,False,False,,-1
399,oxapam,oxazepam,False,False,True,,1
400,pax,oxazepam,False,False,False,,-1
401,adumbran,oxazepam,False,False,True,,1
402,calmpose,oxazepam,False,False,False,,-1
403,dormonoct,oxazepam,False,False,True,,3
404,serepax,oxazepam,oxazepam,True,True,,4
405,serax,oxazepam,oxazepam,True,True,,4
406,sirup,oxazepam,False,False,False,,-1
407,sorbon,oxazepam,False,False,False,,-1
408,tab,oxazepam,potassium_chloride,False,False,,-1
409,tinctura,oxazepam,False,False,False,,-1
410,phenazepam,oxazepam,False,False,False,,-1
411,xanax,oxazepam,alprazolam,False,False,,-1
412,oxazepine,oxazepam,False,False,True,,9
413,seretsed,oxazepam,False,False,False,,-1
414,soteg,oxazepam,False,False,False,,-1
415,xareb,oxazepam,False,False,False,,-1
416,oxametazepam,oxazepam,False,False,False,,-1
417,oxaprozin,oxazepam,oxaprozin,False,False,,-1
418,oxitriptan,oxazepam,oxitriptan,False,False,,-1
419,oxymetholone,oxazepam,oxymetholone,False,False,,-1
420,oxapam,oxazepam,False,False,True,,1
421,serax,oxazepam,oxazepam,True,True,,4
422,oxazepo,oxazepam,False,False,False,,-1
423,pms-oxazepam,oxazepam,False,False,False,,-1
424,doc-oxazepam,oxazepam,False,False,True,,3
425,alozepam,oxazepam,False,False,False,,-1
426,anexate,oxazepam,False,False,False,,-1
427,calmpose,oxazepam,False,False,False,,-1
428,serax,oxazepam,oxazepam,True,True,,4
429,anazepam,oxazepam,False,False,False,,-1
430,diazepam,oxazepam,diazepam,False,False,,-1
431,serepax,oxazepam,oxazepam,True,True,,4
432,xanax,oxazepam,alprazolam,False,False,,-1
433,seresta,oxazepam,oxazepam,True,True,,7
434,tranquirax,oxazepam,False,False,False,,-1
435,oxypam,oxazepam,False,False,True,,1
436,serepam,oxazepam,False,False,False,,-1
437,pylazepam,oxazepam,False,False,False,,-1
438,lorediazepam,oxazepam,False,False,False,,-1
439,deflazepam,oxazepam,False,False,False,,-1
