,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,mephedrone,4-methoxyamphetamine,mephedrone,False,False,,-1
1,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
2,omethoxyamphetamine,4-methoxyamphetamine,False,False,False,,-1
3,4-ma,4-methoxyamphetamine,False,False,True,,2
4,diethylproprion,4-methoxyamphetamine,False,False,False,,-1
5,fluoroamphetamine,4-methoxyamphetamine,False,False,False,,-1
6,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
7,"3,4-methylenedioxy-n-methylamphetamine",4-methoxyamphetamine,False,False,False,,-1
8,4-fluoroamphetamine,4-methoxyamphetamine,False,False,False,,-1
9,4-chloroamphetamine,4-methoxyamphetamine,False,False,False,,-1
10,4-bromoamphetamine,4-methoxyamphetamine,False,False,False,,-1
11,amphetaminil,4-methoxyamphetamine,False,False,False,,-1
12,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
13,p-methylphenylalanine,4-methoxyamphetamine,False,False,False,,-1
14,benzylpiperazine,4-methoxyamphetamine,False,False,False,,-1
15,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
16,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
17,4-ma,4-methoxyamphetamine,False,False,True,,2
18,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
19,mda,4-methoxyamphetamine,midomafetamine,False,False,,-1
20,mdma,4-methoxyamphetamine,midomafetamine,False,False,,-1
21,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
22,methyltestosterone,4-methoxyamphetamine,methyltestosterone,False,False,,-1
23,fluoxymesterone,4-methoxyamphetamine,fluoxymesterone,False,False,,-1
24,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
25,4-methoxymethamphetamine,4-methoxyamphetamine,False,False,True,,1
26,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
27,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
28,paraxyl,4-methoxyamphetamine,False,False,False,,-1
29,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
30,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
31,methamphetamine,4-methoxyamphetamine,methamphetamine,False,False,,-1
32,o-desmethyltramadol,4-methoxyamphetamine,False,False,False,,-1
33,3-methoxy-4-methylamphetamine,4-methoxyamphetamine,False,False,False,,-1
34,4-methoxy-n-methylamphetamine,4-methoxyamphetamine,False,False,True,,1
35,phenylmethoxyacetylamine,4-methoxyamphetamine,False,False,False,,-1
36,4-methoxymethamphetamine,4-methoxyamphetamine,False,False,True,,1
37,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
38,mda,4-methoxyamphetamine,midomafetamine,False,False,,-1
39,metamfetamine,4-methoxyamphetamine,methamphetamine,False,False,,-1
40,dimethylamphetamine,4-methoxyamphetamine,False,False,False,,-1
41,ephedrone,4-methoxyamphetamine,ephedrine,False,False,,-1
42,mda,4-methoxyamphetamine,midomafetamine,False,False,,-1
43,mdma,4-methoxyamphetamine,midomafetamine,False,False,,-1
44,para-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
45,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
46,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
47,fenfluramine,4-methoxyamphetamine,fenfluramine,False,False,,-1
48,pemoline,4-methoxyamphetamine,pemoline,False,False,,-1
49,fenethylline,4-methoxyamphetamine,fenethylline,False,False,,-1
50,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
51,pseudoephedrine,4-methoxyamphetamine,pseudoephedrine,False,False,,-1
52,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
53,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
54,levamfetamine,4-methoxyamphetamine,False,False,False,,-1
55,pma,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,6
56,methamfetamine,4-methoxyamphetamine,methamphetamine,False,False,,-1
57,ephedrine,4-methoxyamphetamine,ephedrine,False,False,,-1
58,ephedrone,4-methoxyamphetamine,ephedrine,False,False,,-1
59,ephedrine,4-methoxyamphetamine,ephedrine,False,False,,-1
60,pseudoephedrine,4-methoxyamphetamine,pseudoephedrine,False,False,,-1
61,phenylpropanolamine,4-methoxyamphetamine,phenylpropanolamine,False,False,,-1
62,l-methamphetamine,4-methoxyamphetamine,False,False,False,,-1
63,l-ephedrine,4-methoxyamphetamine,False,False,False,,-1
64,ephedrine,4-methoxyamphetamine,ephedrine,False,False,,-1
65,ephedrone,4-methoxyamphetamine,ephedrine,False,False,,-1
66,pma,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,6
67,trade_name_pma,4-methoxyamphetamine,False,False,True, pill,9
68,p-methoxy-n-methylamphetamine,4-methoxyamphetamine,False,False,True,,1
69,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
70,mda,4-methoxyamphetamine,midomafetamine,False,False,,-1
71,levomethamphetamine,4-methoxyamphetamine,levmetamfetamine,False,False,,-1
72,trimethoxyamphetamine,4-methoxyamphetamine,False,False,False,,-1
73,lefetamine,4-methoxyamphetamine,amphetamine,False,False,,-1
74,phenylmethylmethoxyamine,4-methoxyamphetamine,False,False,False,,-1
75,dimethoxyamphetamine,4-methoxyamphetamine,False,False,False,,-1
76,trimethoxyamphetamine,4-methoxyamphetamine,False,False,False,,-1
77,fourth-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
78,fenethylline,4-methoxyamphetamine,fenethylline,False,False,,-1
79,4-fluoroamphetamine,4-methoxyamphetamine,False,False,False,,-1
80,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
81,p-methoxyamphetamine,4-methoxyamphetamine,False,False,True,,1
82,chloroephedrine,4-methoxyamphetamine,False,False,False,,-1
83,4-methoxyamphetamine,4-methoxyamphetamine,4-methoxyamphetamine,False,True,,1
84,4-methoxyamphetamine_hydrochloride,4-methoxyamphetamine,False,False,True,,1
85,phentermine,4-methoxyamphetamine,phentermine,False,False,,-1
