,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,quinalbarbitone,secobarbital,False,False,True,,1
1,barbiturate,secobarbital,False,False,True,,4
2,aprobarbital,secobarbital,False,False,False,,-1
3,butabarbital,secobarbital,butabarbital,False,False,,-1
4,hexobarbital,secobarbital,hexobarbital,False,False,,-1
5,pentobarbital,secobarbital,pentobarbital,False,True,,8
6,secobarbital_sodium,secobarbital,False,True,True,,1
7,barbital,secobarbital,barbital,False,True,,4
8,quinalbarbitone,secobarbital,False,False,True,,1
9,amytal,secobarbital,amobarbital,False,True,,6
10,pentobarbital,secobarbital,pentobarbital,False,True,,8
11,talbutal,secobarbital,False,False,False,,-1
12,aprobarbital,secobarbital,False,False,False,,-1
13,butabarbital,secobarbital,butabarbital,False,False,,-1
14,cyclobarbital,secobarbital,False,False,True,,4
15,neobarbital,secobarbital,False,False,False,,-1
16,barbitone,secobarbital,False,False,False,,-1
17,amobarbital,secobarbital,amobarbital,False,True,,5
18,phenobarbital,secobarbital,phenobarbital,False,True,,5
19,hexobarbital,secobarbital,hexobarbital,False,False,,-1
20,tuinal,secobarbital,False,False,True,,1
21,nembutal,secobarbital,pentobarbital,False,True,,8
22,pentobarbital,secobarbital,pentobarbital,False,True,,8
23,phenobarbital,secobarbital,phenobarbital,False,True,,5
24,barbiturate,secobarbital,False,False,True,,4
25,pentobarbital,secobarbital,pentobarbital,False,True,,8
26,nembutal,secobarbital,pentobarbital,False,True,,8
27,secobarb,secobarbital,False,False,True,,1
28,secobarbitone,secobarbital,False,False,True,,1
29,secobarbital_sodium,secobarbital,False,True,True,,1
30,secobarbitone_sodium,secobarbital,False,False,True,,1
31,soltus,secobarbital,False,False,False,,-1
32,amphetamine,secobarbital,amphetamine,False,False,,-1
33,leurinal,secobarbital,False,False,False,,-1
34,barbital,secobarbital,barbital,False,True,,4
35,aminal,secobarbital,False,False,False,,-1
36,methohexital,secobarbital,methohexital,False,False,,-1
37,thiopental,secobarbital,thiopental,False,False,,-1
38,pentobarbital,secobarbital,pentobarbital,False,True,,8
39,hexobarbital,secobarbital,hexobarbital,False,False,,-1
40,quinalbarbitone,secobarbital,False,False,True,,1
41,barbiturate,secobarbital,False,False,True,,4
42,quinalbarbitone,secobarbital,False,False,True,,1
43,hexobarbitone,secobarbital,False,False,True,,1
44,pentobarbital,secobarbital,pentobarbital,False,True,,8
45,thiopental,secobarbital,thiopental,False,False,,-1
46,sodium_pentobarbital,secobarbital,False,False,False,,-1
47,phenobarbital,secobarbital,phenobarbital,False,True,,5
48,seconal,secobarbital,secobarbital,True,True,,1
49,seconal_sodium,secobarbital,False,True,True,,1
50,nembutal,secobarbital,pentobarbital,False,True,,8
51,barbiturates,secobarbital,False,False,False,,-1
52,sexobarbitals,secobarbital,False,False,False,,-1
53,barbiturate,secobarbital,False,False,True,,4
54,barbital,secobarbital,barbital,False,True,,4
55,barbiturate,secobarbital,False,False,True,,4
56,luminal,secobarbital,phenobarbital,False,True,,6
57,quinalbarbitone,secobarbital,False,False,True,,1
58,hexobarbital,secobarbital,hexobarbital,False,False,,-1
59,pentobarbital,secobarbital,pentobarbital,False,True,,8
60,thiopental,secobarbital,thiopental,False,False,,-1
61,barbital,secobarbital,barbital,False,True,,4
62,barial,secobarbital,False,False,False,,-1
63,betaxolol,secobarbital,betaxolol,False,False,,-1
64,butalbital,secobarbital,butalbital,False,False,,-1
65,butobarbital,secobarbital,False,False,False,,-1
66,carbital,secobarbital,False,False,False,,-1
67,hemitartrate,secobarbital,False,False,False,,-1
68,hexobarbital,secobarbital,hexobarbital,False,False,,-1
69,methohexital,secobarbital,methohexital,False,False,,-1
70,pentobarbital,secobarbital,pentobarbital,False,True,,8
71,phenobarbital,secobarbital,phenobarbital,False,True,,5
72,propofol,secobarbital,propofol,False,False,,-1
73,barbitone,secobarbital,False,False,False,,-1
74,pentobarbital,secobarbital,pentobarbital,False,True,,8
75,downers,secobarbital,False,False,False,,-1
76,seepanal,secobarbital,False,False,False,,-1
77,sobarbitol,secobarbital,False,False,False,,-1
78,eseryl,secobarbital,False,False,False,,-1
79,barbitur,secobarbital,False,False,True,,3
80,hexobarbital,secobarbital,hexobarbital,False,False,,-1
81,butabarbital,secobarbital,butabarbital,False,False,,-1
82,pentobarbital,secobarbital,pentobarbital,False,True,,8
83,phenobarbital,secobarbital,phenobarbital,False,True,,5
84,amobarbital,secobarbital,amobarbital,False,True,,5
85,pentobarbital,secobarbital,pentobarbital,False,True,,8
86,pentobarbital,secobarbital,pentobarbital,False,True,,8
87,hexobarbital,secobarbital,hexobarbital,False,False,,-1
88,luminal,secobarbital,phenobarbital,False,True,,6
89,nembutal,secobarbital,pentobarbital,False,True,,8
90,pentobarbital,secobarbital,pentobarbital,False,True,,8
91,phenobarbital,secobarbital,phenobarbital,False,True,,5
92,seconal,secobarbital,secobarbital,True,True,,1
93,thiopental,secobarbital,thiopental,False,False,,-1
94,luminal,secobarbital,phenobarbital,False,True,,6
95,quinalbarbitone,secobarbital,False,False,True,,1
96,barbital,secobarbital,barbital,False,True,,4
97,pentobarbital,secobarbital,pentobarbital,False,True,,8
98,barbiturate,secobarbital,False,False,True,,4
99,secobarbitone,secobarbital,False,False,True,,1
100,secobarbital_sodium,secobarbital,False,True,True,,1
101,sephacryl,secobarbital,False,False,False,,-1
102,amobarbital,secobarbital,amobarbital,False,True,,5
103,pentobarbital,secobarbital,pentobarbital,False,True,,8
104,amobarbital,secobarbital,amobarbital,False,True,,5
105,hexobarbital,secobarbital,hexobarbital,False,False,,-1
106,butobarbital,secobarbital,False,False,False,,-1
107,barbital,secobarbital,barbital,False,True,,4
108,thiopental,secobarbital,thiopental,False,False,,-1
109,phenobarbital,secobarbital,phenobarbital,False,True,,5
110,secobarbitone,secobarbital,False,False,True,,1
111,quinalbarbitone,secobarbital,False,False,True,,1
112,secobarbitals,secobarbital,False,False,True,,1
113,quinalbarbitone,secobarbital,False,False,True,,1
114,amobarbital,secobarbital,amobarbital,False,True,,5
115,quinalbarbitone,secobarbital,False,False,True,,1
116,amobarbital,secobarbital,amobarbital,False,True,,5
117,quaalude,secobarbital,methaqualone,False,False,,-1
118,barbiturate,secobarbital,False,False,True,,4
