,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,gantin,quazepam,False,False,False,,-1
1,zydis,quazepam,False,False,False,,-1
2,victan,quazepam,ethyl_loflazepate,False,False,,-1
3,tazepam,quazepam,False,False,True,,8
4,q-zepam,quazepam,False,False,False,,-1
5,quapam,quazepam,False,False,False,,-1
6,quazes,quazepam,False,False,False,,-1
7,quetiapine,quazepam,quetiapine,False,False,,-1
8,pregabalin,quazepam,pregabalin,False,False,,-1
9,zuclopenthixol,quazepam,zuclopenthixol,False,False,,-1
10,chlorprothixene,quazepam,chlorprothixene,False,False,,-1
11,thiothixene,quazepam,False,False,False,,-1
12,fluphenazine,quazepam,fluphenazine,False,False,,-1
13,perphenazine,quazepam,perphenazine,False,False,,-1
14,metrazol,quazepam,False,False,False,,-1
15,mepron,quazepam,atovaquone,False,False,,-1
16,prazepam,quazepam,prazepam,False,False,,-1
17,zopazolam,quazepam,False,False,False,,-1
18,quardial,quazepam,False,False,False,,-1
19,quasepam,quazepam,False,False,False,,-1
20,quaze,quazepam,False,False,False,,-1
21,quazepine,quazepam,False,False,True,,1
22,quazepam,quazepam,quazepam,True,True,,3
23,quetiapine,quazepam,quetiapine,False,False,,-1
24,lorazepam,quazepam,lorazepam,False,False,,-1
25,tegretol,quazepam,carbamazepine,False,False,,-1
26,ativan,quazepam,lorazepam,False,False,,-1
27,zolpidem,quazepam,zolpidem,False,False,,-1
28,eszopiclone,quazepam,eszopiclone,False,False,,-1
29,fluoxetine,quazepam,fluoxetine,False,False,,-1
30,barbipal,quazepam,False,False,False,,-1
31,dorten,quazepam,False,False,False,,-1
32,farod,quazepam,False,False,False,,-1
33,kortenon,quazepam,False,False,False,,-1
34,bekapal,quazepam,False,False,False,,-1
35,kolodin,quazepam,False,False,False,,-1
36,borapen,quazepam,False,False,False,,-1
37,quam-quam,quazepam,False,False,False,,-1
38,quamsi,quazepam,False,False,False,,-1
39,quasepam,quazepam,False,False,False,,-1
40,quazepam,quazepam,quazepam,True,True,,3
41,enrofloxacin,quazepam,False,False,False,,-1
42,prazepam,quazepam,prazepam,False,False,,-1
43,flurazepam,quazepam,flurazepam,False,True,,10
44,lorazepam,quazepam,lorazepam,False,False,,-1
45,alprazolam,quazepam,alprazolam,False,False,,-1
46,myodas,quazepam,False,False,False,,-1
47,tricot,quazepam,False,False,False,,-1
48,plaudet,quazepam,False,False,False,,-1
49,quasepam,quazepam,False,False,False,,-1
50,midazolam,quazepam,midazolam,False,False,,-1
51,rohypnol,quazepam,flunitrazepam,False,False,,-1
52,temazepam,quazepam,temazepam,False,False,,-1
53,triazolam,quazepam,triazolam,False,False,,-1
54,valium,quazepam,diazepam,False,False,,-1
55,xanax,quazepam,alprazolam,False,False,,-1
56,eszopiclone,quazepam,eszopiclone,False,False,,-1
57,flumazepil,quazepam,flumazenil,False,False,,-1
58,gabapentin,quazepam,gabapentin,False,False,,-1
59,levetiracetam,quazepam,levetiracetam,False,False,,-1
60,oxcarbazepine,quazepam,oxcarbazepine,False,False,,-1
61,pregabalin,quazepam,pregabalin,False,False,,-1
62,topiramate,quazepam,topiramate,False,False,,-1
63,quay,quazepam,False,False,False,,-1
64,quetiapine,quazepam,quetiapine,False,False,,-1
65,quinapril,quazepam,quinapril,False,False,,-1
66,quinidine,quazepam,quinidine,False,False,,-1
67,quinine,quazepam,quinine,False,False,,-1
68,ranitidine,quazepam,ranitidine,False,False,,-1
69,zepam,quazepam,False,False,False,,-1
70,quetiapine,quazepam,quetiapine,False,False,,-1
71,zolpidem,quazepam,zolpidem,False,False,,-1
72,quetiapine,quazepam,quetiapine,False,False,,-1
73,quinapril,quazepam,quinapril,False,False,,-1
74,quinine,quazepam,quinine,False,False,,-1
75,quetazepam,quazepam,False,False,False,,-1
76,quinalbarbitone,quazepam,False,False,False,,-1
77,quinuclidinyl_benzilate,quazepam,False,False,False,,-1
78,quindecenoic_acid,quazepam,False,False,False,,-1
79,selene,quazepam,False,False,False,,-1
80,tranxene,quazepam,clorazepate,False,False,,-1
81,lorazepam,quazepam,lorazepam,False,False,,-1
82,ativan,quazepam,lorazepam,False,False,,-1
83,klonopin,quazepam,clonazepam,False,False,,-1
84,valium,quazepam,diazepam,False,False,,-1
85,xanax,quazepam,alprazolam,False,False,,-1
86,kordal,quazepam,False,False,False,,-1
87,quazepam,quazepam,quazepam,True,True,,3
88,quazepone,quazepam,False,False,True, pill,4
89,quaziem,quazepam,False,False,False,,-1
90,quazolam,quazepam,False,False,False,,-1
91,quazepine,quazepam,False,False,True,,1
92,quetiapine,quazepam,quetiapine,False,False,,-1
93,ziprasidone,quazepam,ziprasidone,False,False,,-1
94,aripiprazole,quazepam,aripiprazole,False,False,,-1
95,quaalude,quazepam,methaqualone,False,False,,-1
96,quetiapine,quazepam,quetiapine,False,False,,-1
97,fluoxetine,quazepam,fluoxetine,False,False,,-1
98,sertraline,quazepam,sertraline,False,False,,-1
99,paroxetine,quazepam,paroxetine,False,False,,-1
100,trazodone,quazepam,trazodone,False,False,,-1
101,buspirone,quazepam,buspirone,False,False,,-1
102,benzodiazepine,quazepam,benzodiazepine,False,False,,-1
103,quetiapine,quazepam,quetiapine,False,False,,-1
104,quinapril,quazepam,quinapril,False,False,,-1
105,quinidine,quazepam,quinidine,False,False,,-1
106,quinine,quazepam,quinine,False,False,,-1
107,quazebe,quazepam,False,False,False,,-1
108,quazpac,quazepam,False,False,False,,-1
109,lantern,quazepam,False,False,False,,-1
110,quaze,quazepam,False,False,False,,-1
111,quazecam,quazepam,False,False,False,,-1
112,birar,quazepam,False,False,False,,-1
113,quabir,quazepam,False,False,False,,-1
114,quazar,quazepam,False,False,False,,-1
115,quedor,quazepam,False,False,False,,-1
116,quefer,quazepam,False,False,False,,-1
117,quemed,quazepam,False,False,False,,-1
118,quenet,quazepam,False,False,False,,-1
119,seral,quazepam,False,False,False,,-1
120,oral,quazepam,False,False,False,,-1
121,quazeapam,quazepam,False,False,False,,-1
122,quazipam,quazepam,False,False,True,,1
123,quazepam,quazepam,quazepam,True,True,,3
124,quazepam,quazepam,quazepam,True,True,,3
125,quetiapine,quazepam,quetiapine,False,False,,-1
126,clozapine,quazepam,clozapine,False,False,,-1
127,risperidone,quazepam,risperidone,False,False,,-1
128,olanzapine,quazepam,olanzapine,False,False,,-1
129,ziprasidone,quazepam,ziprasidone,False,False,,-1
130,aripiprazole,quazepam,aripiprazole,False,False,,-1
131,neurol,quazepam,False,False,False,,-1
132,poral,quazepam,False,False,False,,-1
133,quetiapine,quazepam,quetiapine,False,False,,-1
134,risperidone,quazepam,risperidone,False,False,,-1
135,ziprasidone,quazepam,ziprasidone,False,False,,-1
136,aripiprazole,quazepam,aripiprazole,False,False,,-1
137,olanzapine,quazepam,olanzapine,False,False,,-1
138,clozapine,quazepam,clozapine,False,False,,-1
139,zotepine,quazepam,zotepine,False,False,,-1
140,quaze,quazepam,False,False,False,,-1
141,quape,quazepam,False,False,False,,-1
142,quaze,quazepam,False,False,False,,-1
143,dugsi,quazepam,False,False,False,,-1
144,dumdum,quazepam,False,False,False,,-1
145,dzo,quazepam,False,False,False,,-1
146,dzoop,quazepam,False,False,False,,-1
147,dzu,quazepam,False,False,False,,-1
148,kuai,quazepam,False,False,False,,-1
149,quaalude,quazepam,methaqualone,False,False,,-1
150,tranxene,quazepam,clorazepate,False,False,,-1
151,librium,quazepam,chlordiazepoxide,False,False,,-1
152,valium,quazepam,diazepam,False,False,,-1
153,xanax,quazepam,alprazolam,False,False,,-1
154,ativan,quazepam,lorazepam,False,False,,-1
155,klonopin,quazepam,clonazepam,False,False,,-1
156,quetiapine,quazepam,quetiapine,False,False,,-1
157,sedaprep,quazepam,False,False,False,,-1
158,zolpidem,quazepam,zolpidem,False,False,,-1
159,doral,quazepam,quazepam,True,False,,-1
160,orap,quazepam,pimozide,False,False,,-1
161,quetiapine,quazepam,quetiapine,False,False,,-1
162,atypical_antipsychotic,quazepam,lurasidone,False,False,,-1
163,quaalude,quazepam,methaqualone,False,False,,-1
164,tranxene,quazepam,clorazepate,False,False,,-1
165,quisquilious,quazepam,False,False,False,,-1
166,scuttlebut,quazepam,False,False,False,,-1
167,quetiapine,quazepam,quetiapine,False,False,,-1
168,halazepam,quazepam,halazepam,False,False,,-1
169,lorazepam,quazepam,lorazepam,False,False,,-1
170,alprazolam,quazepam,alprazolam,False,False,,-1
171,benzodiazepine,quazepam,benzodiazepine,False,False,,-1
172,diazepam,quazepam,diazepam,False,False,,-1
173,lorazepam,quazepam,lorazepam,False,False,,-1
174,chlordiazepoxide,quazepam,chlordiazepoxide,False,False,,-1
175,oxazepam,quazepam,oxazepam,False,False,,-1
176,alprazolam,quazepam,alprazolam,False,False,,-1
177,clonazepam,quazepam,clonazepam,False,False,,-1
178,flurazepam,quazepam,flurazepam,False,True,,10
179,quaalude,quazepam,methaqualone,False,False,,-1
180,methaqualone,quazepam,methaqualone,False,False,,-1
181,quaalude,quazepam,methaqualone,False,False,,-1
182,methaqualone,quazepam,methaqualone,False,False,,-1
183,tranxene,quazepam,clorazepate,False,False,,-1
184,equanil,quazepam,meprobamate,False,False,,-1
185,mebaral,quazepam,False,False,False,,-1
186,neurazine,quazepam,False,False,False,,-1
187,serax,quazepam,oxazepam,False,False,,-1
188,quagmire,quazepam,False,False,False,,-1
189,quayside,quazepam,False,False,False,,-1
190,quipams,quazepam,False,False,False,,-1
191,quisling,quazepam,False,False,False,,-1
192,quagga,quazepam,False,False,False,,-1
193,quasar,quazepam,False,False,False,,-1
194,quahog,quazepam,"quahog,_unspecified",False,False,,-1
195,quasepam,quazepam,False,False,False,,-1
196,quetiapine,quazepam,quetiapine,False,False,,-1
197,seroquel,quazepam,quetiapine,False,False,,-1
198,olanzapine,quazepam,olanzapine,False,False,,-1
199,zyprexa,quazepam,olanzapine,False,False,,-1
200,risperdal,quazepam,risperidone,False,False,,-1
201,geodon,quazepam,ziprasidone,False,False,,-1
202,aripiprazole,quazepam,aripiprazole,False,False,,-1
203,midazolam,quazepam,midazolam,False,False,,-1
204,diazepam,quazepam,diazepam,False,False,,-1
205,quetiapine,quazepam,quetiapine,False,False,,-1
206,quinoric,quazepam,False,False,False,,-1
207,quazepine,quazepam,False,False,True,,1
208,zaleplon,quazepam,zaleplon,False,False,,-1
209,zolpidem,quazepam,zolpidem,False,False,,-1
210,seroquel,quazepam,quetiapine,False,False,,-1
211,zolpidem,quazepam,zolpidem,False,False,,-1
212,quazepine,quazepam,False,False,True,,1
