,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,stazolam,estazolam,False,False,True,,1
1,etizoam,estazolam,etizolam,False,False,,-1
2,etazalam,estazolam,False,False,False,,-1
3,neozolam,estazolam,False,False,False,,-1
4,setazolam,estazolam,False,False,False,,-1
5,telazolam,estazolam,False,False,False,,-1
6,triazolam,estazolam,triazolam,False,False,,-1
7,halazepam,estazolam,halazepam,False,False,,-1
8,alazepam,estazolam,False,False,False,,-1
9,quazepam,estazolam,quazepam,False,False,,-1
10,ezapam,estazolam,False,False,False,,-1
11,estazolam_hydrochloride,estazolam,False,True,True,,1
12,estazolamum,estazolam,False,False,True,,1
13,desethylene_dioxazolam,estazolam,False,False,False,,-1
14,oxazolam,estazolam,False,False,False,,-1
15,benzodiazepine,estazolam,benzodiazepine,False,False,,-1
16,azoparoxetine,estazolam,False,False,False,,-1
17,fluoxetine,estazolam,fluoxetine,False,False,,-1
18,teazolam,estazolam,False,False,False,,-1
19,sezolam,estazolam,False,False,False,,-1
20,stage,estazolam,False,False,False,,-1
21,estazolam,estazolam,estazolam,True,True,,1
22,triazolam,estazolam,triazolam,False,False,,-1
23,halazepam,estazolam,halazepam,False,False,,-1
24,alprazolam,estazolam,alprazolam,False,False,,-1
25,restoril,estazolam,temazepam,False,False,,-1
26,restoril,estazolam,temazepam,False,False,,-1
27,temazepam,estazolam,temazepam,False,False,,-1
28,zolpidem,estazolam,zolpidem,False,False,,-1
29,estazolom,estazolam,False,False,True,,1
30,etazolum,estazolam,False,False,False,,-1
31,estazalam,estazolam,False,False,True,,1
32,restoril,estazolam,temazepam,False,False,,-1
33,temazepam,estazolam,temazepam,False,False,,-1
34,lorazepam,estazolam,lorazepam,False,False,,-1
35,alprazolam,estazolam,alprazolam,False,False,,-1
36,clonazepam,estazolam,clonazepam,False,False,,-1
37,diazepam,estazolam,diazepam,False,False,,-1
38,flurazepam,estazolam,flurazepam,False,False,,-1
39,comitan,estazolam,False,False,False,,-1
40,sedazin,estazolam,False,False,False,,-1
41,orfiril,estazolam,valproic_acid,False,False,,-1
42,soldezol,estazolam,False,False,False,,-1
43,tezopin,estazolam,False,False,False,,-1
44,triazolam,estazolam,triazolam,False,False,,-1
45,setazolam,estazolam,False,False,False,,-1
46,steazolam,estazolam,False,False,False,,-1
47,benzodiazepine,estazolam,benzodiazepine,False,False,,-1
48,ethazolam,estazolam,False,False,False,,-1
49,estazalam,estazolam,False,False,True,,1
50,tazolam,estazolam,False,False,False,,-1
