,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,vyvanse,lisdexamfetamine,lisdexamfetamine,True,False,,-1
1,elvanse,lisdexamfetamine,False,False,True,,7
2,lysates,lisdexamfetamine,False,False,False,,-1
3,lis-dex,lisdexamfetamine,False,False,False,,-1
4,lisdex,lisdexamfetamine,False,False,True,,4
5,dexamfetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
6,lisdextroamphetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
7,atkinsons_forte,lisdexamfetamine,False,False,False,,-1
8,elvanse,lisdexamfetamine,False,False,True,,7
9,leasy,lisdexamfetamine,False,False,False,,-1
10,l_belviq,lisdexamfetamine,False,False,False,,-1
11,lisdiaphenidate,lisdexamfetamine,False,False,False,,-1
12,lisdiomfetamine,lisdexamfetamine,False,False,False,,-1
13,l-amfetamine,lisdexamfetamine,False,False,False,,-1
14,lisdexamfetamine_dimesylate,lisdexamfetamine,lisdexamfetamine,True,True,,1
15,lisdexamfetamine_dimesylate,lisdexamfetamine,lisdexamfetamine,True,True,,1
16,lisdextroamphetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
17,elvanse,lisdexamfetamine,False,False,True,,7
18,adderall,lisdexamfetamine,amphetamine,False,False,,-1
19,dexedrine,lisdexamfetamine,dextroamphetamine,False,False,,-1
20,desoxyn,lisdexamfetamine,methamphetamine,False,False,,-1
21,methylphenidate,lisdexamfetamine,methylphenidate,False,False,,-1
22,ritalin,lisdexamfetamine,methylphenidate,False,False,,-1
23,vynanse,lisdexamfetamine,lisdexamfetamine,True,False,,-1
24,vyviane,lisdexamfetamine,False,False,False,,-1
25,vyvanci,lisdexamfetamine,False,False,False,,-1
26,vyvnaci,lisdexamfetamine,False,False,False,,-1
27,vycansi,lisdexamfetamine,False,False,False,,-1
28,vynansi,lisdexamfetamine,False,False,False,,-1
29,vyvanse,lisdexamfetamine,lisdexamfetamine,True,False,,-1
30,elvanse,lisdexamfetamine,False,False,True,,7
31,lisdexamphetamine,lisdexamfetamine,lisdexamfetamine,True,False,,-1
32,lisdexamphetamine,lisdexamfetamine,lisdexamfetamine,True,False,,-1
33,vibranese,lisdexamfetamine,False,False,False,,-1
34,vygerate,lisdexamfetamine,False,False,False,,-1
35,vyvanate,lisdexamfetamine,False,False,False,,-1
36,vyvance,lisdexamfetamine,False,False,False,,-1
37,vyvanza,lisdexamfetamine,False,False,False,,-1
38,lisdexamfetamine_dimesylate,lisdexamfetamine,lisdexamfetamine,True,True,,1
39,elvanse,lisdexamfetamine,False,False,True,,7
40,dexedrine,lisdexamfetamine,dextroamphetamine,False,False,,-1
41,dextroamphetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
42,elvanse,lisdexamfetamine,False,False,True,,7
43,lisdextroamphetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
44,vyvsan,lisdexamfetamine,False,False,False,,-1
45,velfona,lisdexamfetamine,False,False,False,,-1
46,vyfonic,lisdexamfetamine,False,False,False,,-1
47,vyfonek,lisdexamfetamine,False,False,False,,-1
48,elvanse,lisdexamfetamine,False,False,True,,7
49,evamore,lisdexamfetamine,False,False,False,,-1
50,procentra,lisdexamfetamine,dextroamphetamine,False,False,,-1
51,vyfane,lisdexamfetamine,False,False,False,,-1
52,vyvanse,lisdexamfetamine,lisdexamfetamine,True,False,,-1
53,elvanse,lisdexamfetamine,False,False,True,,7
54,lisdexamphetamine,lisdexamfetamine,lisdexamfetamine,True,False,,-1
55,elvanse,lisdexamfetamine,False,False,True,,7
56,lisdexamphetamine,lisdexamfetamine,lisdexamfetamine,True,False,,-1
57,vinnvanse,lisdexamfetamine,False,False,False,,-1
58,vyvanse,lisdexamfetamine,lisdexamfetamine,True,False,,-1
59,vyvance,lisdexamfetamine,False,False,False,,-1
60,vivance,lisdexamfetamine,dienogest,False,False,,-1
61,lisdex,lisdexamfetamine,False,False,True,,4
62,l-amphetamine,lisdexamfetamine,False,False,False,,-1
63,lisdexamphetamine,lisdexamfetamine,lisdexamfetamine,True,False,,-1
64,amphetamax,lisdexamfetamine,False,False,False,,-1
65,elvanse,lisdexamfetamine,False,False,True,,7
66,dexedrine,lisdexamfetamine,dextroamphetamine,False,False,,-1
67,adderall,lisdexamfetamine,amphetamine,False,False,,-1
68,elvanse,lisdexamfetamine,False,False,True,,7
69,dexedrine,lisdexamfetamine,dextroamphetamine,False,False,,-1
70,dextroamphetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
71,adderall,lisdexamfetamine,amphetamine,False,False,,-1
72,concerta,lisdexamfetamine,methylphenidate,False,False,,-1
73,ritalin,lisdexamfetamine,methylphenidate,False,False,,-1
74,strattera,lisdexamfetamine,atomoxetine,False,False,,-1
75,wyvanes,lisdexamfetamine,False,False,False,,-1
76,wyvanse,lisdexamfetamine,False,False,False,,-1
77,elvanse,lisdexamfetamine,False,False,True,,7
78,lisdexamphetamine,lisdexamfetamine,lisdexamfetamine,True,False,,-1
79,lisdexamfetamine,lisdexamfetamine,lisdexamfetamine,True,True,,9
80,elvanse,lisdexamfetamine,False,False,True,,7
81,dexamfetamine,lisdexamfetamine,dextroamphetamine,False,False,,-1
82,dexedrine,lisdexamfetamine,dextroamphetamine,False,False,,-1
83,adderall,lisdexamfetamine,amphetamine,False,False,,-1
