,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,dimethyltryptophan,dimethyltryptamine,False,False,True,,2
1,dmt,dimethyltryptamine,False,False,True,,2
2,"n,n-dimethyltryptamine",dimethyltryptamine,False,False,True,,2
3,dmt,dimethyltryptamine,False,False,True,,2
4,"n,n-dimethyltryptamine",dimethyltryptamine,False,False,True,,2
5,dimethyl-tryptamine,dimethyltryptamine,False,False,True,,1
6,dimethyltryptamine,dimethyltryptamine,dimethyltryptamine,True,True,,1
7,dimethyltryptamine,dimethyltryptamine,dimethyltryptamine,True,True,,1
8,trimethyltryptamine,dimethyltryptamine,False,False,False,,-1
9,dmt,dimethyltryptamine,False,False,True,,2
10,dimethyltryptamine,dimethyltryptamine,dimethyltryptamine,True,True,,1
11,dimethyl-tryptamine,dimethyltryptamine,False,False,True,,1
12,tryptamine,dimethyltryptamine,False,False,False,,-1
13,tryptamine,dimethyltryptamine,False,False,False,,-1
14,tryptamine,dimethyltryptamine,False,False,False,,-1
15,tryptamine,dimethyltryptamine,False,False,False,,-1
16,dimethyl-tryptamine,dimethyltryptamine,False,False,True,,1
17,dimethylpropranolol,dimethyltryptamine,False,False,False,,-1
18,dimethyltetrahydrodesoxyepinephrine,dimethyltryptamine,False,False,False,,-1
19,dimethyltrp,dimethyltryptamine,False,False,False,,-1
20,tryptah-mab-in,dimethyltryptamine,False,False,False,,-1
21,tryptamines,dimethyltryptamine,False,False,True,,10
22,dmt,dimethyltryptamine,False,False,True,,2
23,dmt,dimethyltryptamine,False,False,True,,2
24,tryptamine,dimethyltryptamine,False,False,False,,-1
25,dmt,dimethyltryptamine,False,False,True,,2
26,"n,n-dimethyltryptamine",dimethyltryptamine,False,False,True,,2
27,dmt,dimethyltryptamine,False,False,True,,2
28,dimethyl_tryptamine,dimethyltryptamine,False,False,True,,2
29,dmt,dimethyltryptamine,False,False,True,,2
30,dimethyltryptamine_hydrochloride,dimethyltryptamine,False,True,True,,1
31,dimethyltryptamine_sulfate,dimethyltryptamine,False,True,True,,6
32,serotonin_dimethyl_ester,dimethyltryptamine,False,False,False,,-1
33,tryptamine_dimethyl_ester,dimethyltryptamine,False,False,False,,-1
34,dmt,dimethyltryptamine,False,False,True,,2
35,dmt,dimethyltryptamine,False,False,True,,2
36,tryptamine,dimethyltryptamine,False,False,False,,-1
37,dimethyl-tryptamine,dimethyltryptamine,False,False,True,,1
38,tryptamine,dimethyltryptamine,False,False,False,,-1
39,dmt,dimethyltryptamine,False,False,True,,2
40,dimethyltryptamine,dimethyltryptamine,dimethyltryptamine,True,True,,1
41,dimethyltryptophan,dimethyltryptamine,False,False,True,,2
42,dimethyltryptamine,dimethyltryptamine,dimethyltryptamine,True,True,,1
43,dimethylthymidine,dimethyltryptamine,False,False,False,,-1
44,tryptamine,dimethyltryptamine,False,False,False,,-1
45,serotonin,dimethyltryptamine,serotonin,False,True,,6
46,tryptophan,dimethyltryptamine,d-tryptophan,False,False,,-1
47,dimethyltryptamine_hydrochloride,dimethyltryptamine,False,True,True,,1
48,dimethyltryptamine_sulfate,dimethyltryptamine,False,True,True,,6
49,dimethyltryptamine_phosphate,dimethyltryptamine,False,True,False,,-1
50,dimethyl-tryptamine,dimethyltryptamine,False,False,True,,1
51,dmt,dimethyltryptamine,False,False,True,,2
52,tryptamine,dimethyltryptamine,False,False,False,,-1
53,dmta,dimethyltryptamine,False,False,False,,-1
54,tryptamine,dimethyltryptamine,False,False,False,,-1
55,dmts,dimethyltryptamine,False,False,True, pill,5
56,dmt,dimethyltryptamine,False,False,True,,2
