,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,quaaludes,methaqualone,methaqualone,True,True,,6
1,mandrax,methaqualone,False,False,True,,2
2,phenqualiel,methaqualone,False,False,False,,-1
3,quaaludes,methaqualone,methaqualone,True,True,,6
4,methaqualon,methaqualone,False,False,True,,1
5,methaqualine,methaqualone,False,False,True,,1
6,ludes,methaqualone,methaqualone,False,True,,3
7,mekadon,methaqualone,False,False,False,,-1
8,parest,methaqualone,False,False,False,,-1
9,quaalite,methaqualone,False,False,False,,-1
10,sanofi-aventis,methaqualone,False,False,False,,-1
11,roche,methaqualone,False,False,False,,-1
12,mylan,methaqualone,False,False,False,,-1
13,ludes,methaqualone,methaqualone,False,True,,3
14,soap,methaqualone,False,False,False,,-1
15,quaalude,methaqualone,methaqualone,True,True,,8
16,q.a.,methaqualone,False,False,False,,-1
17,methaqualone,methaqualone,methaqualone,True,True,,1
18,quaalude,methaqualone,methaqualone,True,True,,8
19,leprosy,methaqualone,False,False,False,,-1
20,quaaludes,methaqualone,methaqualone,True,True,,6
21,ludes,methaqualone,methaqualone,False,True,,3
22,mandrake,methaqualone,False,False,False,,-1
23,quaaloode,methaqualone,False,False,False,,-1
24,mq,methaqualone,False,False,False,,-1
25,meth,methaqualone,methamphetamine,False,False,,-1
26,meta,methaqualone,False,False,False,,-1
27,metha,methaqualone,False,False,False,,-1
28,methqua,methaqualone,False,False,False,,-1
29,methqu,methaqualone,False,False,False,,-1
30,mqualone,methaqualone,False,False,False,,-1
31,mequalone,methaqualone,False,False,False,,-1
32,methquolone,methaqualone,False,False,False,,-1
33,methaqualon,methaqualone,False,False,True,,1
34,methaqualin,methaqualone,False,False,False,,-1
35,methaqualine,methaqualone,False,False,True,,1
36,mqls,methaqualone,False,False,False,,-1
37,mertaqualone,methaqualone,False,False,False,,-1
38,methaqulone,methaqualone,False,False,True,,1
39,methyquaalone,methaqualone,False,False,False,,-1
40,quaalude,methaqualone,methaqualone,True,True,,8
41,paresthesia,methaqualone,False,False,False,,-1
