,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,hypnotal,barbital,False,False,False,,-1
1,luminal,barbital,phenobarbital,False,False,,-1
2,nembutal,barbital,pentobarbital,False,False,,-1
3,pentobarbital,barbital,pentobarbital,False,False,,-1
4,seconal,barbital,secobarbital,False,False,,-1
5,thiopental,barbital,thiopental,False,False,,-1
6,barbiturate,barbital,False,False,False,,-1
7,pentobarbital,barbital,pentobarbital,False,False,,-1
8,barbiturate,barbital,False,False,False,,-1
9,barbituric_acid,barbital,False,False,True, drug,7
10,carbitol,barbital,False,False,False,,-1
11,carbitol,barbital,False,False,False,,-1
12,luminol,barbital,False,False,False,,-1
13,cytal,barbital,False,False,False,,-1
14,dital,barbital,False,False,False,,-1
15,etol,barbital,False,False,False,,-1
16,fital,barbital,False,False,False,,-1
17,gital,barbital,False,False,False,,-1
18,hital,barbital,False,False,False,,-1
19,itol,barbital,False,False,False,,-1
20,barbiturate,barbital,False,False,False,,-1
21,barbiturate,barbital,False,False,False,,-1
22,carbitol,barbital,False,False,False,,-1
23,bitol,barbital,False,False,False,,-1
24,luminal,barbital,phenobarbital,False,False,,-1
25,phenobarbital,barbital,phenobarbital,False,False,,-1
26,mephobarbital,barbital,False,False,False,,-1
27,secobarbital,barbital,secobarbital,False,False,,-1
28,butobarbital,barbital,False,False,False,,-1
29,barbiturate,barbital,False,False,False,,-1
30,trional,barbital,False,False,False,,-1
31,donnabarb,barbital,False,False,False,,-1
32,tibarb,barbital,False,False,False,,-1
33,barbituric_acid,barbital,False,False,True, drug,7
34,barbiturate,barbital,False,False,False,,-1
35,barbiturate,barbital,False,False,False,,-1
36,hexobarbital,barbital,hexobarbital,False,False,,-1
37,carbitol,barbital,False,False,False,,-1
38,hexobarbital,barbital,hexobarbital,False,False,,-1
39,hexobarbitol,barbital,False,False,False,,-1
40,pentobarbital,barbital,pentobarbital,False,False,,-1
41,pentobarbitol,barbital,pentobarbital,False,False,,-1
42,phenobarbital,barbital,phenobarbital,False,False,,-1
43,phenobarbitol,barbital,phenobarbital,False,False,,-1
44,carbitol,barbital,False,False,False,,-1
45,bromural,barbital,False,False,False,,-1
46,butylbital,barbital,False,False,False,,-1
47,secobarbital,barbital,secobarbital,False,False,,-1
48,pentobarbital,barbital,pentobarbital,False,False,,-1
49,hypnotal,barbital,False,False,False,,-1
50,hypnotic,barbital,False,False,False,,-1
51,nembutal,barbital,pentobarbital,False,False,,-1
52,pentobarbital,barbital,pentobarbital,False,False,,-1
53,phenobarbital,barbital,phenobarbital,False,False,,-1
54,sleeping_pill,barbital,False,False,False,,-1
55,trional,barbital,False,False,False,,-1
56,carbitol,barbital,False,False,False,,-1
57,carbitol,barbital,False,False,False,,-1
58,bitol,barbital,False,False,False,,-1
59,carbital,barbital,False,False,False,,-1
60,bromural,barbital,False,False,False,,-1
61,butylbital,barbital,False,False,False,,-1
62,fenetal,barbital,False,False,False,,-1
63,hexylresorcinol,barbital,hexylresorcinol,False,False,,-1
64,methohexital,barbital,methohexital,False,False,,-1
65,phenobarbital,barbital,phenobarbital,False,False,,-1
66,barbiturate,barbital,False,False,False,,-1
67,secobarbital,barbital,secobarbital,False,False,,-1
68,phenobarbital,barbital,phenobarbital,False,False,,-1
69,coronate,barbital,False,False,False,,-1
70,dedecorate,barbital,False,False,False,,-1
71,decaffeinate,barbital,False,False,False,,-1
72,decarboxylate,barbital,False,False,False,,-1
73,decarburize,barbital,False,False,False,,-1
74,dehydrogenate,barbital,False,False,False,,-1
75,desulfurize,barbital,False,False,False,,-1
76,oxidize,barbital,False,False,False,,-1
77,barbiturate,barbital,False,False,False,,-1
78,carbital,barbital,False,False,False,,-1
79,barbituric_acid,barbital,False,False,True, drug,7
80,carbromal,barbital,False,False,False,,-1
81,carbitol,barbital,False,False,False,,-1
82,hexobarbital,barbital,hexobarbital,False,False,,-1
83,luminal,barbital,phenobarbital,False,False,,-1
84,metharbital,barbital,False,False,False,,-1
85,phenobarbital,barbital,phenobarbital,False,False,,-1
86,secobarbital,barbital,secobarbital,False,False,,-1
87,thiopental,barbital,thiopental,False,False,,-1
88,tuinal,barbital,False,False,False,,-1
89,phenobarbitol,barbital,phenobarbital,False,False,,-1
90,barbiturate,barbital,False,False,False,,-1
91,pentobarbital,barbital,pentobarbital,False,False,,-1
92,secobarbital,barbital,secobarbital,False,False,,-1
93,carbitol,barbital,False,False,False,,-1
94,hypnotal,barbital,False,False,False,,-1
95,luminal,barbital,phenobarbital,False,False,,-1
96,mephobarbital,barbital,False,False,False,,-1
97,nembutal,barbital,pentobarbital,False,False,,-1
98,pentobarbital,barbital,pentobarbital,False,False,,-1
99,phenobarbital,barbital,phenobarbital,False,False,,-1
100,phetharbital,barbital,False,False,False,,-1
101,sleepytime,barbital,False,False,False,,-1
102,hexobarbitol,barbital,False,False,False,,-1
103,luminal,barbital,phenobarbital,False,False,,-1
104,mephobarbital,barbital,False,False,False,,-1
105,pentobarbital,barbital,pentobarbital,False,False,,-1
106,phenobarbital,barbital,phenobarbital,False,False,,-1
107,merbarbital,barbital,False,False,False,,-1
108,neobarbital,barbital,False,False,False,,-1
109,phenobarbital,barbital,phenobarbital,False,False,,-1
110,dital,barbital,False,False,False,,-1
111,hopital,barbital,False,False,False,,-1
112,isonital,barbital,False,False,False,,-1
113,lital,barbital,False,False,False,,-1
114,nitrahyl,barbital,False,False,False,,-1
115,norethindrene,barbital,False,False,False,,-1
116,secobarbital,barbital,secobarbital,False,False,,-1
117,luminal,barbital,phenobarbital,False,False,,-1
118,sedative,barbital,False,False,False,,-1
119,barbiturate,barbital,False,False,False,,-1
120,hexobarbital,barbital,hexobarbital,False,False,,-1
121,pentobarbital,barbital,pentobarbital,False,False,,-1
