,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,-l-phenethylamphetamine,fenethylline,False,False,False,,-1
1,2-[2-methylphenyl)-2-phenylethyl]amine,fenethylline,False,False,False,,-1
2,fenethylline_hydrochloride,fenethylline,False,True,True,,1
3,fareston,fenethylline,toremifene,False,False,,-1
4,fenetyline,fenethylline,False,False,True,,1
5,fenetyllin,fenethylline,False,False,True,,1
6,fenethyline,fenethylline,False,False,True,,1
7,fenethylene,fenethylline,False,False,True,,1
8,fenoprofen,fenethylline,fenoprofen,False,False,,-1
9,fenoxaprofen,fenethylline,False,False,False,,-1
10,flurbiprofen,fenethylline,flurbiprofen,False,False,,-1
11,ibuprofen,fenethylline,ibuprofen,False,False,,-1
12,fenethylate,fenethylline,False,False,False,,-1
13,fenethylene,fenethylline,False,False,True,,1
14,fenethylone,fenethylline,False,False,False,,-1
15,fenethylamine,fenethylline,False,False,False,,-1
16,amineptine,fenethylline,amineptine,False,False,,-1
17,systematic_name:_2-[(methylamino)ethyl]phenethylamine,fenethylline,False,False,False,,-1
18,fenetylamine,fenethylline,False,False,False,,-1
19,amfetamine,fenethylline,amphetamine,False,False,,-1
20,ethylphenidate,fenethylline,methylphenidate,False,False,,-1
21,cabtogan,fenethylline,False,False,False,,-1
22,ephenidine,fenethylline,False,False,False,,-1
23,diphenidine,fenethylline,False,False,False,,-1
24,methoxybutylamine,fenethylline,False,False,False,,-1
25,para-bromoethoxyamphetamine,fenethylline,False,False,False,,-1
26,para-methoxyamphetamine,fenethylline,False,False,False,,-1
27,4-methylenedioxyphenethylamine,fenethylline,False,False,False,,-1
28,"3,4-methylenedioxyphenethylamine",fenethylline,False,False,False,,-1
29,ethylphenidate,fenethylline,methylphenidate,False,False,,-1
30,fenbutrazate,fenethylline,False,False,False,,-1
31,fencamfamin,fenethylline,False,False,True,,7
32,fenozolone,fenethylline,False,False,False,,-1
33,oxethazine,fenethylline,False,False,False,,-1
34,fententrile,fenethylline,False,False,False,,-1
35,pententrile,fenethylline,False,False,False,,-1
36,fenetylin,fenethylline,False,False,True,,1
37,pentylenetetrazol,fenethylline,False,False,False,,-1
38,pentyltetrazol,fenethylline,False,False,False,,-1
39,phenyltetrazol,fenethylline,False,False,False,,-1
40,dy_nortylin,fenethylline,False,False,False,,-1
41,etafen,fenethylline,False,False,False,,-1
42,eutylin,fenethylline,False,False,False,,-1
43,fendylline,fenethylline,False,False,False,,-1
44,fenetyllin,fenethylline,False,False,True,,1
45,fentylline,fenethylline,False,False,False,,-1
46,nefopam,fenethylline,nefopam,False,False,,-1
47,fenetylline,fenethylline,fenethylline,True,True,,1
48,fenetilline,fenethylline,False,False,True,,1
49,fendylline,fenethylline,False,False,False,,-1
50,fenethocarb,fenethylline,False,False,False,,-1
51,fenethylline,fenethylline,fenethylline,True,True,,3
52,diethylpropion,fenethylline,diethylpropion,False,False,,-1
53,ephedrine,fenethylline,ephedrine,False,False,,-1
54,pseudoephedrine,fenethylline,pseudoephedrine,False,False,,-1
55,phenylethylamine,fenethylline,phenethylamine,False,False,,-1
56,norpseudoephedrine,fenethylline,cathine,False,False,,-1
57,cathinone,fenethylline,cathinone,False,False,,-1
58,methcathinone,fenethylline,methamphetamine,False,False,,-1
59,fenetylline,fenethylline,fenethylline,True,True,,1
60,fentanol,fenethylline,fentanyl,False,False,,-1
61,fentanil,fenethylline,fentanyl,False,False,,-1
62,fentany,fenethylline,fentanyl,False,False,,-1
63,fenetylline,fenethylline,fenethylline,True,True,,1
64,uneptyl,fenethylline,False,False,False,,-1
65,phenyltoline,fenethylline,False,False,False,,-1
66,amfetaminyl,fenethylline,False,False,False,,-1
67,ethylamphetamine,fenethylline,methamphetamine,False,False,,-1
68,fnthal,fenethylline,False,False,False,,-1
69,fenyl-o-thylamine,fenethylline,False,False,False,,-1
