,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,fluent,alprazolam,False,False,False,,-1
1,seren,alprazolam,False,False,False,,-1
2,talovir,alprazolam,False,False,False,,-1
3,xanax,alprazolam,alprazolam,True,True,,3
4,a-prazolam,alprazolam,False,False,True,,1
5,a-pra-zolam,alprazolam,False,False,True,,2
6,alprazoram,alprazolam,False,False,True,,2
7,alprazolanum,alprazolam,False,False,False,,-1
8,apronax,alprazolam,False,False,False,,-1
9,ativan,alprazolam,lorazepam,False,False,,-1
10,benzodiazepine,alprazolam,benzodiazepine,False,False,,-1
11,blows,alprazolam,False,False,False,,-1
12,calmpose,alprazolam,False,False,False,,-1
13,ciris,alprazolam,False,False,False,,-1
14,corta,alprazolam,False,False,False,,-1
15,dopamine,alprazolam,dopamine,False,False,,-1
16,etizolam,alprazolam,etizolam,False,True,,4
17,floral,alprazolam,False,False,False,,-1
18,gamma,alprazolam,False,False,False,,-1
19,hitachis,alprazolam,False,False,False,,-1
20,klonopin,alprazolam,clonazepam,False,False,,-1
21,librium,alprazolam,chlordiazepoxide,False,True,,7
22,lorazepam,alprazolam,lorazepam,False,False,,-1
23,medazepam,alprazolam,temazepam,False,False,,-1
24,niravam,alprazolam,alprazolam,True,True,,1
25,omeprazole,alprazolam,omeprazole,False,False,,-1
26,orazolam,alprazolam,False,False,False,,-1
27,oxazepam,alprazolam,oxazepam,False,False,,-1
28,pax,alprazolam,False,False,False,,-1
29,phenazepam,alprazolam,False,False,False,,-1
30,quazepam,alprazolam,quazepam,False,True,,5
31,serax,alprazolam,oxazepam,False,False,,-1
32,temazepam,alprazolam,temazepam,False,False,,-1
33,tafil,alprazolam,alprazolam,True,True,,1
34,triazolam,alprazolam,triazolam,False,False,,-1
35,xanor,alprazolam,alprazolam,True,True,,3
36,zepax,alprazolam,False,False,False,,-1
37,alprazalam,alprazolam,alprazolam,True,True,,1
38,xanax,alprazolam,alprazolam,True,True,,3
39,ativan,alprazolam,lorazepam,False,False,,-1
40,klonopin,alprazolam,clonazepam,False,False,,-1
41,valium,alprazolam,diazepam,False,False,,-1
42,lorazepam,alprazolam,lorazepam,False,False,,-1
43,clonazepam,alprazolam,clonazepam,False,False,,-1
44,diazepam,alprazolam,diazepam,False,False,,-1
45,alpraz,alprazolam,False,False,True,,2
46,lazolam,alprazolam,False,False,False,,-1
47,alprazosin,alprazolam,False,False,False,,-1
48,alprazoban,alprazolam,False,False,False,,-1
49,alprozalam,alprazolam,alprazolam,True,True,,2
50,alpronazolam,alprazolam,False,False,False,,-1
51,alfazolam,alprazolam,False,False,True,,2
52,zanex,alprazolam,False,False,False,,-1
53,aaliyah,alprazolam,False,False,False,,-1
54,alprazalam,alprazolam,alprazolam,True,True,,1
