,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth,manual label
0,zanamivir,alprazolam,zanamivir,False,False,,-1,False
1,apo-alpraz,alprazolam,False,False,True,,1,True
2,alprazol,alprazolam,False,False,True,,1,True
3,xanax,alprazolam,alprazolam,True,True,,1,True
4,alfuzosin,alprazolam,alfuzosin,False,False,,-1,False
5,xanax,alprazolam,alprazolam,True,True,,1,True
6,klonopin,alprazolam,clonazepam,False,True,,14,False
7,lorazepam,alprazolam,lorazepam,False,False,,-1,False
8,ativan,alprazolam,lorazepam,False,False,,-1,False
9,quazepam,alprazolam,quazepam,False,True, slang,4,False
10,loprazolam,alprazolam,loprazolam,False,True, slang,3,False
11,benzos,alprazolam,False,False,True, pill,3,?
12,alprazalam,alprazolam,alprazolam,True,True,,1,True
13,xanax,alprazolam,alprazolam,True,True,,1,True
14,zoloft,alprazolam,sertraline,False,False,,-1,False
15,prozac,alprazolam,fluoxetine,False,False,,-1,False
16,cymbalta,alprazolam,duloxetine,False,False,,-1,False
17,effexor,alprazolam,venlafaxine,False,False,,-1,False
18,lexapro,alprazolam,escitalopram,False,False,,-1,False
19,paxil,alprazolam,paroxetine,False,False,,-1,False
20,sertraline,alprazolam,sertraline,False,True, pill,27,False
21,zopax,alprazolam,False,False,True,,16,True
22,xanax,alprazolam,alprazolam,True,True,,1,True
23,ativan,alprazolam,lorazepam,False,False,,-1,False
24,xanax,alprazolam,alprazolam,True,True,,1,True
25,alprazorem,alprazolam,False,False,True,,1,False
26,alprazosin,alprazolam,False,False,True, drug,25,False
27,alprazotan,alprazolam,False,False,False,,-1,False
28,alprazoxan,alprazolam,False,False,False,,-1,False
29,alprazolim,alprazolam,False,False,True,,2,True
30,halazepam,alprazolam,halazepam,False,True, pill,9,False
31,zopidem,alprazolam,zolpidem,False,True, slang,24,False
32,xanax,alprazolam,alprazolam,True,True,,1,True
33,alprazolam,alprazolam,alprazolam,True,True,,1,True
34,a-prax,alprazolam,False,False,True, slang,17,False
35,alazopram,alprazolam,False,False,True,,1,True
36,alprolol,alprazolam,False,False,True,,3,True
37,alpramol,alprazolam,False,False,False,,-1,False
38,zanax,alprazolam,alprazolam,True,True,,8,True
39,alprazidan,alprazolam,False,False,False,,-1,False
40,zanex,alprazolam,False,False,True,,9,True
41,xanazolam,alprazolam,False,False,False,,-1,False
42,zanax,alprazolam,alprazolam,True,True,,8,True
43,a-pvp,alprazolam,False,False,False,,-1,False
44,legalon,alprazolam,silibinin_a,False,False,,-1,False
45,tavor,alprazolam,False,False,False,,-1,False
46,ativan,alprazolam,lorazepam,False,False,,-1,False
47,klonopin,alprazolam,clonazepam,False,True,,14,False
48,librium,alprazolam,chlordiazepoxide,False,True,,23,False
49,valium,alprazolam,diazepam,False,True,,9,False
50,xanax,alprazolam,alprazolam,True,True,,1,True
51,apo-alpraz,alprazolam,False,False,True,,1,True
52,z-bars,alprazolam,False,False,True,,8,True
53,zanex,alprazolam,False,False,True,,9,True
54,ativan,alprazolam,lorazepam,False,False,,-1,False
55,zanax,alprazolam,alprazolam,True,True,,8,True
56,XANAX,alprazolam,alprazolam,True,True,,1,True
57,alprazolylm,alprazolam,False,False,False,,-1,False
58,alprazoma,alprazolam,False,False,True,,3,False
59,alprazonam,alprazolam,False,False,True, pill,2,True
60,alprazopam,alprazolam,alprazolam,True,True,,1,True
61,alprozalam,alprazolam,alprazolam,True,True,,1,True
62,alpzolam,alprazolam,False,False,True,,1,True
63,alpraz,alprazolam,False,False,True,,1,True
64,a-Pyrrolidinopentiophenone,alprazolam,False,False,False,,-1,False
65,xanax,alprazolam,alprazolam,True,True,,1,True
66,ativan,alprazolam,lorazepam,False,False,,-1,False
67,xanax,alprazolam,alprazolam,True,True,,1,True
68,zanex,alprazolam,False,False,True,,9,True
69,alprazolsm,alprazolam,False,False,True,,2,False
70,azepam,alprazolam,oxazepam,False,True, drug,16,False
71,Niravam,alprazolam,alprazolam,True,True,,2,True
72,Tranxene,alprazolam,clorazepate,False,True, pill,28,False
73,Valium,alprazolam,diazepam,False,True,,9,False
74,Ativan,alprazolam,lorazepam,False,False,,-1,False
75,Klonopin,alprazolam,clonazepam,False,True,,12,False
76,Restoril,alprazolam,temazepam,False,True, pill,15,False
77,Serax,alprazolam,oxazepam,False,False,,-1,False
78,alloprazolam,alprazolam,False,False,False,,-1,False
79,zoloft,alprazolam,sertraline,False,False,,-1,False
80,alprazotam,alprazolam,False,False,True,,1,True
81,alpresholam,alprazolam,False,False,False,,-1,False
82,xanor,alprazolam,alprazolam,True,True,,2,True
83,alpraz,alprazolam,False,False,True,,1,True
84,azor,alprazolam,olmesartan,False,False,,-1,False
85,zolam,alprazolam,False,False,True,,2,True
86,ativan,alprazolam,lorazepam,False,False,,-1,False
87,alprolax,alprazolam,False,False,True,,7,True
88,alpram,alprazolam,False,False,True,,2,True
89,alprax,alprazolam,alprazolam,False,True,,3,True
90,alprasolam,alprazolam,False,False,True,,5,True
91,xanax,alprazolam,alprazolam,True,True,,1,True
92,xanax,alprazolam,alprazolam,True,True,,1,True
93,zaxolam,alprazolam,False,False,False,,-1,False
94,zolam,alprazolam,False,False,True,,2,True
95,zoloft,alprazolam,sertraline,False,False,,-1,False
