,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,p0p,alprazolam,False,False,False,False
1,bars,alprazolam,False,False,False,True
2,downers,alprazolam,False,False,False,False
3,sleepers,alprazolam,False,False,False,False
4,tranks,alprazolam,False,False,False,False
5,xanax,alprazolam,alprazolam,True,True,True
6,alprazolamb,alprazolam,False,False,True,True
7,alprazolams,alprazolam,alprazolam,True,True,True
8,xanax,alprazolam,alprazolam,True,True,True
9,ativan,alprazolam,lorazepam,False,False,False
10,valium,alprazolam,diazepam,False,False,False
11,zolpidem,alprazolam,zolpidem,False,False,False
12,anax,alprazolam,False,False,False,True
13,alpraz,alprazolam,False,False,True,True
14,alprazolan,alprazolam,alprazolam,True,True,True
15,alprazolamum,alprazolam,False,False,True,True
16,xanax,alprazolam,alprazolam,True,True,True
17,ativan,alprazolam,lorazepam,False,False,False
18,valium,alprazolam,diazepam,False,False,False
19,lorazepam,alprazolam,lorazepam,False,False,False
20,clonazepam,alprazolam,clonazepam,False,False,False
21,diazepam,alprazolam,diazepam,False,False,False
22,alpraz,alprazolam,False,False,True,True
23,azor,alprazolam,olmesartan,False,False,False
24,calmpose,alprazolam,False,False,False,False
25,dalcipran,alprazolam,False,False,False,False
26,iprax,alprazolam,False,False,False,False
27,neupax,alprazolam,False,False,True,True
28,pranax,alprazolam,False,False,True,True
29,alp,alprazolam,False,False,False,True
30,alpraz,alprazolam,False,False,True,True
31,alprazol,alprazolam,False,False,True,True
32,alprazola,alprazolam,alprazolam,True,True,True
33,zanax,alprazolam,alprazolam,True,True,True
34,xanax,alprazolam,alprazolam,True,True,True
35,ativan,alprazolam,lorazepam,False,False,False
36,aplrazolam,alprazolam,alprazolam,True,False,True
37,xanax,alprazolam,alprazolam,True,True,True
38,aprozolam,alprazolam,alprazolam,True,True,True
39,alpraz,alprazolam,False,False,True,True
40,prazolam,alprazolam,alprazolam,True,True,True
41,zanex,alprazolam,False,False,False,True
42,xanor,alprazolam,alprazolam,True,True,True
43,iproxin,alprazolam,False,False,False,False
44,ativan,alprazolam,lorazepam,False,False,False
45,xanax,alprazolam,alprazolam,True,True,True
46,zanapam,alprazolam,False,False,True,True
47,zolam,alprazolam,False,False,True,True
48,alyprazolam,alprazolam,False,False,Error,Error
49,amlazepam,alprazolam,False,False,Error,Error
50,anaxazolam,alprazolam,False,False,Error,False
51,aprazolam,alprazolam,alprazolam,True,True,True
52,azepam,alprazolam,oxazepam,False,False,False
53,eloprazolam,alprazolam,False,False,False,False
54,halazepam,alprazolam,halazepam,False,False,True
55,lorazepam,alprazolam,lorazepam,False,False,False
56,oxazepam,alprazolam,oxazepam,False,False,False
57,prazepam,alprazolam,prazepam,False,False,True
58,temazepam,alprazolam,temazepam,False,False,False
59,zolpidem,alprazolam,zolpidem,False,False,False
60,xanax,alprazolam,alprazolam,True,True,True
61,alprazolams,alprazolam,alprazolam,True,True,True
62,zanapam,alprazolam,False,False,True,True
63,ativan,alprazolam,lorazepam,False,False,False
64,alprazolan,alprazolam,alprazolam,True,True,True
65,alprazolom,alprazolam,alprazolam,True,True,True
66,alprazolum,alprazolam,False,False,True,True
67,xanax,alprazolam,alprazolam,True,True,True
68,alprazalam,alprazolam,alprazolam,True,True,True
69,alprazolan,alprazolam,alprazolam,True,True,True
70,alprazolane,alprazolam,False,False,True,True
71,alprazolans,alprazolam,False,False,True,True
72,alprazolapam,alprazolam,False,False,Error,Error
73,alprazolas,alprazolam,False,False,True,True
74,alprazolazepam,alprazolam,False,False,Error,Error
75,zanex,alprazolam,False,False,False,True
76,ativan,alprazolam,lorazepam,False,False,False
77,alpraz,alprazolam,False,False,True,True
78,alp,alprazolam,False,False,False,True
79,azolam,alprazolam,acetazolamide,False,True,True
80,zolam,alprazolam,False,False,True,True
81,zoloft,alprazolam,sertraline,False,False,False
82,ativan,alprazolam,lorazepam,False,False,False
83,zanex,alprazolam,False,False,False,True
84,zolam,alprazolam,False,False,True,True
85,alpraz,alprazolam,False,False,True,True
86,alprazol,alprazolam,False,False,True,True
87,zanex,alprazolam,False,False,False,True
88,tranq,alprazolam,False,False,False,True
89,xanor,alprazolam,alprazolam,True,True,True
90,alp,alprazolam,False,False,False,True
91,zanapam,alprazolam,False,False,True,True
92,alzolam,alprazolam,False,False,True,True
93,neupax,alprazolam,False,False,True,True
94,xanor,alprazolam,alprazolam,True,True,True
95,alpraz,alprazolam,False,False,True,True
96,zanex,alprazolam,False,False,False,True
97,zolam,alprazolam,False,False,True,True
98,alzolam,alprazolam,False,False,True,True
99,alpraz,alprazolam,False,False,True,True
100,xanax,alprazolam,alprazolam,True,True,True
101,zoloft,alprazolam,sertraline,False,False,False
102,prozac,alprazolam,fluoxetine,False,False,False
103,alprazam,alprazolam,False,False,True,True
104,alprazolamum,alprazolam,False,False,True,True
105,zalpam,alprazolam,False,False,False,False
106,zolpidem,alprazolam,zolpidem,False,False,False
107,zolam,alprazolam,False,False,True,True
108,alpam,alprazolam,False,False,False,False
109,alpraz,alprazolam,False,False,True,True
110,xanax,alprazolam,alprazolam,True,True,True
111,zolpidem,alprazolam,zolpidem,False,False,False
112,zaleplon,alprazolam,zaleplon,False,False,False
113,eszopiclone,alprazolam,eszopiclone,False,False,False
114,quazepam,alprazolam,quazepam,False,False,False
115,lorazepam,alprazolam,lorazepam,False,False,False
116,temazepam,alprazolam,temazepam,False,False,False
117,flurazepam,alprazolam,flurazepam,False,False,False
118,xanax,alprazolam,alprazolam,True,True,True
119,alfrazolam,alprazolam,False,False,True,True
120,alprazensol,alprazolam,False,False,Error,Error
121,prazolan,alprazolam,False,False,False,True
122,ativan,alprazolam,lorazepam,False,False,False
123,ativan,alprazolam,lorazepam,False,False,False
124,zanex,alprazolam,False,False,False,True
125,alprozalam,alprazolam,alprazolam,True,True,True
126,alpraz,alprazolam,False,False,True,True
