,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,maxitram,pentazocine,False,False,False,,-1
1,tramal,pentazocine,tramadol,False,False,,-1
2,ultram,pentazocine,tramadol,False,False,,-1
3,endocodone,pentazocine,False,False,False,,-1
4,vicodin,pentazocine,hydrocodone,False,False,,-1
5,percocet,pentazocine,oxycodone,False,False,,-1
6,fentanyl,pentazocine,fentanyl,False,False,,-1
7,talwin,pentazocine,pentazocine,True,True,,1
8,thermalgin,pentazocine,False,False,False,,-1
9,talwin,pentazocine,pentazocine,True,True,,1
10,talwin_nx,pentazocine,False,True,True,,2
11,phentanyl,pentazocine,fentanyl,False,False,,-1
12,dolophine,pentazocine,methadone,False,False,,-1
13,methadone,pentazocine,methadone,False,False,,-1
14,buprenorphine,pentazocine,buprenorphine,False,False,,-1
15,fortral,pentazocine,False,False,True,,7
16,analgesic,pentazocine,False,False,False,,-1
17,nalbuphine,pentazocine,nalbuphine,False,False,,-1
18,fortral,pentazocine,False,False,True,,7
19,ketamine,pentazocine,ketamine,False,False,,-1
20,xyrem,pentazocine,sodium_oxybate,False,False,,-1
21,esketamine,pentazocine,esketamine,False,False,,-1
22,anesket,pentazocine,ketamine,False,False,,-1
23,axocet,pentazocine,False,False,False,,-1
24,talwin,pentazocine,pentazocine,True,True,,1
25,tranqipam,pentazocine,False,False,False,,-1
26,relativon,pentazocine,False,False,False,,-1
27,pentacel,pentazocine,False,False,False,,-1
28,pentazol,pentazocine,False,False,False,,-1
29,pentaflurazol,pentazocine,False,False,False,,-1
30,transex,pentazocine,False,False,False,,-1
31,relatabs,pentazocine,False,False,False,,-1
32,pentacene,pentazocine,False,False,True, pill,6
33,pentazosyn,pentazocine,False,False,True,,3
34,pentacaps,pentazocine,False,False,False,,-1
35,pentagesic,pentazocine,False,False,True, drug,8
36,pentac,pentazocine,False,False,True, pill,8
37,pentaz,pentazocine,False,False,True, pill,1
38,phentazoc,pentazocine,False,False,False,,-1
39,pain-rel,pentazocine,False,False,False,,-1
40,pzc,pentazocine,perphenazine,False,False,,-1
41,penta,pentazocine,pentaerythritol_tetranitrate,False,True, drug,4
42,talacen,pentazocine,False,False,True,,1
43,tazac,pentazocine,False,False,False,,-1
44,taracin,pentazocine,False,False,False,,-1
45,taradyne,pentazocine,False,False,False,,-1
46,taralgon,pentazocine,False,False,False,,-1
47,tarazeac,pentazocine,False,False,False,,-1
48,taricaine,pentazocine,False,False,False,,-1
49,tarigen,pentazocine,False,False,False,,-1
50,tarite,pentazocine,False,False,False,,-1
51,tarolac,pentazocine,False,False,False,,-1
52,tasocaine,pentazocine,False,False,False,,-1
53,tazan,pentazocine,False,False,False,,-1
54,talwin,pentazocine,pentazocine,True,True,,1
55,talwin_nx,pentazocine,False,True,True,,2
56,talwin,pentazocine,pentazocine,True,True,,1
57,ab-fubinaca,pentazocine,False,False,False,,-1
58,fub-akb48,pentazocine,False,False,False,,-1
59,fub-amb,pentazocine,False,False,False,,-1
60,mab-chminaca,pentazocine,False,False,False,,-1
61,mdmb-chmica,pentazocine,False,False,False,,-1
62,akb-48_(oil),pentazocine,False,False,False,,-1
63,analgesic,pentazocine,False,False,False,,-1
64,pntz,pentazocine,False,False,False,,-1
65,talwin,pentazocine,pentazocine,True,True,,1
66,talwin_nx,pentazocine,False,True,True,,2
67,statocin,pentazocine,False,False,False,,-1
68,painkiller,pentazocine,hydrocodone,False,False,,-1
69,win_35428,pentazocine,False,False,False,,-1
70,talwin,pentazocine,pentazocine,True,True,,1
71,talyup,pentazocine,False,False,False,,-1
72,tomile,pentazocine,False,False,False,,-1
73,tyzine,pentazocine,False,False,False,,-1
74,analgesol,pentazocine,False,False,False,,-1
75,ultracet,pentazocine,tramadol,False,False,,-1
76,tramadol,pentazocine,tramadol,False,False,,-1
77,percocet,pentazocine,oxycodone,False,False,,-1
78,vicodin,pentazocine,hydrocodone,False,False,,-1
79,morphine,pentazocine,morphine,False,False,,-1
80,oxycodone,pentazocine,oxycodone,False,False,,-1
81,taraxein,pentazocine,False,False,False,,-1
82,thiopental,pentazocine,thiopental,False,False,,-1
83,trocade,pentazocine,False,False,False,,-1
84,ability,pentazocine,False,False,False,,-1
85,trength,pentazocine,False,False,False,,-1
86,pain-ease,pentazocine,False,False,False,,-1
87,panacete,pentazocine,False,False,False,,-1
88,phendazi,pentazocine,False,False,False,,-1
89,targin,pentazocine,oxycodone,False,False,,-1
90,toradol,pentazocine,ketorolac,False,False,,-1
91,original,pentazocine,False,False,False,,-1
92,talwin,pentazocine,pentazocine,True,True,,1
93,talwin_nx,pentazocine,False,True,True,,2
94,talwin_nx,pentazocine,False,True,True,,2
95,talwin_pentazocine,pentazocine,False,True,True,,1
96,casacaine,pentazocine,False,False,False,,-1
97,gigantism,pentazocine,False,False,False,,-1
98,pentaprin,pentazocine,False,False,False,,-1
99,pentacontin,pentazocine,False,False,False,,-1
100,sunguan,pentazocine,False,False,False,,-1
101,dentazocin,pentazocine,False,False,False,,-1
102,painazol,pentazocine,False,False,False,,-1
103,fortral,pentazocine,False,False,True,,7
104,novonor,pentazocine,False,False,False,,-1
105,phentin,pentazocine,False,False,False,,-1
106,pentacen,pentazocine,False,False,True, pill,4
107,pentafen,pentazocine,False,False,True,,3
108,pentasin,pentazocine,False,False,True, pill,8
109,pentazemin,pentazocine,False,False,False,,-1
110,phenazocine,pentazocine,False,False,True,,5
111,pethidine,pentazocine,pethidine,False,False,,-1
112,talwin,pentazocine,pentazocine,True,True,,1
113,others,pentazocine,False,False,False,,-1
114,titradose,pentazocine,False,False,False,,-1
115,bunavail,pentazocine,buprenorphine,False,False,,-1
116,bydureon,pentazocine,exenatide,False,False,,-1
117,carnexiv,pentazocine,False,False,False,,-1
118,copaxone,pentazocine,glatiramer,False,False,,-1
119,coreg,pentazocine,carvedilol,False,False,,-1
120,cutivate,pentazocine,fluticasone_propionate,False,False,,-1
121,talwin,pentazocine,pentazocine,True,True,,1
122,paregoric,pentazocine,morphine,False,False,,-1
123,5zoc,pentazocine,False,False,False,,-1
124,talwin,pentazocine,pentazocine,True,True,,1
125,phenazocine,pentazocine,False,False,True,,5
126,redizol,pentazocine,False,False,False,,-1
127,tazigon,pentazocine,False,False,False,,-1
128,trezix,pentazocine,dihydrocodeine,False,False,,-1
129,ultracet,pentazocine,tramadol,False,False,,-1
130,pentazocan,pentazocine,False,False,False,,-1
131,pentasol,pentazocine,False,False,False,,-1
132,fortral,pentazocine,False,False,True,,7
133,talwin,pentazocine,pentazocine,True,True,,1
134,lemergesic,pentazocine,False,False,False,,-1
135,phenazocine,pentazocine,False,False,True,,5
136,antalar,pentazocine,False,False,False,,-1
137,relatabs,pentazocine,False,False,False,,-1
138,painazol,pentazocine,False,False,False,,-1
139,strawnol,pentazocine,False,False,False,,-1
140,talacen,pentazocine,False,False,True,,1
141,talwin_nx,pentazocine,False,True,True,,2
142,talwin_pv,pentazocine,False,True,True,,1
143,pentac,pentazocine,False,False,True, pill,8
144,talwincompound,pentazocine,False,False,True,,5
145,alwin_nx,pentazocine,False,False,False,,-1
146,shot,pentazocine,False,False,False,,-1
147,ampal,pentazocine,False,False,False,,-1
148,kancha,pentazocine,False,False,False,,-1
149,cantazo,pentazocine,False,False,False,,-1
150,cuchicallo,pentazocine,False,False,False,,-1
151,huacapu,pentazocine,False,False,False,,-1
152,incaicllo,pentazocine,False,False,False,,-1
153,inti,pentazocine,False,False,False,,-1
154,kallawaya,pentazocine,False,False,False,,-1
155,kuntur,pentazocine,False,False,False,,-1
156,machacuay,pentazocine,False,False,False,,-1
157,quena,pentazocine,False,False,False,,-1
158,sanango,pentazocine,False,False,False,,-1
159,seiwi,pentazocine,False,False,False,,-1
160,sipsen,pentazocine,False,False,False,,-1
161,ungui,pentazocine,False,False,False,,-1
162,upasika,pentazocine,False,False,False,,-1
163,yana,pentazocine,False,False,False,,-1
164,yapana,pentazocine,False,False,False,,-1
165,zamalk,pentazocine,False,False,False,,-1
166,zapizol,pentazocine,False,False,False,,-1
167,talwin,pentazocine,pentazocine,True,True,,1
168,win_50,pentazocine,False,False,False,,-1
169,fortral,pentazocine,False,False,True,,7
170,tranquinal,pentazocine,False,False,False,,-1
171,pentacol,pentazocine,False,False,False,,-1
172,pentazosan,pentazocine,False,False,False,,-1
173,analgesin,pentazocine,False,False,False,,-1
174,myopain,pentazocine,False,False,False,,-1
175,naropin,pentazocine,False,False,False,,-1
176,palipred,pentazocine,False,False,False,,-1
177,pentacaine,pentazocine,False,False,True, pill,3
178,talwin_nx,pentazocine,False,True,True,,2
179,talwin_px,pentazocine,False,True,True,,1
180,talwin,pentazocine,pentazocine,True,True,,1
181,phenazocine,pentazocine,False,False,True,,5
182,pentacel,pentazocine,False,False,False,,-1
183,penta-_injection,pentazocine,False,False,True,,1
184,redund,pentazocine,False,False,False,,-1
185,myocalm,pentazocine,piracetam,False,False,,-1
186,quinine,pentazocine,quinine,False,False,,-1
187,10/90,pentazocine,False,False,False,,-1
188,phezil,pentazocine,False,False,False,,-1
189,kitazen,pentazocine,False,False,False,,-1
190,titralac,pentazocine,False,False,False,,-1
191,nalbuphine,pentazocine,nalbuphine,False,False,,-1
192,nalmefene,pentazocine,nalmefene,False,False,,-1
193,talwin,pentazocine,pentazocine,True,True,,1
194,talwin_nx,pentazocine,False,True,True,,2
195,talwin_px,pentazocine,False,True,True,,1
196,talwin_i,pentazocine,False,True,True,,1
197,talwin_ii,pentazocine,False,True,True,,1
198,talwin_rp,pentazocine,False,True,True,,8
199,talwin_r,pentazocine,False,True,True,,2
200,talwin_r-p,pentazocine,False,True,True,,8
201,talwin_x,pentazocine,False,True,True,,1
202,talwin_xt,pentazocine,False,True,True, pill,6
203,talwin_xl,pentazocine,False,True,True,,1
204,talwin_xr,pentazocine,False,True,True, drug,6
205,talwin_xe,pentazocine,False,True,True,,10
206,talwin_xs,pentazocine,False,True,True,,2
207,talwin_xn,pentazocine,False,True,True,,2
208,talwin_xc,pentazocine,False,True,True,,2
209,talwin_nxc,pentazocine,False,True,True,,1
210,talwin,pentazocine,pentazocine,True,True,,1
211,talwin_nx,pentazocine,False,True,True,,2
212,pentazoc,pentazocine,False,False,True,,1
213,pentaz,pentazocine,False,False,True, pill,1
214,penta,pentazocine,pentaerythritol_tetranitrate,False,True, drug,4
215,pental,pentazocine,False,False,True,,8
216,penta-zocaine,pentazocine,False,False,True,,2
217,penta-zoate,pentazocine,False,False,False,,-1
218,nalbuphine,pentazocine,nalbuphine,False,False,,-1
