,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,calmidol,nabilone,False,False,False,,-1
1,thalidomide,nabilone,thalidomide,False,False,,-1
2,nabilox,nabilone,False,False,False,,-1
3,nabilox,nabilone,False,False,False,,-1
4,nabilarg,nabilone,False,False,False,,-1
5,nabiloon,nabilone,False,False,False,,-1
6,nabilon,nabilone,False,False,True,,2
7,nabilan,nabilone,False,False,True, pill,6
8,nabil_a,nabilone,False,False,False,,-1
9,pharmaceutria,nabilone,False,False,False,,-1
10,synthetic_cannabinoid,nabilone,False,False,False,,-1
11,nabilon,nabilone,False,False,True,,2
12,nabilos,nabilone,False,False,True, pill,1
13,nabylon,nabilone,False,False,False,,-1
14,nabyllone,nabilone,False,False,False,,-1
15,nebilone,nabilone,False,False,True,,1
16,medrem,nabilone,False,False,False,,-1
17,cedrem,nabilone,False,False,False,,-1
18,nabilon,nabilone,False,False,True,,2
19,nabilne,nabilone,False,False,True,,1
20,nabil,nabilone,False,False,False,,-1
21,naboline,nabilone,False,False,True,,1
22,nabilon,nabilone,False,False,True,,2
23,nabilond,nabilone,False,False,True, pill,4
24,nabilonex,nabilone,False,False,True,,1
25,nabilon,nabilone,False,False,True,,2
26,nabil,nabilone,False,False,False,,-1
27,nabumetone,nabilone,nabumetone,False,True,,5
28,nalbuphine,nabilone,nalbuphine,False,False,,-1
29,nabiximols,nabilone,nabiximols,False,False,,-1
30,naboline,nabilone,False,False,True,,1
31,tabalone,nabilone,False,False,True, pill,8
32,nabilon,nabilone,False,False,True,,2
33,nabilan,nabilone,False,False,True, pill,6
34,nabilane,nabilone,False,False,False,,-1
35,nabumetone,nabilone,nabumetone,False,True,,5
36,nadolol,nabilone,nadolol,False,False,,-1
37,naproxen,nabilone,naproxen,False,False,,-1
38,naprosyn,nabilone,naproxen,False,False,,-1
39,nefazodone,nabilone,nefazodone,False,False,,-1
40,nelfinavir,nabilone,False,False,False,,-1
41,norgestrel,nabilone,levonorgestrel,False,False,,-1
42,nabumetone,nabilone,nabumetone,False,True,,5
43,ametop,nabilone,prilocaine,False,False,,-1
44,lidocaine/prilocaine,nabilone,False,False,False,,-1
45,eutectic_mixture_of_local_anesthetics,nabilone,False,False,False,,-1
46,nabilon,nabilone,False,False,True,,2
47,nabiline,nabilone,False,False,True,,2
48,nabilone,nabilone,nabilone,True,True,,1
49,nabilox,nabilone,False,False,False,,-1
50,nabitan,nabilone,False,False,True, pill,6
51,nabumeton,nabilone,False,False,True, slang,3
52,nabiximols,nabilone,nabiximols,False,False,,-1
53,revantges,nabilone,False,False,False,,-1
54,nabilon,nabilone,False,False,True,,2
55,nabilox,nabilone,False,False,False,,-1
56,nabilon,nabilone,False,False,True,,2
57,nabiloneum,nabilone,False,False,True,,3
58,nabilonic_acid,nabilone,False,False,False,,-1
59,nabilin,nabilone,False,False,True, pill,1
60,nabiline,nabilone,False,False,True,,2
61,nabilirine,nabilone,False,False,False,,-1
62,nabilixabine,nabilone,False,False,False,,-1
63,qubalone,nabilone,False,False,False,,-1
64,phenadoxone,nabilone,False,False,False,,-1
65,quisqualone,nabilone,False,False,False,,-1
66,nabilon,nabilone,False,False,True,,2
67,nabil,nabilone,False,False,False,,-1
