,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,fentanyl_anesthetic,fentanyl,False,True,True,,1
1,substitution_for_fentanyl,fentanyl,False,True,True,,1
2,non-fentanyl_option,fentanyl,False,False,True,,1
3,fentanil,fentanyl,fentanyl,True,True,,1
4,fentynyl,fentanyl,fentanyl,True,True,,1
5,rapid,fentanyl,False,False,False,,-1
6,immedia,fentanyl,False,False,False,,-1
7,quicks,fentanyl,False,False,False,,-1
8,short-acting,fentanyl,False,False,False,,-1
9,ultrashort-acting,fentanyl,False,False,False,,-1
10,fentaplix,fentanyl,False,False,False,,-1
11,fentanoid,fentanyl,False,False,False,,-1
12,fentanyl_oxide,fentanyl,False,True,True,,1
13,fentanal,fentanyl,fentanyl,True,True,,1
14,fentsan,fentanyl,False,False,False,,-1
15,fentrastan,fentanyl,False,False,False,,-1
16,fentanyl_analog,fentanyl,False,True,True,,1
17,fenanyl,fentanyl,fentanyl,True,True,,1
18,fendanil,fentanyl,False,False,False,,-1
19,fenepam,fentanyl,False,False,False,,-1
20,fent_reynard,fentanyl,False,False,True, pill,1
21,fentanylon,fentanyl,False,False,True,,1
22,fentanilic_acid,fentanyl,False,False,True,,1
23,fentanilide,fentanyl,False,False,False,,-1
24,vitrinal,fentanyl,False,False,False,,-1
25,fentacaine,fentanyl,False,False,False,,-1
26,fentanest,fentanyl,False,False,True,,1
27,fentanilate,fentanyl,False,False,False,,-1
28,fentanyl,fentanyl,fentanyl,True,True,,1
29,fentanyl_citrate,fentanyl,fentanyl,True,True,,1
30,fenantyl,fentanyl,fentanyl,True,True,,1
31,fentanest,fentanyl,False,False,True,,1
32,fentora,fentanyl,fentanyl,True,True,,4
33,domperidone,fentanyl,domperidone,False,False,,-1
34,haloperidol,fentanyl,haloperidol,False,False,,-1
35,loxapine,fentanyl,loxapine,False,False,,-1
36,perphenazine,fentanyl,perphenazine,False,False,,-1
37,thorazine,fentanyl,chlorpromazine,False,False,,-1
38,prochlorperazine,fentanyl,prochlorperazine,False,False,,-1
39,promethazine,fentanyl,promethazine,False,False,,-1
40,sublimaze,fentanyl,mercuric_chloride,False,True,,4
41,fentanyl_citrate,fentanyl,fentanyl,True,True,,1
42,actiq,fentanyl,fentanyl,True,True,,1
43,fentora,fentanyl,fentanyl,True,True,,4
44,sufentanil,fentanyl,sufentanil,False,True,,1
45,remifentanil,fentanyl,remifentanil,False,True,,1
46,actiq,fentanyl,fentanyl,True,True,,1
47,sublimaze,fentanyl,mercuric_chloride,False,True,,4
48,fentye,fentanyl,False,False,True,,6
49,fentayl,fentanyl,fentanyl,True,True,,1
50,sublimaze,fentanyl,mercuric_chloride,False,True,,4
51,fentanil,fentanyl,fentanyl,True,True,,1
52,fentanyl,fentanyl,fentanyl,True,True,,1
53,duragesic,fentanyl,fentanyl,True,True,,1
54,sublimaze,fentanyl,mercuric_chloride,False,True,,4
55,sufenta,fentanyl,sufentanil,False,True,,2
56,alphaprodine,fentanyl,False,False,False,,-1
57,bedford,fentanyl,False,False,False,,-1
58,blue,fentanyl,False,False,True,,10
59,candy,fentanyl,False,False,False,,-1
60,china_girl,fentanyl,False,False,True, pill,8
61,dancing,fentanyl,False,False,False,,-1
62,fentanyl,fentanyl,fentanyl,True,True,,1
63,goodfella,fentanyl,False,False,False,,-1
64,great_bear,fentanyl,False,False,True, pill,1
65,hector,fentanyl,False,False,False,,-1
66,king_ivory,fentanyl,False,False,True, pill,1
67,mcneil,fentanyl,False,False,False,,-1
68,new_drug,fentanyl,False,False,True,,2
69,orange,fentanyl,orange,False,False,,-1
70,p-fent,fentanyl,False,False,True,,1
71,paco,fentanyl,False,False,False,,-1
72,peace,fentanyl,False,False,False,,-1
73,purple,fentanyl,False,False,False,,-1
74,real_mccoy,fentanyl,False,False,False,,-1
75,rio,fentanyl,False,False,False,,-1
76,sandman,fentanyl,False,False,False,,-1
77,serial_killer,fentanyl,False,False,True, pill,8
78,slam,fentanyl,False,False,False,,-1
79,stardust,fentanyl,False,False,False,,-1
80,tango_and_cash,fentanyl,False,False,True, pill,1
81,tango,fentanyl,False,False,False,,-1
82,cash,fentanyl,False,False,False,,-1
83,wa,fentanyl,False,False,False,,-1
84,fentanils,fentanyl,False,False,True,,1
85,fentanols,fentanyl,False,False,True,,1
86,fenta,fentanyl,pentaerythritol_tetranitrate,False,True,,1
87,fent,fentanyl,False,False,True,,2
88,fentanyl,fentanyl,fentanyl,True,True,,1
89,fentanest,fentanyl,False,False,True,,1
90,fentora,fentanyl,fentanyl,True,True,,4
91,lofentanil,fentanyl,lofentanil,False,True,,1
92,sufentanil,fentanyl,sufentanil,False,True,,1
93,fentanal,fentanyl,fentanyl,True,True,,1
94,fentanyls,fentanyl,fentanyl,True,True,,1
95,phenyl-propanolamine,fentanyl,False,False,False,,-1
96,fentanylum,fentanyl,False,False,True,,2
97,fentanest,fentanyl,False,False,True,,1
98,fentanil,fentanyl,fentanyl,True,True,,1
99,fentaplain,fentanyl,False,False,False,,-1
100,fentanylum,fentanyl,False,False,True,,2
101,fentyll,fentanyl,False,False,False,,-1
102,fentional,fentanyl,False,False,True,,1
103,fentanil,fentanyl,fentanyl,True,True,,1
104,fentynal,fentanyl,fentanyl,True,True,,1
105,fentanylum,fentanyl,False,False,True,,2
106,fentyl,fentanyl,dicyclomine,False,True,,1
107,fentanoid,fentanyl,False,False,False,,-1
108,fent_then_yl,fentanyl,False,False,True,,1
109,(rs)-1-(2-phenylethyl)-4-(n-propionylaminomethyl)piperidine,fentanyl,False,False,False,,-1
110,fentynal,fentanyl,fentanyl,True,True,,1
111,fentanylum,fentanyl,False,False,True,,2
112,dalessio,fentanyl,False,False,False,,-1
113,duragesic,fentanyl,fentanyl,True,True,,1
114,subsys,fentanyl,fentanyl,True,True,,3
115,fentanest,fentanyl,False,False,True,,1
116,fentanils,fentanyl,False,False,True,,1
117,sufentanil,fentanyl,sufentanil,False,True,,1
118,fentanil,fentanyl,fentanyl,True,True,,1
119,fentyal,fentanyl,dicyclomine,False,True,,1
120,fentynal,fentanyl,fentanyl,True,True,,1
121,fentayl,fentanyl,fentanyl,True,True,,1
122,fentylan,fentanyl,False,False,True,,1
123,fentylen,fentanyl,False,False,True,,1
124,fentylin,fentanyl,False,False,True,,1
125,subsys,fentanyl,fentanyl,True,True,,3
126,tremfentanyl,fentanyl,False,False,False,,-1
127,versed,fentanyl,midazolam,False,False,,-1
128,sevoflurane,fentanyl,sevoflurane,False,True,,5
129,pentafentanyl,fentanyl,False,False,True,,1
130,sufentanil,fentanyl,sufentanil,False,True,,1
131,rascal,fentanyl,False,False,False,,-1
132,skipper,fentanyl,False,False,False,,-1
133,dolophine,fentanyl,methadone,False,False,,-1
134,methadone,fentanyl,methadone,False,False,,-1
135,fentyna,fentanyl,False,False,True,,1
136,pentyl_fentanyl,fentanyl,False,True,True,,2
137,phenyl_fentanyl,fentanyl,False,True,True,,1
138,acetylfentanyl,fentanyl,False,False,True,,3
139,carfentanil,fentanyl,carfentanil,False,True,,4
140,invoke,fentanyl,False,False,False,,-1
141,duragesic,fentanyl,fentanyl,True,True,,1
142,actiq,fentanyl,fentanyl,True,True,,1
143,lofentanil,fentanyl,lofentanil,False,True,,1
144,sufentanil,fentanyl,sufentanil,False,True,,1
145,fentaoid,fentanyl,False,False,False,,-1
146,fentoroid,fentanyl,False,False,False,,-1
147,fentanal,fentanyl,fentanyl,True,True,,1
148,fentaplix,fentanyl,False,False,False,,-1
149,fentatabs,fentanyl,False,False,False,,-1
150,fentatime,fentanyl,False,False,False,,-1
151,fentora,fentanyl,fentanyl,True,True,,4
152,fentanoid,fentanyl,False,False,False,,-1
153,fenatyl,fentanyl,dicyclomine,False,True,,1
154,fentyll,fentanyl,False,False,False,,-1
155,fenanyl,fentanyl,fentanyl,True,True,,1
156,fenanyl,fentanyl,fentanyl,True,True,,1
157,fanyl,fentanyl,False,False,True,,3
158,transdermal,fentanyl,False,False,False,,-1
159,lozenge,fentanyl,False,False,False,,-1
160,bevat,fentanyl,False,False,False,,-1
161,hit,fentanyl,False,False,False,,-1
162,invloed,fentanyl,False,False,False,,-1
163,opioïde,fentanyl,False,False,True,,5
164,pijnstiller,fentanyl,False,False,False,,-1
165,synthetische_heroïne,fentanyl,False,False,True,,2
166,turbo,fentanyl,False,False,False,,-1
167,duragesic,fentanyl,fentanyl,True,True,,1
168,sublimaze,fentanyl,mercuric_chloride,False,True,,4
169,fentanest,fentanyl,False,False,True,,1
170,fentanyl_hydrochloride,fentanyl,False,True,True,,1
171,anesthetic,fentanyl,procaine,False,False,,-1
172,analgesic,fentanyl,False,False,True,,6
173,fentinas,fentanyl,False,False,True,,1
174,fentiyol,fentanyl,False,False,False,,-1
175,fidrotset,fentanyl,False,False,False,,-1
176,findatal,fentanyl,False,False,False,,-1
177,finleptal,fentanyl,False,False,False,,-1
178,fivdal,fentanyl,False,False,False,,-1
179,flupental,fentanyl,False,False,False,,-1
180,fentanylwet,fentanyl,False,False,True,,1
181,fentanyl-neerslag,fentanyl,False,False,False,,-1
182,cipryl,fentanyl,False,False,False,,-1
183,colforsin,fentanyl,colforsin,False,False,,-1
184,denafil,fentanyl,False,False,False,,-1
185,fentanyl_citrate,fentanyl,fentanyl,True,True,,1
186,sufentanil,fentanyl,sufentanil,False,True,,1
187,ultiva,fentanyl,False,False,True,,2
188,alfentanil,fentanyl,alfentanil,False,True,,1
189,duragesic,fentanyl,fentanyl,True,True,,1
190,subsys,fentanyl,fentanyl,True,True,,3
191,fentanyl_analogue,fentanyl,False,True,True,,1
192,fentanyl_derivative,fentanyl,False,True,True,,1
193,fentanyl_ingredient,fentanyl,False,True,True,,1
194,fentynal,fentanyl,fentanyl,True,True,,1
195,fentanil,fentanyl,fentanyl,True,True,,1
196,fentanyl_acid,fentanyl,False,True,True,,1
197,fentanest,fentanyl,False,False,True,,1
198,lofentanil,fentanyl,lofentanil,False,True,,1
199,sufentanil,fentanyl,sufentanil,False,True,,1
200,sublimaze,fentanyl,mercuric_chloride,False,True,,4
201,fealtyn,fentanyl,False,False,False,,-1
202,fentaon,fentanyl,False,False,True,,9
203,fentril,fentanyl,False,False,False,,-1
204,duragesic,fentanyl,fentanyl,True,True,,1
205,sublimaze,fentanyl,mercuric_chloride,False,True,,4
206,actiq,fentanyl,fentanyl,True,True,,1
207,fentanyl_transdermal_system,fentanyl,False,True,True,,1
208,duragesic-100,fentanyl,False,False,True,,1
209,duragesic-75,fentanyl,False,False,True,,2
210,sublimaze_injected_solution,fentanyl,False,False,True,,2
211,fentanest,fentanyl,False,False,True,,1
212,fentanil,fentanyl,fentanyl,True,True,,1
213,fentanylum,fentanyl,False,False,True,,2
214,duragesic,fentanyl,fentanyl,True,True,,1
215,fenatyl,fentanyl,dicyclomine,False,True,,1
216,fentanel,fentanyl,False,False,True,,1
217,fentrnyl,fentanyl,False,False,True,,1
218,fentanylum,fentanyl,False,False,True,,2
219,lollipop,fentanyl,False,False,False,,-1
220,transmucosal,fentanyl,False,False,True,,1
221,sublingual,fentanyl,False,False,False,,-1
222,lozenge,fentanyl,False,False,False,,-1
223,buccal,fentanyl,False,False,False,,-1
224,duragesic,fentanyl,fentanyl,True,True,,1
225,sublimaze,fentanyl,mercuric_chloride,False,True,,4
226,duragesic,fentanyl,fentanyl,True,True,,1
227,sublimaze,fentanyl,mercuric_chloride,False,True,,4
228,duragesic,fentanyl,fentanyl,True,True,,1
229,pursuer,fentanyl,False,False,False,,-1
230,sublimaze,fentanyl,mercuric_chloride,False,True,,4
231,fentylline,fentanyl,False,False,False,,-1
232,duragesic,fentanyl,fentanyl,True,True,,1
233,fentora,fentanyl,fentanyl,True,True,,4
234,innovar,fentanyl,False,False,False,,-1
235,lofentanil,fentanyl,lofentanil,False,True,,1
236,numorphan,fentanyl,oxymorphone,False,False,,-1
237,onsolis,fentanyl,False,False,True,,1
238,sublimaze,fentanyl,mercuric_chloride,False,True,,4
239,fentora,fentanyl,fentanyl,True,True,,4
240,sublimaze,fentanyl,mercuric_chloride,False,True,,4
241,duragesic,fentanyl,fentanyl,True,True,,1
242,effentora,fentanyl,False,False,True,,1
243,ivalmid,fentanyl,False,False,False,,-1
244,r-evolukit,fentanyl,False,False,False,,-1
245,lofentanil,fentanyl,lofentanil,False,True,,1
246,fenanyl,fentanyl,fentanyl,True,True,,1
247,fentora,fentanyl,fentanyl,True,True,,4
248,suffentanyl,fentanyl,False,False,False,,-1
249,transdermal_fentanyl,fentanyl,False,True,True,,1
250,duragesic,fentanyl,fentanyl,True,True,,1
251,sublimaze,fentanyl,mercuric_chloride,False,True,,4
252,inspect,fentanyl,False,False,False,,-1
253,fentanoyl,fentanyl,False,False,True,,1
254,fenanyl,fentanyl,fentanyl,True,True,,1
255,fenantyl,fentanyl,fentanyl,True,True,,1
256,fentenyl,fentanyl,fentanyl,True,True,,1
257,fenethyl,fentanyl,False,False,True,,2
258,pentanyl,fentanyl,False,False,True,,1
259,pentylfentanyl,fentanyl,False,False,False,,-1
260,fenanyl,fentanyl,fentanyl,True,True,,1
261,heptanal,fentanyl,False,False,False,,-1
262,fentanel,fentanyl,False,False,True,,1
