,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,sufentanil_citrate,sufentanil,False,True,True,,1
1,fentanyl_sufentanil,sufentanil,False,True,True,,1
2,sufentanyl_citrate,sufentanil,False,True,True,,1
3,fentanyl,sufentanil,fentanyl,False,False,,-1
4,sufentina,sufentanil,False,False,False,,-1
5,sufentanila,sufentanil,False,False,True,,3
6,sufentanil_citrate,sufentanil,False,True,True,,1
7,sufentanil_sulfate,sufentanil,False,True,True,,1
8,sufentyl,sufentanil,False,False,True,,7
9,"fentanyl,_sufentanil",sufentanil,False,True,True,,1
10,sufentanyl_citrate,sufentanil,False,True,True,,1
11,sufentanyl_hydrochloride,sufentanil,False,True,True,,1
12,fentanyl,sufentanil,fentanyl,False,False,,-1
13,sufentanyl_citrate,sufentanil,False,True,True,,1
14,fentanyl,sufentanil,fentanyl,False,False,,-1
15,sufentanyl,sufentanil,sufentanil,True,True,,1
16,sufentafil,sufentanil,False,False,False,,-1
17,sufentanyl_analog,sufentanil,False,True,True,,1
18,suffentanyl,sufentanil,False,False,False,,-1
19,sufentanyl,sufentanil,sufentanil,True,True,,1
20,sufentanyl_hydrochloride,sufentanil,False,True,True,,1
21,trans-4-(methoxycarbonyl)phenyl-n-phenylpiperidine,sufentanil,False,False,False,,-1
22,suf,sufentanil,False,False,False,,-1
23,s,sufentanil,False,False,False,,-1
24,fentanil,sufentanil,fentanyl,False,False,,-1
25,fenta,sufentanil,pentaerythritol_tetranitrate,False,False,,-1
26,fent,sufentanil,False,False,False,,-1
27,fen,sufentanil,False,False,False,,-1
28,fe,sufentanil,iron,False,False,,-1
29,sufentynil,sufentanil,False,False,False,,-1
30,fentanyl,sufentanil,fentanyl,False,False,,-1
31,fentora,sufentanil,fentanyl,False,False,,-1
32,sublimaze,sufentanil,mercuric_chloride,False,False,,-1
33,actiq,sufentanil,fentanyl,False,False,,-1
34,duragesic,sufentanil,fentanyl,False,False,,-1
35,sufentanil_citrate,sufentanil,False,True,True,,1
36,sufentanyl,sufentanil,sufentanil,True,True,,1
37,belfuscu,sufentanil,False,False,False,,-1
38,sufentanil_citrate,sufentanil,False,True,True,,1
39,duragesic,sufentanil,fentanyl,False,False,,-1
40,sublimaze,sufentanil,mercuric_chloride,False,False,,-1
41,suf,sufentanil,False,False,False,,-1
42,sf,sufentanil,False,False,False,,-1
43,fentanyl,sufentanil,fentanyl,False,False,,-1
44,fentanil,sufentanil,fentanyl,False,False,,-1
45,fenta,sufentanil,pentaerythritol_tetranitrate,False,False,,-1
46,fent,sufentanil,False,False,False,,-1
47,duragesic,sufentanil,fentanyl,False,False,,-1
48,sublimaze,sufentanil,mercuric_chloride,False,False,,-1
49,sufentanyl_analog,sufentanil,False,True,True,,1
50,serial_dilution,sufentanil,False,False,False,,-1
51,titration,sufentanil,False,False,False,,-1
52,increasing_concentrations,sufentanil,False,False,False,,-1
53,decreasing_doses,sufentanil,False,False,False,,-1
54,sufentanil_citrate,sufentanil,False,True,True,,1
55,fentanyl_sufentanil,sufentanil,False,True,True,,1
56,fentanyl,sufentanil,fentanyl,False,False,,-1
57,duragesic,sufentanil,fentanyl,False,False,,-1
58,sublimaze,sufentanil,mercuric_chloride,False,False,,-1
59,sufentanyl_citrate,sufentanil,False,True,True,,1
60,fentanyl_sufentanil,sufentanil,False,True,True,,1
61,sufentanyl,sufentanil,sufentanil,True,True,,1
62,fentanyl,sufentanil,fentanyl,False,False,,-1
63,fentanil,sufentanil,fentanyl,False,False,,-1
64,fent,sufentanil,False,False,False,,-1
65,sublimaze,sufentanil,mercuric_chloride,False,False,,-1
